_step,_runtime,_timestamp,time,loss_boundary,step,loss_interior,loss,l2_error
38,9.999804258346558,1715706472.1219714,6.144036769866943,0.0036250575631763043,38,0.0027401878858512004,0.006365245449027505,0.05288393993117912
39,10.111065864562988,1715706472.233233,6.255595445632935,0.0028043581002121015,39,0.002714690918969385,0.005519049019181486,0.0517808985476595
40,10.212229251861572,1715706472.3343964,6.356726408004761,0.0025939532399690854,40,0.0026607570581982324,0.005254710298167318,0.05233490768747845
41,10.408385753631592,1715706472.5305529,6.552887201309204,0.001976106568799259,42,0.002351736729188207,0.004327843297987466,0.04117336145775055
42,10.84731912612915,1715706472.9694862,6.991533517837524,0.0013666951915996294,46,0.0015032018486294465,0.002869897040229076,0.03440138940561662
43,11.263420581817627,1715706473.3855877,7.407930135726929,0.0010866970802083358,50,0.0009173700486937341,0.00200406712890207,0.032630504488675806
44,11.751626253128052,1715706473.8737934,7.896130084991455,0.0008632436364742722,55,0.00038891393862114783,0.0012521575750954201,0.03143516392286869
45,12.334200143814087,1715706474.4563673,8.478716135025024,0.0005019701545165463,61,0.00020895239739573436,0.0007109225519122806,0.023971061213150728
46,12.978600263595581,1715706475.1007674,9.123098134994507,0.0002904427935936636,67,0.0001707782175929912,0.00046122101118665484,0.018879838309334568
47,13.569488525390625,1715706475.6916556,9.71396255493164,0.00018171208915083745,73,0.00011573542272021086,0.0002974475118710483,0.018212672089784217
