loss,time,step,_timestamp,loss_interior,_runtime,l2_error,loss_boundary,_step
0.001292916019666782,934.6095414161682,42,1716170788.7943497,9.04813468041259e-05,939.2040817737579,0.052712618122829916,0.001202434672862656,41
0.0012610584038073819,1020.7636349201202,46,1716170874.9484456,7.526079971172628e-05,1025.3581776618958,0.05244459953482321,0.0011857976040956556,42
0.0012326986691907993,1106.9175884723663,50,1716170961.1024497,7.85967958687933e-05,1111.5121817588806,0.0519386926133713,0.001154101873322006,43
0.001032740014285225,1214.6102652549744,55,1716171068.7960117,5.955079630251771e-05,1219.2057437896729,0.048977459336047316,0.0009731892179827073,44
0.0010045972862796858,1343.795893907547,61,1716171197.981335,3.5957403774803755e-05,1348.3910670280457,0.04893147388800237,0.0009686398825048821,45
0.0009938753231992473,1472.9718759059906,67,1716171327.1567142,3.2624845932992124e-05,1477.5664463043213,0.04886444016754929,0.0009612504772662551,46
0.0009874346360727309,1602.1335575580597,73,1716171456.3187227,3.229138136656667e-05,1606.7284548282623,0.04881117722340304,0.0009551432547061642,47
0.000977970099565782,1774.3093268871307,81,1716171628.4954994,3.039831388747136e-05,1778.90523147583,0.04874778695987479,0.0009475717856783106,48
0.0009688068245964747,1946.4419162273407,89,1716171800.6272972,2.865649640454171e-05,1951.0370292663574,0.04868318210085107,0.000940150328191933,49
0.0009147454736720156,2140.114992380142,98,1716171994.300048,2.249911984525985e-05,2144.709780216217,0.04830876749794047,0.0008922463538267557,50
0.0009021576239384723,2333.8274960517883,107,1716172188.0133686,1.9862243212601016e-05,2338.423100709915,0.04823456256146809,0.0008822953807258712,51
0.0008914269861791452,2570.5616738796234,118,1716172424.7464116,1.9319368533290232e-05,2575.1561436653137,0.048157800174737066,0.000872107617645855,52
0.0008736914386097247,2828.857867002487,130,1716172683.0436847,1.7679053023452583e-05,2833.453416824341,0.0480443816298638,0.0008560123855862722,53
0.0008593892237340371,3108.663222551346,143,1716172962.8481495,1.798763411037968e-05,3113.257881641388,0.0479440269268673,0.0008414015896236574,54
0.0008442084347528735,3410.023437023163,157,1716173264.208482,1.6198111043680774e-05,3414.6182141304016,0.04784870073220527,0.0008280103237091927,55
0.0008289985983870728,3732.92928814888,172,1716173587.114475,1.547990642360005e-05,3737.5242071151733,0.0477445867098724,0.0008135186919634728,56
0.0008104212122780757,4120.214803934097,190,1716173974.4007273,1.5532159200172833e-05,4124.8104593753815,0.047628075955490706,0.0007948890530779029,57
0.0007945565160219872,4507.359471082687,208,1716174361.5445106,1.4457905212369086e-05,4511.954242706299,0.04752161077398576,0.0007800986108096181,58
0.0007769451748992455,4958.9431483745575,229,1716174813.1280813,1.4266863064435161e-05,4963.537813425064,0.04741423632867847,0.0007626783118348103,59
0.0007570424296212812,5453.517858982086,252,1716175307.7029643,1.3666228886446837e-05,5458.1126964092255,0.04728555877702337,0.0007433762007348344,60
0.0007350358729297734,5991.003611803055,277,1716175845.1884334,1.4395536984910382e-05,5995.598165512085,0.04714641950406172,0.000720640335944863,61
0.0007069849203899155,6592.852337598801,305,1716176447.037028,1.5283056820000845e-05,6597.446760177612,0.04696475536508726,0.0006917018635699147,62
0.0006669548531295739,7237.7172293663025,335,1716177091.9020634,1.5811430074826746e-05,7242.311795473099,0.04671741062392362,0.0006511434230547471,63
0.0004693466781390803,7968.609846830368,369,1716177822.7947567,1.9943189796131033e-05,7973.2044887542725,0.045633101649704355,0.00044940348834294927,64
0.00042165195774742715,8764.03167963028,406,1716178618.216533,1.3201082758000117e-05,8768.62626504898,0.04543182286382004,0.00040845087498942703,65
0.0009289033834956088,9624.090217590332,446,1716179478.2775378,3.539165349671677e-05,9628.687269926071,0.04450686937835211,0.000893511729998892,66
0.0008722405844337279,10011.176030874252,464,1716179865.3609865,2.4731631601573784e-05,10015.770718574524,0.044257245433065466,0.0008475089528321541,67
