time,_step,_runtime,l2_error,_timestamp,step,loss_boundary,loss,loss_interior
2.7869977951049805,25,6.533570766448975,0.09692018401985768,1714847332.9921417,25,0.012870383234419054,0.014067858697858876,0.0011974754634398205
2.8239970207214355,26,6.570479869842529,0.08417572476075368,1714847333.0290508,26,0.012779240137804463,0.01377582355586464,0.000996583418060178
2.8604180812835693,27,6.606868505477905,0.08070811512296597,1714847333.0654395,27,0.010868891969958983,0.012167188741926054,0.0012982967719670719
2.8998074531555176,28,6.64646577835083,0.08023897086993598,1714847333.1050367,28,0.00995758505834576,0.011779511033436421,0.0018219259750906615
2.9362680912017822,29,6.682906150817871,0.05887763291506718,1714847333.141477,29,0.008565197582008528,0.010832508231047295,0.002267310649038767
2.9722700119018555,30,6.7188944816589355,0.05730083828153674,1714847333.1774654,30,0.005935435831001536,0.008676795179740775,0.002741359348739239
3.008622169494629,31,6.755272150039673,0.05501561855467135,1714847333.213843,31,0.006045903631057974,0.00788667740302662,0.0018407737719686463
3.0446395874023438,32,6.791250467300415,0.0577002322349164,1714847333.2498214,32,0.005856587765461087,0.00756144356389218,0.0017048557984310929
3.0824010372161865,33,6.829020977020264,0.05602944342323549,1714847333.287592,33,0.005975542746346892,0.007233333793150115,0.0012577910468032228
3.117840528488159,34,6.864393949508667,0.05348398351418033,1714847333.322965,34,0.00563257059991189,0.006999281204567059,0.0013667106046551685
3.1540889739990234,35,6.900686740875244,0.05100208812439506,1714847333.3592577,35,0.005522378690342166,0.006817505836068799,0.001295127145726633
3.1899876594543457,36,6.936558246612549,0.051455256092280216,1714847333.3951292,36,0.005312489415247477,0.006589396751207946,0.001276907335960469
3.2268576622009277,37,6.9735267162323,0.05032972387024584,1714847333.4320977,37,0.004987673914595077,0.006272457339241188,0.00128478342464611
3.263805866241455,38,7.010405778884888,0.050573528499472754,1714847333.4689767,38,0.004501410510052585,0.006067468163128908,0.001566057653076323
3.300915241241455,39,7.047600030899048,0.03995696002615511,1714847333.506171,39,0.004106439578866487,0.005781813628785723,0.001675374049919237
3.338111639022827,40,7.084429025650024,0.03780802231145657,1714847333.543,40,0.0033785961228419924,0.005187618039259448,0.0018090219164174552
3.418104410171509,41,7.164576053619385,0.03485391069259403,1714847333.623147,42,0.003178715077144483,0.004780137556258196,0.0016014224791137135
3.562028408050537,42,7.309300899505615,0.03508887195730624,1714847333.7678719,46,0.0026291788542604595,0.004322782320769516,0.0016936034665090566
3.707650661468506,43,7.454685211181641,0.028477238869490454,1714847333.9132562,50,0.002090882606045315,0.003855095966349093,0.001764213360303778
3.8852407932281494,44,7.631947040557861,0.01918619967948616,1714847334.090518,55,0.0013772133798358422,0.002649720067665327,0.0012725066878294844
4.1031341552734375,45,7.8499932289123535,0.019420212755175376,1714847334.3085642,61,0.0009254133593218949,0.001748659007141632,0.0008232456478197371
4.342697381973267,46,8.089284420013428,0.01195888848450977,1714847334.5478554,67,0.0005096853265085143,0.0011246831079876956,0.0006149977814791814
4.558200836181641,47,8.304894208908081,0.011366158233665088,1714847334.7634652,73,0.00028675353418054403,0.0006838157421077287,0.00039706220792718475
4.867410659790039,48,8.614105224609375,0.00967437649679413,1714847335.0726762,81,0.00018673293850930938,0.0004831813252539504,0.000296448386744641
5.151421308517456,49,8.898164987564087,0.009895083264643613,1714847335.356736,89,0.00012012818616612445,0.0003576662114225583,0.00023753802525643385
5.4767491817474365,50,9.223556995391846,0.00857372516711479,1714847335.682128,98,8.984279326670724e-05,0.0002611743838504004,0.00017133159058369316
5.820026874542236,51,9.567243814468384,0.007833616270894463,1714847336.0258148,107,9.639814553685581e-05,0.00021755638638367716,0.00012115824084682135
6.2115137577056885,52,9.958458662033081,0.006855381971376053,1714847336.4170296,118,5.913507439903502e-05,0.00015936718509447124,0.00010023211069543623
