l2_error,loss_boundary,loss_interior,loss,_runtime,_timestamp,_step,step,time
0.2506796260585686,0.09337088160558404,0.024304727517758543,0.11767560912334259,5.4658544063568115,1714598066.1149633,20,20,1.391345500946045
0.22510984588401667,0.09481337994613954,0.02040684369877549,0.11522022364491503,5.470975160598755,1714598066.120084,21,21,1.3964519500732422
0.19296900746728773,0.08497172573782244,0.004749239293173037,0.08972096503099547,5.47609281539917,1714598066.1252017,22,22,1.4015693664550781
0.17320379108213443,0.06798537013024371,0.0023701355654945737,0.07035550569573829,5.481215476989746,1714598066.1303244,23,23,1.406691551208496
0.19468162362739339,0.055092926527527765,0.021640934649875487,0.07673386117740325,5.486260414123535,1714598066.1353693,24,24,1.411773443222046
0.23617415847313497,0.05520883992022187,0.04499847962485373,0.1002073195450756,5.491213083267212,1714598066.140322,25,25,1.4167180061340332
0.25182461376255216,0.0633251368894533,0.050792277948895265,0.11411741483834857,5.496360778808594,1714598066.1454697,26,26,1.421830415725708
0.22954551397703496,0.06613487410817977,0.0356163400489975,0.10175121415717726,5.50154185295105,1714598066.1506507,27,27,1.4269752502441406
0.20309264052736364,0.0617293808352504,0.013951491891485925,0.07568087272673632,5.506642580032349,1714598066.1557515,28,28,1.432098150253296
0.2128367706958915,0.06330457017583788,0.0017034719200102499,0.06500804209584812,5.511831998825073,1714598066.160941,29,29,1.4373016357421875
0.2351778418368119,0.07786062695840662,0.003240806052776212,0.08110143301118283,5.517062664031982,1714598066.1661716,30,30,1.4425172805786133
0.2353442601384816,0.09258643135297459,0.01109642918613841,0.103682860539113,5.522186040878296,1714598066.171295,31,31,1.4476497173309326
0.22373226431407287,0.09183566248578515,0.014519172323093505,0.10635483480887865,5.527278184890747,1714598066.176387,32,32,1.4527673721313477
0.22708184657836145,0.07838685807493943,0.009242957113715367,0.0876298151886548,5.532315969467163,1714598066.1814249,33,33,1.457817554473877
0.23517960973724403,0.06660185483452238,0.0018287559870561521,0.06843061082157853,5.537372350692749,1714598066.1864812,34,34,1.4628214836120605
0.22123691576994953,0.06166621202535428,0.004434462794891642,0.06610067482024592,5.542441368103027,1714598066.1915503,35,35,1.4679005146026611
0.18649482894172403,0.05755735716223643,0.02226326416041719,0.07982062132265362,5.547444820404053,1714598066.1965537,36,36,1.4729721546173096
0.15724431513953352,0.050917152388427644,0.04483409561047097,0.09575124799889861,5.552469253540039,1714598066.2015781,37,37,1.477978229522705
0.15081266557604975,0.04564160422837347,0.0530670919589293,0.09870869618730277,5.557505130767822,1714598066.206614,38,38,1.483008623123169
0.1638735257728519,0.045435164553591666,0.038690379047993134,0.0841255436015848,5.5625691413879395,1714598066.211678,39,39,1.4880905151367188
0.1936820865128245,0.050058384446443366,0.014619484203034808,0.06467786864947818,5.567503929138184,1714598066.2166128,40,40,1.4930436611175537
0.24015933725737088,0.0661435003137814,0.007123653263476642,0.07326715357725803,5.57609224319458,1714598066.2252011,41,42,1.501617193222046
0.16377843086002675,0.06231774338791688,0.0025804456081950453,0.06489818899611192,5.59218168258667,1714598066.2412906,42,46,1.5175895690917969
0.20902966474698506,0.052087064992605986,0.032930930358862874,0.08501799535146887,5.6084206104278564,1714598066.2575295,43,50,1.5338246822357178
0.1885375009124263,0.05529416251226542,0.003974028829064095,0.05926819134132951,5.629022121429443,1714598066.278131,44,55,1.5544147491455078
0.12482720688558085,0.03877110147624933,0.006597636630385075,0.0453687381066344,5.652441501617432,1714598066.3015504,45,61,1.5779259204864502
