l2_error,time,loss_interior,_timestamp,loss_boundary,loss,_step,_runtime,step
0.001577001441715725,14.023497104644775,9.338477164877326e-06,1729887451.5761945,2.3153971041134465e-06,1.1653874268990772e-05,39,14.59589958190918,39
0.0016135004986326197,14.199220895767212,7.3331476078954025e-06,1729887451.7519116,1.724240829005279e-06,9.057388436900681e-06,40,14.771616697311401,40
0.0012389324045278373,15.084151268005371,6.223034536424315e-06,1729887452.6369698,7.267394324153552e-07,6.94977396883967e-06,41,15.656674861907959,42
0.001373813905779422,17.1507568359375,3.345909155441075e-06,1729887454.7035968,7.631472243135731e-07,4.109056379754648e-06,42,17.723301887512207,46
0.0005515650360082717,19.450867176055908,8.744053208284493e-07,1729887457.0038228,5.216168455143693e-07,1.3960221663428186e-06,43,20.02352786064148,50
0.0004428418744692998,24.048539400100708,3.6563048101270054e-07,1729887461.6013186,2.1118949227835865e-07,5.768199732910592e-07,44,24.621023654937744,55
0.0004372148154224813,25.924548387527466,3.5295541859041776e-07,1729887463.477287,2.0902789008068194e-07,5.619833086710996e-07,45,26.496992111206055,61
0.0004291745903170328,28.303688049316406,3.330739634821292e-07,1729887465.856467,2.0230280971739485e-07,5.35376773199524e-07,46,28.876172065734863,67
0.000414929110576838,30.47615694999695,2.938711269596642e-07,1729887468.0288966,1.8368945278966025e-07,4.775605797493244e-07,47,31.048601627349854,73
0.00037841604201686423,33.76918649673462,2.3564017102257665e-07,1729887471.321936,1.4217222613769954e-07,3.778123971602762e-07,48,34.34164094924927,81
0.0002828612961597177,36.800480365753174,1.6244528043504942e-07,1729887474.3533404,7.08076082535996e-08,2.33252888688649e-07,49,37.373045444488525,89
0.00023390693633454983,40.689977407455444,1.368832916065509e-07,1729887478.2428133,3.6682615045555786e-08,1.7356590665210667e-07,50,41.26251840591431,98
0.00014914680726880726,44.1077094078064,8.963394846767584e-08,1729887481.660457,1.7850543537160603e-08,1.0748449200483645e-07,51,44.68016195297241,107
9.844054355179275e-05,49.358529567718506,4.576420868429057e-08,1729887486.9113228,6.274929078715058e-09,5.2039137763005625e-08,52,49.93102788925171,118
7.35905233320222e-05,54.878278732299805,1.292359369125837e-08,1729887492.4310336,2.737138880285627e-09,1.5660732571543996e-08,53,55.45073866844177,130
6.412344658604678e-05,61.52892518043518,8.5295273170497e-09,1729887499.0817602,2.5545659876920486e-09,1.1084093304741748e-08,54,62.10146522521973,143
5.558377438015058e-05,66.02330541610718,7.634144188653658e-09,1729887503.5762126,2.074750758259991e-09,9.70889494691365e-09,55,66.59591770172119,157
3.8002236745091826e-05,72.08554315567017,5.610841513457384e-09,1729887509.6383007,1.1039176782699063e-09,6.71475919172729e-09,56,72.6580057144165,172
2.1548109239874055e-05,81.74259734153748,3.1370080178629656e-09,1729887519.2953765,4.3950501507409965e-10,3.5765130329370654e-09,57,82.31508159637451,190
3.3383789072134966e-05,92.58860874176025,1.8569579714553222e-09,1729887530.1413517,6.937551527209225e-10,2.5507131241762447e-09,58,93.16105675697327,208
2.796164409076741e-05,102.47130918502808,1.085471744895547e-09,1729887540.0242887,4.651348549890275e-10,1.5506065998845744e-09,59,103.04399371147156,229
1.3402896172753704e-05,113.17178201675415,7.997994240301583e-10,1729887550.7245436,1.484083090132897e-10,9.482077330434481e-10,60,113.74424862861633,252
1.0108865503281761e-05,130.64009928703308,4.3384759138608445e-10,1729887568.1929727,7.536921177497833e-11,5.092168031610628e-10,61,131.21267771720886,277
6.404495493087749e-06,148.3467926979065,2.367352842100283e-10,1729887585.8996935,3.410221465611439e-11,2.708374988661427e-10,62,148.91939854621887,305
4.3580642395497864e-06,169.719407081604,1.6402676268038842e-10,1729887607.272216,1.4597700917448652e-11,1.7862446359783708e-10,63,170.29192113876343,335
3.844319570387507e-06,201.70028734207153,1.2542732827901462e-10,1729887639.2532976,1.0128441031913733e-11,1.3555576931092835e-10,64,202.27300262451172,369
4.2573966539672436e-06,243.195072889328,9.44286462109401e-11,1729887680.7482784,9.286331852728179e-12,1.0371497806366829e-10,65,243.76798343658447,406
3.606430626418569e-06,290.1063268184662,7.618371930854397e-11,1729887727.6597254,6.858313183162319e-12,8.30420324917063e-11,66,290.67943048477173,446
3.3035794809709324e-06,339.727019071579,6.083915382228727e-11,1729887777.2798376,5.933943193175703e-12,6.677309701546298e-11,67,340.29954266548157,491
3.0148925846201335e-06,394.5310025215149,4.931049254104047e-11,1729887832.0842807,5.650999489068947e-12,5.496149203010942e-11,68,395.103985786438,540
2.7624629093630136e-06,462.1717586517334,3.789607567875881e-11,1729887899.7247717,5.017984615783925e-12,4.291406029454273e-11,69,462.74447679519653,594
2.3493293191314526e-06,534.3860683441162,2.888084712882439e-11,1729887971.9391162,3.5591992348022506e-12,3.244004636362664e-11,70,534.9588212966919,653
1.94409520913864e-06,599.388763666153,2.234296842005405e-11,1729888036.9419284,2.5319004870093208e-12,2.487486890706337e-11,71,599.9616334438324,718
1.3843896164731162e-06,698.1360704898834,1.5274261050892207e-11,1729888135.6891527,1.3519984316418403e-12,1.6626259482534047e-11,72,698.7088577747345,790
9.935484619779237e-07,807.0625822544098,1.0921093554127764e-11,1729888244.6156635,6.904090015105723e-13,1.1611502555638337e-11,73,807.6353685855865,869
6.859294308567918e-07,934.2381820678711,8.23768576293073e-12,1729888371.7912114,3.5745690790999014e-13,8.59514267084072e-12,74,934.8109164237976,956
6.195419053546246e-07,1001.5229823589325,7.4052906450317e-12,1729888439.0760498,2.9521789188562873e-13,7.700508536917329e-12,75,1002.0957548618317,998
