time,_step,l2_error,loss_boundary,_timestamp,_runtime,step,loss_interior,loss
5.296838045120239,42,0.2181094308127565,0.028619132284014352,1714592312.144452,10.117194175720215,46,0.028101655962596075,0.05672078824661043
5.540858745574951,43,0.23357051227952771,0.040424173208214086,1714592312.3884344,10.361176490783691,50,0.014567299268787434,0.05499147247700152
5.844817876815796,44,0.16275789135695948,0.0196174730102633,1714592312.6923974,10.665139436721802,55,0.032790149309774634,0.052407622320037935
6.208242177963257,45,0.08832757927389631,0.010127304952186514,1714592313.0562317,11.028973817825317,61,0.030053166244871587,0.0401804711970581
6.571583032608032,46,0.1647744181173497,0.01425171713516622,1714592313.419265,11.392007112503052,67,0.021354892541851328,0.03560660967701755
6.934664964675903,47,0.1720577773189304,0.011706137992189513,1714592313.782241,11.754983186721802,73,0.02177463646570347,0.03348077445789298
7.416170597076416,48,0.10606529293046059,0.007130021903441058,1714592314.2637901,12.236532211303711,81,0.023626124379418002,0.03075614628285906
7.900290012359619,49,0.06914140287120658,0.0050426143402876634,1714592314.7476654,12.720407485961914,89,0.02345193915313282,0.028494553493420484
8.44313383102417,50,0.11022513002246626,0.011309254037958013,1714592315.290812,13.263554096221924,98,0.014168551425119521,0.025477805463077534
8.98362135887146,51,0.1057879034599275,0.010545186444260345,1714592315.831239,13.803981065750122,107,0.013849231803871064,0.02439441824813141
9.686924457550049,52,0.15620490956134586,0.01381664300309191,1714592316.5346239,14.507365942001343,118,0.008361917874896587,0.022178560877988498
10.412316799163818,53,0.11296049036565411,0.008030955944252346,1714592317.260142,15.232884168624878,130,0.01044924168149674,0.018480197625749088
11.197457075119019,54,0.06843805330439172,0.009938925440593903,1714592318.045068,16.017810106277466,143,0.006020782325111183,0.015959707765705086
12.047224521636963,55,0.07638377929249776,0.0030904542360638883,1714592318.895226,16.86796808242798,157,0.007043123508180162,0.01013357774424405
12.954623460769653,56,0.05955386941113148,0.0017719868944549855,1714592319.8022814,17.775023460388184,172,0.006532378076535424,0.00830436497099041
14.044150829315186,57,0.0487758703565492,0.0018806498540812542,1714592320.891827,18.864569187164307,190,0.003923436179758321,0.005804086033839575
15.133028507232666,58,0.043900482610987404,0.001823374475277939,1714592321.980627,19.953369140625,208,0.002349803765627559,0.004173178240905498
16.399861097335815,59,0.030958866656733575,0.0014440568687245396,1714592323.2478096,21.22055172920227,229,0.0014061574843570249,0.002850214353081564
17.771801948547363,60,0.030820219442181083,0.00028189448987320416,1714592324.619551,22.59229302406311,252,0.0012340294364351953,0.0015159239263083995
19.266210079193115,61,0.012299244362327239,0.00017277056671193523,1714592326.1139302,24.08667230606079,277,0.0005677256484078559,0.0007404962151197911
20.950409650802612,62,0.011416607113105836,0.0001393386479646364,1714592327.798118,25.770860195159912,305,0.00037023368948369565,0.0005095723374483321
22.779990911483765,63,0.009512238329095537,0.0001134266403724035,1714592329.6276498,27.60039186477661,335,0.00012141428713519947,0.00023484092750760297
24.80881094932556,64,0.009791281130544413,8.002884097834969e-05,1714592331.6565268,29.629268884658813,369,6.31599427370595e-05,0.00014318878371540918
27.063058137893677,65,0.00613755463918692,4.18561145352097e-05,1714592333.918355,31.89109706878662,406,4.3813582225680695e-05,8.56696967608904e-05
29.473797082901,66,0.004259075926001736,1.4823852188479719e-05,1714592336.3215973,34.294339418411255,446,2.1937177028931523e-05,3.676102921741124e-05
32.20675826072693,67,0.002684538907335398,7.040938403585625e-06,1714592339.0545762,37.027318239212036,491,1.1339780533786893e-05,1.838071893737252e-05
35.15080642700195,68,0.0019199947334429355,3.540506791730516e-06,1714592341.997985,39.97072696685791,540,5.081566065403997e-06,8.622072857134513e-06
38.42866802215576,69,0.0012121942291462794,1.223245922734208e-06,1714592345.2757845,43.24852657318115,594,2.8541240399547133e-06,4.077369962688921e-06
41.95870280265808,70,0.0011729323797763788,1.0909431399471348e-06,1714592348.8059485,46.778690576553345,653,1.6059423090424808e-06,2.696885448989616e-06
45.845640420913696,71,0.0009708986872088519,6.353241912798848e-07,1714592352.6935139,50.666255950927734,718,1.1017037960062468e-06,1.7370279872861316e-06
50.173760175704956,72,0.0005865819441435656,3.061444331402905e-07,1714592357.0214689,54.994210958480835,790,6.406547713723572e-07,9.467992045126477e-07
54.904282569885254,73,0.0003862040743768992,1.4038957104300824e-07,1714592361.7518063,59.72454833984375,869,3.616281621333864e-07,5.020177331763947e-07
60.18986511230469,74,0.00028843150049647057,8.727290120198389e-08,1714592367.0374174,65.01015949249268,956,2.6886602155223336e-07,3.5613892275421727e-07
65.90964818000793,75,0.00026577857180487286,6.987194765162176e-08,1714592372.7576568,70.73039889335632,1052,2.1703053001724696e-07,2.869024776688687e-07
72.16445755958557,76,0.0002451830296668822,5.866322516214557e-08,1714592379.012089,76.98483109474182,1157,1.8811321517904622e-07,2.467764403411918e-07
79.03186511993408,77,0.0002214839641981765,4.699567424921216e-08,1714592385.8793166,83.85205864906311,1272,1.5983512603753233e-07,2.068308002867445e-07
86.68660974502563,78,0.00019047870424960406,3.066036932521701e-08,1714592393.534321,91.50706315040588,1400,1.2941119252578506e-07,1.6007156185100207e-07
95.0389838218689,79,0.00016795556495849043,2.2155478646658644e-08,1714592401.8870802,99.8598222732544,1539,1.0292299951745734e-07,1.2507847816411599e-07
104.26825952529907,80,0.00015030487143644295,1.6637588944202626e-08,1714592411.115379,109.08812117576599,1693,7.823837526181154e-08,9.487596420601417e-08
114.41942763328552,81,0.00011793406094475295,1.2608735774814412e-08,1714592421.2668014,119.23954343795776,1863,5.470641393621379e-08,6.73151497110282e-08
125.61228537559509,82,8.688241197706547e-05,7.2862947934703805e-09,1714592432.4597402,130.43248224258423,2049,3.6044907713007946e-08,4.3331202506478326e-08
137.92741584777832,83,7.107084061084655e-05,4.941179046801873e-09,1714592444.7746978,142.7474398612976,2254,2.952461208374375e-08,3.446579113054562e-08
151.39903664588928,84,5.9001255565385504e-05,3.405417328620238e-09,1714592458.246326,156.21906805038452,2479,2.3926258061493816e-08,2.7331675390114055e-08
166.2494478225708,85,5.491118664433642e-05,2.8888251055882866e-09,1714592473.0968916,171.0696337223053,2727,1.7646459713127503e-08,2.0535284818715788e-08
182.62247014045715,86,4.870018506765946e-05,2.358627103454091e-09,1714592489.469737,187.44247913360596,3000,1.3929500058207584e-08,1.6288127161661675e-08
200.58498859405518,87,4.262311493103724e-05,1.8744144672807895e-09,1714592507.4324446,205.4051866531372,3299,1.1357195700739369e-08,1.3231610168020159e-08
220.33328413963318,88,3.5411556900367527e-05,1.227729093896865e-09,1714592527.1807587,225.15350079536438,3629,9.462909355882447e-09,1.0690638449779312e-08
242.12885785102844,89,2.62200388207592e-05,5.120088014509692e-10,1714592548.9760287,246.94877076148987,3992,4.5841478440454765e-09,5.096156645496446e-09
265.9472870826721,90,2.168198304325933e-05,3.527395413360773e-10,1714592572.7949448,270.76768684387207,4391,3.1448713956976365e-09,3.4976109370337137e-09
292.3327102661133,91,1.5046264798753785e-05,1.9072682111080706e-10,1714592599.180315,297.1530570983887,4831,1.625764891811985e-09,1.8164917129227922e-09
321.2228379249573,92,1.2392002078417946e-05,1.19727025437212e-10,1714592628.0704088,326.04315090179443,5314,1.1417349138463314e-09,1.2614619392835434e-09
353.1019239425659,93,1.1113821478810799e-05,9.422999240741153e-11,1714592659.949477,357.92221903800964,5845,8.565731998461386e-10,9.508031922535502e-10
388.12094473838806,94,8.605448339604867e-06,5.734166380029531e-11,1714592694.968249,392.9409911632538,6429,5.514909012911778e-10,6.08832565091473e-10
426.64371395111084,95,7.732356984702971e-06,4.963714343055455e-11,1714592733.4910884,431.4638304710388,7072,4.5845044927831003e-10,5.080875927088646e-10
469.094087600708,96,7.144825514199645e-06,4.477841177692982e-11,1714592775.941948,473.9146900177002,7779,3.7864520625058115e-10,4.2342361802751097e-10
515.8038971424103,97,6.835523537911914e-06,4.213272979607372e-11,1714592822.6516564,520.6243984699249,8557,3.2662198312248127e-10,3.68754712918555e-10
567.1872200965881,98,6.266276946855231e-06,3.704625216020555e-11,1714592874.035042,572.0077841281891,9413,2.875161618267689e-10,3.245624139869744e-10
623.587283372879,99,5.777554049030589e-06,3.2800931029333964e-11,1714592930.4353802,628.4081223011017,10354,2.537161523830795e-10,2.865170834124135e-10
685.5198659896851,100,5.660679064909506e-06,3.177835742639253e-11,1714592992.3679476,690.3406896591187,11389,2.2619312894652852e-10,2.5797148637292107e-10
753.8422584533691,101,5.139421184622935e-06,2.8838054373669547e-11,1714593060.6897857,758.6625277996063,12528,2.0346110497009385e-10,2.322991593437634e-10
828.7211418151855,102,4.52113752016342e-06,2.487528975849032e-11,1714593135.5685768,833.5413188934326,13781,1.7983265604459343e-10,2.0470794580308376e-10
911.4122860431671,103,4.13555175109131e-06,2.2457774759525384e-11,1714593218.2598267,916.2325687408447,15159,1.6081423115592502e-10,1.8327200591545042e-10
1000.0261545181274,104,3.846127203539286e-06,2.0221546801772034e-11,1714593306.8737006,1004.8464426994324,16635,1.415077082659266e-10,1.6172925506769864e-10
