step,_step,l2_error,time,_runtime,loss,_timestamp,loss_boundary,loss_interior
32,32,0.09560053363716128,5.176478862762451,10.354618072509766,0.03722596788744463,1715507761.928163,0.02587798323412154,0.011347984653323094
33,33,0.09560053363716128,5.232969284057617,10.411017417907715,0.035832820584139335,1715507761.9845624,0.02351277393446131,0.012320046649678023
34,34,0.09560053363716128,5.292804956436157,10.471010208129883,0.035832820584139335,1715507762.0445552,0.02351277393446131,0.012320046649678023
35,35,0.096352153617774,5.353688955307007,10.531791687011719,0.035832820584139335,1715507762.1053367,0.02351277393446131,0.012320046649678023
36,36,0.126090164121322,5.4132866859436035,10.59136700630188,0.035820813367866376,1715507762.164912,0.023519523948171688,0.012301289419694687
37,37,0.126090164121322,5.473629713058472,10.651715278625488,0.0347795196486245,1715507762.2252603,0.026173450238360697,0.008606069410263805
38,38,0.126090164121322,5.534503221511841,10.712581157684326,0.0347795196486245,1715507762.2861261,0.026173450238360697,0.008606069410263805
39,39,0.12609425223060622,5.5901572704315186,10.768213033676147,0.0347795196486245,1715507762.341758,0.026173450238360697,0.008606069410263805
40,40,0.13581631706654784,5.645763874053955,10.823825120925903,0.03477951946605551,1715507762.39737,0.026173889336305496,0.00860563012975001
42,41,0.13727257576918758,5.755122900009155,10.933196067810059,0.03454146746624011,1715507762.506741,0.026905369096377738,0.00763609836986237
46,42,0.1367548477650523,5.973724603652954,11.151800632476807,0.03438801853636905,1715507762.7253456,0.025815180332523117,0.008572838203845932
50,43,0.1374808678080119,6.19164252281189,11.369743347167969,0.03350435894913971,1715507762.9432883,0.025634286194854517,0.007870072754285192
55,44,0.10485137398434446,6.482332468032837,11.660456657409668,0.032309168279463646,1715507763.2340016,0.019419458665613617,0.012889709613850027
61,45,0.08723780558071174,6.833193063735962,12.011338472366333,0.03154732989062076,1715507763.5848835,0.014778462201922903,0.016768867688697855
67,46,0.0854642935266146,7.183605432510376,12.361700296401978,0.029521360710099018,1715507763.9352453,0.012942758246807838,0.01657860246329118
73,47,0.08369644262429071,7.519563674926758,12.697765350341797,0.028739066989267426,1715507764.2713103,0.01296740837833398,0.015771658610933444
