l2_error,_timestamp,loss,_step,loss_boundary,loss_interior,step,time,_runtime
0.12852411084370796,1714603045.4056842,0.0177970357181979,42,0.015873430391523693,0.0019236053266742054,46,12.104872703552246,15.91238522529602
0.09590056335448278,1714603046.3035438,0.012554630696030512,43,0.010592974600700545,0.0019616560953299666,50,13.002726554870605,16.81024479866028
0.09515422422890356,1714603047.4124274,0.012257682313941965,44,0.010290235333736101,0.0019674469802058643,55,14.111933708190918,17.91912841796875
0.08857811067718759,1714603048.7748017,0.009637872979573544,45,0.008622925140216781,0.001014947839356764,61,15.474274158477783,19.281502723693848
0.05477369943357917,1714603050.1371884,0.00583739601593166,46,0.004460123366241933,0.0013772726496897275,67,16.8363254070282,20.64388942718506
0.045512237437525034,1714603051.4848225,0.004460288116019347,47,0.003642534130985286,0.0008177539850340608,73,18.184332132339478,21.991523504257202
0.03960994879757457,1714603053.2573469,0.0035448560465794242,48,0.0031071172140666077,0.00043773883251281657,81,19.956541538238525,23.764047861099243
0.039320314738346955,1714603055.0423772,0.003305671794545019,49,0.0029037873771840315,0.00040188441736098727,89,21.741723775863647,25.549078226089478
0.0324007423846096,1714603057.0935845,0.0023063981506558666,50,0.001933414818084445,0.0003729833325714216,98,23.793169498443604,27.600285530090332
0.031122958061759055,1714603059.1743321,0.00173631300027976,51,0.0014785284934350483,0.00025778450684471154,107,25.87399196624756,29.68103313446045
0.03371921975094951,1714603061.740416,0.001306339944812014,52,0.0011389079269233727,0.0001674320178886411,118,28.43999981880188,32.247117042541504
0.026622323974291276,1714603064.496613,0.0011065108949814455,53,0.0009537395755369656,0.00015277131944447993,130,31.19603729248047,35.00331401824951
0.023673705697676743,1714603067.4717028,0.0008359957204972885,54,0.0007322233026370283,0.00010377241786026022,143,34.171300172805786,37.9784038066864
0.016063064417468527,1714603070.6633909,0.00047532749197935623,55,0.0004044919458843029,7.083554609505333e-05,157,37.36300039291382,41.1700918674469
0.013773978702561406,1714603074.1060228,0.000285740121486984,56,0.00024311869558534143,4.262142590164254e-05,172,40.80560779571533,44.61272382736206
0.009100435552251335,1714603078.2154615,0.00012436783144485837,57,0.00010233490963194397,2.203292181291439e-05,190,44.91476583480835,48.72216248512268
0.0049061783554882185,1714603082.3607774,6.545664549366142e-05,58,4.6864361518321156e-05,1.8592283975340263e-05,208,49.06026554107666,52.867478370666504
0.0034362908127602964,1714603087.126368,1.4830163031896914e-05,59,1.1832566717546927e-05,2.9975963143499867e-06,229,53.82591724395752,57.63306903839111
0.0017714913720060675,1714603092.3727922,6.176083108588508e-06,60,4.56586425658963e-06,1.6102188519988773e-06,252,59.07227897644043,62.87949323654175
0.0004789454247917968,1714603098.1451037,5.282223073450813e-07,61,3.006104177297114e-07,2.2761188961536992e-07,277,64.84437656402588,68.65180468559265
4.893111598607578e-05,1714603104.5882072,9.308268805043935e-09,62,5.875042776310198e-09,3.4332260287337375e-09,305,71.28781723976135,75.09490823745728
6.118731731793869e-06,1714603111.525958,2.5259514201816777e-10,63,5.862238629509708e-11,1.9397275572307068e-10,335,78.2255220413208,82.03265905380249
3.5268793935473723e-06,1714603119.3808522,3.8955202418552004e-11,64,8.41623414202746e-12,3.0538968276524544e-11,369,86.08008575439453,89.88755321502686
