_step,step,time,_runtime,l2_error,loss_boundary,loss,loss_interior,_timestamp
36,36,707.3318920135498,707.8436381816864,0.0017850582326062515,3.726933802369944e-06,5.906617591641709e-05,5.533924211404714e-05,1730045177.086373
37,37,741.0703732967377,741.5818405151367,0.001500161817502168,3.276948363936768e-06,5.800409535313623e-05,5.4727146989199464e-05,1730045210.8245754
38,38,774.7066624164581,775.2183954715729,0.001812670322798123,2.0552580460925647e-06,5.6083540568841776e-05,5.402828252274921e-05,1730045244.4611304
39,39,808.4485306739807,808.9603202342987,0.00140490859728876,2.1570546568147355e-06,5.1005658260148826e-05,4.884860360333409e-05,1730045278.2030551
40,40,842.1263897418976,842.6379580497742,0.0014864362839884693,2.714502844372129e-06,4.022643764128561e-05,3.751193479691348e-05,1730045311.880693
41,42,909.5953981876373,910.1072006225586,0.0025222129651219106,2.995407753236033e-06,2.5622716135681043e-05,2.262730838244501e-05,1730045379.3499355
42,46,1044.2792391777039,1044.791098833084,0.0011347979819486022,1.1658548896312116e-06,1.7051766170998126e-05,1.5885911281366913e-05,1730045514.0338337
43,50,1178.8020613193512,1179.3139452934265,0.0012031034514253904,1.2414377111344036e-06,7.417547207211907e-06,6.176109496077503e-06,1730045648.5566802
44,55,1347.359657049179,1347.8715453147888,0.0007133205796419473,8.726260087276746e-07,5.895951592041258e-06,5.0233255833135834e-06,1730045817.1142802
45,61,1549.5472757816315,1550.059133052826,0.0005450466365023199,3.696884470741884e-07,3.0589332448799808e-06,2.6892447978057924e-06,1730046019.301868
46,67,1751.8490793704987,1752.3609178066254,0.0004670144191512314,2.4932640854808703e-07,2.2770612316644692e-06,2.027734823116382e-06,1730046221.6036527
47,73,1953.8874771595001,1954.3993418216705,0.00039310318907193075,2.1383042794572207e-07,1.726516429377752e-06,1.5126860014320299e-06,1730046423.6420767
48,81,2223.107359647751,2223.6192219257355,0.00037136673128418325,1.4879503913886887e-07,1.3167256563923837e-06,1.167930617253515e-06,1730046692.8619568
49,89,2492.513032913208,2493.0248737335205,0.00031032647808791874,1.1961324789801715e-07,1.0550074629542523e-06,9.353942150562352e-07,1730046962.2676086
50,98,2795.8910291194916,2796.4028606414795,0.0002784858846379038,9.70442506578961e-08,8.647188217553475e-07,7.676745710974514e-07,1730047265.6455956
51,105,3031.9196105003357,3032.431476354599,0.00025237218426818486,8.283916642217784e-08,7.506522888371732e-07,6.678131224149954e-07,1730047501.6742113
