step,loss_boundary,loss,loss_interior,time,_step,_runtime,l2_error,_timestamp
17,0.09728361621070691,0.13001541205571593,0.032731795845009015,80.42946243286133,17,83.47941970825195,0.37807111775494257,1717831722.7924907
18,0.06733652950681354,0.09888459004010647,0.031548060533292926,84.78236293792725,18,87.83234143257141,0.37900475744894174,1717831727.1454124
19,0.06741998123746845,0.08630517179469314,0.018885190557224693,89.1336874961853,19,92.18386816978455,0.3783285369198196,1717831731.4969392
20,0.0670927088395378,0.08595356539135082,0.018860856551813028,93.48743915557861,20,96.53747057914734,0.36611669445593065,1717831735.8505416
21,0.06254069490670706,0.0769073539579459,0.01436665905123883,97.84109807014465,21,100.89109539985657,0.3647103118036678,1717831740.2041664
22,0.06197293842279571,0.07395990415250439,0.01198696572970868,102.19529581069946,22,105.24532866477966,0.35915035183235927,1717831744.5583997
23,0.06011608677343495,0.07118042953603419,0.01106434276259925,106.54960465431213,23,109.59958148002625,0.35719317009705814,1717831748.9126525
24,0.05945075972016647,0.06871816929800816,0.009267409577841687,110.90373992919922,24,113.95371603965759,0.35137751158824876,1717831753.266787
25,0.05756682047776768,0.0667795543335278,0.009212733855760111,115.25779700279236,25,118.30777144432068,0.3510390951316991,1717831757.6208425
26,0.0574397813402702,0.06486416086819957,0.007424379527929365,119.61170482635498,26,122.66187858581543,0.30370444139035163,1717831761.9749496
27,0.0432585874175898,0.046394937253248385,0.003136349835658585,123.96745443344116,27,127.01784634590149,0.2792082031359537,1717831766.3309174
28,0.03525505436700848,0.03923057823399691,0.003975523866988427,128.32343888282776,28,131.37339043617249,0.2765108123301827,1717831770.6864614
29,0.03457295272413801,0.03631865151893588,0.0017456987947978722,132.6785068511963,29,135.72873067855835,0.2765108123301827,1717831775.0418017
30,0.03457295272413801,0.03631865151893588,0.0017456987947978722,137.05434322357178,30,140.1055760383606,0.27522694208512777,1717831779.418647
31,0.03419579407884126,0.03555387636484129,0.0013580822860000262,141.412770986557,31,144.463317155838,0.27269643318789466,1717831783.7763882
32,0.03352896704591696,0.034870774729478596,0.0013418076835616417,145.7750186920166,32,148.8256597518921,0.27153231719953363,1717831788.1387308
33,0.03318864336808852,0.03434011403968147,0.0011514706715929509,150.1308877468109,33,153.18093943595886,0.2701050673163322,1717831792.4940104
34,0.03282214163096344,0.033788314251392004,0.0009661726204285619,154.48530387878418,34,157.5358600616455,0.2486055091710462,1717831796.848931
35,0.02730807510297901,0.02828526545841747,0.000977190355438463,158.84447860717773,35,161.89467430114746,0.24763891676695035,1717831801.2077453
36,0.02708234262460269,0.02784540552991984,0.0007630629053171481,163.2029149532318,36,166.25298023223877,0.24578717979845507,1717831805.5660512
37,0.026634346276854612,0.02760424551966089,0.0009698992428062794,167.55770993232727,37,170.60774993896484,0.2452854789119302,1717831809.920821
38,0.026497719317930827,0.027077664457721796,0.0005799451397909672,171.9129819869995,38,174.96342277526855,0.2438971934589098,1717831814.2764938
39,0.026143287167655134,0.026789429503578703,0.0006461423359235684,176.2682604789734,39,179.31832885742188,0.24267382793256734,1717831818.6313999
40,0.02585730838243727,0.026277078412951654,0.000419770030514385,180.62462258338928,40,183.67520904541016,0.23890848021101438,1717831822.98828
42,0.02490870550877759,0.025202513161661947,0.00029380765288435854,189.18026971817017,41,192.23149633407593,0.21525651474563118,1717831831.5445673
