loss,time,_step,_runtime,loss_interior,_timestamp,loss_boundary,step,l2_error
6.545397316262049e-05,2468.104097366333,27,2471.995838165283,3.703033381667738e-05,1716127239.048494,2.8423639345943103e-05,27,0.025787146107539592
5.672131516402617e-05,2556.2951905727386,28,2560.1869127750397,3.178772156521529e-05,1716127327.2395687,2.493359359881088e-05,28,0.025753526332835095
5.264452174452765e-05,2644.483957529068,29,2648.3756773471832,2.9653995435129123e-05,1716127415.4283333,2.299052630939852e-05,29,0.025837068079532788
4.957076635253838e-05,2732.681566953659,30,2736.5733001232147,2.7822228569963967e-05,1716127503.625956,2.174853778257442e-05,30,0.025841438517500172
4.78322477734171e-05,2820.8719658851624,31,2824.7636942863464,2.676947804185722e-05,1716127591.8163502,2.106276973155988e-05,31,0.02574035247261152
4.460863321447584e-05,2909.0585374832153,32,2912.9501972198486,2.5177273066252325e-05,1716127680.0028532,1.943136014822351e-05,32,0.025718299695887233
4.033070174536847e-05,2997.2481338977814,33,3001.13991189003,2.3512046428029377e-05,1716127768.1925678,1.6818655317339087e-05,33,0.025607108361636134
3.578658520849168e-05,3085.4335610866547,34,3089.3251428604126,2.148831625691249e-05,1716127856.3777988,1.4298268951579192e-05,34,0.025459411303847733
3.2949189774826786e-05,3173.6100420951843,35,3177.5016570091248,2.0378911453799178e-05,1716127944.554313,1.2570278321027608e-05,35,0.025477859811127653
3.0512058966711324e-05,3261.7871584892273,36,3265.678894519806,1.914088558737947e-05,1716128032.7315505,1.1371173379331855e-05,36,0.025467727577825356
2.7638653582237514e-05,3349.964136838913,37,3353.8558402061462,1.7527174612986247e-05,1716128120.9084961,1.0111478969251265e-05,37,0.02541029712147962
2.644715681927109e-05,3438.15562915802,38,3442.0474891662598,1.699263701260265e-05,1716128209.100145,9.45451980666844e-06,38,0.025517670598674116
2.481909238608299e-05,3526.344345331192,39,3530.236113548279,1.5942429095140805e-05,1716128297.2887695,8.876663290942185e-06,39,0.025509922631898423
2.2842555242302523e-05,3614.5340189933777,40,3618.4258382320404,1.4669782166470743e-05,1716128385.4784942,8.172773075831782e-06,40,0.025539041087481743
1.8485679250530347e-05,3790.7302074432373,41,3794.622022628784,1.1960465297532053e-05,1716128561.6746786,6.525213952998294e-06,42,0.025359068164229375
1.3030984699526629e-05,4142.901122331619,42,4146.792849063873,8.884988154182144e-06,1716128913.845505,4.145996545344484e-06,46,0.025304999522165566
9.258973355693341e-06,4495.0844650268555,43,4498.977022409439,6.5651543636354e-06,1716129266.0296783,2.693818992057941e-06,50,0.025281450653666094
