loss_interior,time,_runtime,_timestamp,loss,step,_step,l2_error,loss_boundary
116.89034946827474,2.974517583847046,6.8150458335876465,1716646764.4225388,117.80140321862562,50,43,1.2551353054116652,0.9110537503508866
114.67725622945437,3.0630640983581543,6.903698444366455,1716646764.5111914,115.48068529977243,55,44,1.1808619348909304,0.8034290703180559
110.81856146012652,3.165452718734741,7.006155014038086,1716646764.613648,111.47816382754839,61,45,1.0727362104417193,0.6596023674218638
105.06976888634108,3.268040418624878,7.108770847320557,1716646764.7162638,105.57764051853884,67,46,0.94365550938723,0.5078716321977609
96.7299576566027,3.369858741760254,7.210785150527954,1716646764.818278,97.09413207440899,73,47,0.7993862058692591,0.3641744178062819
80.77629821191975,3.503284454345703,7.34414005279541,1716646764.951633,81.0040753407473,81,48,0.6230525304624881,0.22777712882755255
60.745170810827055,3.6361441612243652,7.477304220199585,1716646765.0847971,60.96163246649057,89,49,0.5835239458533721,0.21646165566351755
41.95433268381708,3.7800161838531494,7.621001958847046,1716646765.228495,42.33557762974402,98,50,0.7612134328676853,0.38124494592694186
34.53278232869945,3.923908233642578,7.764920949935913,1716646765.3724139,35.10438307274492,107,51,0.919306662536722,0.571600744045474
29.638071366852138,4.097761869430542,7.938608884811401,1716646765.5461018,30.225369561136226,118,52,0.9092024322016266,0.5872981942840892
27.38288543916405,4.282401084899902,8.123361587524414,1716646765.7308545,27.943469745525274,130,53,0.8862274571142427,0.5605843063612236
25.63297315886273,4.481019020080566,8.322096824645996,1716646765.9295897,26.29153371980929,143,54,0.9709695750124115,0.658560560946561
23.99436335291916,4.693689823150635,8.535019397735596,1716646766.1425123,24.76461749613047,157,55,1.050930135578591,0.7702541432113121
22.561283122103486,4.920977354049683,8.762996196746826,1716646766.3704891,23.4046575750279,172,56,1.1030071852195407,0.8433744529244155
21.005109809217682,5.193675994873047,9.032611846923828,1716646766.6401048,21.95261181151548,190,57,1.1726694741852333,0.9475020022977984
19.543827229914292,5.463738203048706,9.30523133277893,1716646766.9127243,20.577252342450645,208,58,1.2274314862514928,1.0334251125363536
17.85554278840313,5.77337646484375,9.61525845527649,1716646767.2227514,18.983354503839145,229,59,1.2848764891589315,1.1278117154360126
15.967239948315104,6.111626386642456,9.953370332717896,1716646767.5608633,17.192759766690433,252,60,1.342323766846257,1.2255198183753298
13.852939236152041,6.479318380355835,10.321145296096802,1716646767.9286382,15.182618275531581,277,61,1.401417610887254,1.3296790393795406
11.503527331556874,6.886971473693848,10.729036569595337,1716646768.3365295,12.960035796847624,305,62,1.470289636194496,1.4565084652907496
9.262440019992038,7.320667266845703,11.163002729415894,1716646768.7704957,10.88785068744557,335,63,1.5565419865046617,1.6254106674535316
7.422193157039974,7.81240177154541,11.654618263244629,1716646769.2621112,9.254030916469368,369,64,1.6540453954596641,1.8318377594293946
6.087020542629617,8.35007929801941,12.19289779663086,1716646769.8003907,8.052500223401138,406,65,1.71306614404647,1.9654796807715211
4.972117972415194,8.925405740737915,12.767824172973633,1716646770.375317,6.9809787777385175,446,66,1.731690527655673,2.008860805323324
3.9631070167706417,9.566547632217407,13.408857345581055,1716646771.0163503,5.94308920827195,491,67,1.7191229542864042,1.979982191501309
3.062163446197995,10.265311002731323,14.107565879821777,1716646771.7150588,4.9596666081389476,540,68,1.6832417274436744,1.8975031619409526
2.2240037131664194,11.038631200790405,14.880914449691772,1716646772.4884074,3.9990261074866744,594,69,1.6279811084836346,1.7750223943202548
1.6005269109219866,11.87433671951294,15.716770648956299,1716646773.3242636,3.2097355214457854,653,70,1.5494526773890938,1.6092086105237986
