l2_error,loss_interior,loss,time,_step,step,_timestamp,_runtime,loss_boundary
2.2952876557646116,10.726792246313158,14.506342235402862,71.00049877166748,44,55,1715606235.4031856,74.84317064285278,3.7795499890897046
2.3381295722133193,9.753894860480088,13.605879495049052,78.11138987541199,45,61,1715606242.5140321,81.954017162323,3.8519846345689635
2.3885880970292765,8.941119118138284,12.967148365152585,85.1811089515686,46,67,1715606249.583555,89.02354001998901,4.026029247014303
2.417781004419698,8.439524583240033,12.545644994831418,92.25311636924744,47,73,1715606256.6555364,96.09552145004272,4.106120411591386
2.444049063653201,7.862852750209086,12.073729008658583,101.99106693267822,48,81,1715606266.393489,105.83347392082214,4.210876258449497
2.4725045996443886,7.383166651404455,11.696925326777125,111.61387705802917,49,89,1715606276.0165453,115.45653033256531,4.31375867537267
2.499248403862762,6.939757108423894,11.286229646044983,122.78291630744934,50,98,1715606287.1852758,126.62526082992554,4.346472537621088
2.5083961639238175,6.523014670903417,10.958948681398269,133.6027591228485,51,107,1715606298.0056436,137.4456286430359,4.435934010494853
2.535614416094723,6.206487066984379,10.649261160184004,146.7891902923584,52,118,1715606311.192156,150.63214111328125,4.442774093199625
2.5443712759219825,5.840159736983888,10.333963041646932,161.4082806110382,53,130,1715606325.8229008,165.2628858089447,4.493803304663044
2.5430582919679496,5.5242582749686395,10.072251443208025,177.50468277931213,54,143,1715606341.9085102,181.34849524497986,4.547993168239386
2.54296593653077,5.289375914418464,9.832282563435617,194.0817747116089,55,157,1715606358.4845536,197.92453861236572,4.542906649017153
2.4555790726987206,4.741786926338272,9.117937804712902,212.41869950294495,56,172,1715606376.8214524,216.26143741607666,4.376150878374629
2.2498162294885673,4.189571103266057,7.834007846911163,234.1792814731598,57,190,1715606398.5852003,238.0251853466034,3.6444367436451057
1.403123836686161,3.479448862059147,4.822921444316807,255.85040760040283,58,208,1715606420.2533324,259.6933174133301,1.3434725822576603
1.2550963272850069,2.118961387028729,3.21785497719127,281.59429025650024,59,229,1715606445.9971404,285.43712544441223,1.0988935901625412
1.154054528447404,1.7367376535989396,2.6604428875812154,309.31753492355347,60,252,1715606473.721757,313.1617419719696,0.9237052339822756
1.0541554181686947,1.4530878205094717,2.2374880712443352,339.49385261535645,61,277,1715606503.8968146,343.33679962158203,0.7844002507348635
0.9701588726838477,1.2708074867062686,1.9375074704670903,373.0653975009918,62,305,1715606537.4681368,376.9081218242645,0.6666999837608216
0.9029090537191042,1.1565399460925898,1.728122329387504,408.49205112457275,63,335,1715606572.895587,412.33557200431824,0.5715823832949143
0.8382161760006135,1.079152796407236,1.566466352150371,448.71530199050903,64,369,1715606613.1183863,452.5583713054657,0.487313555743135
0.7702996763649123,1.0090264716041732,1.4271974653583814,493.17842960357666,65,406,1715606657.5814667,497.02145171165466,0.41817099375420813
0.702276433254087,0.9435615028231289,1.2914977121733098,541.3578629493713,66,446,1715606705.7610934,545.201078414917,0.3479362093501809
0.5627334711824843,0.8082134659991944,1.0312722806393357,596.3201806545258,67,491,1715606760.7232366,600.1632215976715,0.2230588146401414
0.2790186296138332,0.46974597343730773,0.5292045908838423,656.0179753303528,68,540,1715606820.4211082,659.8610932826996,0.0594586174465346
0.22633317373793355,0.33354273970847464,0.3770298250759729,721.851381778717,69,594,1715606886.2544715,725.694456577301,0.043487085367498214
0.2176324338031423,0.23245328274137428,0.2753989296083442,794.1052751541138,70,653,1715606958.5084243,797.948409318924,0.04294564686696996
0.2171268448450491,0.17353606820805595,0.217632717241672,873.3296434879303,71,718,1715607037.732666,877.172651052475,0.04409664903361605
0.21411647640228157,0.134469017894024,0.17780286202006265,960.1163325309753,72,790,1715607124.5195057,963.959490776062,0.04333384412603867
0.20523174194390417,0.1057254831239876,0.14586982341732202,1055.4689509868622,73,869,1715607219.8732445,1059.313229560852,0.04014434029333442
0.19590398335333897,0.09038772070229364,0.12710806176795006,1161.3728408813477,74,956,1715607325.7772355,1165.217220544815,0.03672034106565641
0.1733044769625535,0.06835152464506238,0.09736333102605763,1276.689224243164,75,1052,1715607441.092745,1280.532730102539,0.029011806380995243
0.1432696494317009,0.04972645718297174,0.0699456432974563,1404.415272951126,76,1157,1715607568.818852,1408.2588369846344,0.02021918611448456
0.09229215036539172,0.02965513991716062,0.04027657571364021,1546.3764281272888,77,1272,1715607710.7801838,1550.2201688289642,0.010621435796479589
0.08057038907335161,0.02062723246730106,0.027441415338593088,1703.2560033798218,78,1400,1715607867.6597943,1707.099779367447,0.006814182871292025
0.06427144780690168,0.012802586792510432,0.017260011816149907,1873.1145644187927,79,1539,1715608037.5180078,1876.9579927921295,0.004457425023639475
0.0596053696753303,0.010540335089509517,0.014392304463408745,2062.219935655594,80,1693,1715608226.6235046,2066.063489675522,0.0038519693738992273
0.054156401399873474,0.008119909080376075,0.011327449882266796,2269.7914502620697,81,1863,1715608434.1946037,2273.6345887184143,0.0032075408018907205
0.049997408204760396,0.00648432623344803,0.009241778476397301,2495.7491176128387,82,2049,1715608660.1527214,2499.5927064418793,0.00275745224294927
0.045685269270349285,0.00503091279419067,0.007348539312177169,2742.00212597847,83,2254,1715608906.4062946,2745.8462796211243,0.0023176265179864985
0.04278399089395331,0.004207882847624702,0.006253158033048992,3000.9601747989655,84,2467,1715609165.3634343,3004.8034193515778,0.0020452751854242905
