loss_interior,loss,l2_error,_step,_runtime,_timestamp,loss_boundary,step,time
1225.125,4.4024513683115354e+21,90175113297.03166,18,48.97241282463074,1726529435.5963738,4.4024513683115354e+21,18,46.75739669799805
1225.125,4.117130654372359e+21,86893811957.51659,19,51.44995665550232,1726529438.0739176,4.117130654372359e+21,19,49.23443031311035
1225.125,3.664037356392741e+21,83385827226.75967,20,53.92773914337158,1726529440.5517,3.664037356392741e+21,20,51.71207046508789
1225.125,3.453239016223606e+21,79198166245.75827,21,56.40515375137329,1726529443.0291147,3.453239016223606e+21,21,54.18983292579651
1225.125,3.1715636706113413e+21,75867817848.29019,22,58.88342356681824,1726529445.5073845,3.1715636706113413e+21,22,56.667107820510864
1225.125,2.8366211174078323e+21,73059408031.36543,23,61.362600326538086,1726529447.9865613,2.8366211174078323e+21,23,59.14705204963684
1225.125,2.695846284415577e+21,70488055830.60416,24,63.841806173324585,1726529450.4657671,2.695846284415577e+21,24,61.6264283657074
1225.125,2.472049131124269e+21,66365785132.80562,25,66.31957602500916,1726529452.943537,2.472049131124269e+21,25,64.10391664505005
1225.125,2.1950870754425755e+21,64810858899.59783,26,68.79723453521729,1726529455.4211955,2.1950870754425755e+21,26,66.58141493797302
1225.125,2.064351540864857e+21,60882397368.88308,27,71.27553057670593,1726529457.8994915,2.064351540864857e+21,27,69.05961012840271
1225.125,1.8605534397034673e+21,58297716351.62156,28,73.75410389900208,1726529460.3780649,1.8605534397034673e+21,28,71.5374186038971
1225.125,1.6969716867196246e+21,56096543448.35247,29,76.23337483406067,1726529462.8573358,1.6969716867196246e+21,29,74.01813626289368
1225.125,1.566032493116265e+21,53455354023.83379,30,78.71496796607971,1726529465.338929,1.566032493116265e+21,30,76.49989008903503
1225.125,1.4280423347696939e+21,51236150063.81314,31,81.19331645965576,1726529467.8172774,1.4280423347696939e+21,31,78.97742748260498
1225.125,1.314331258067267e+21,49085586387.71197,32,83.6809618473053,1726529470.3049228,1.314331258067267e+21,32,81.4545042514801
1225.125,1.2030900988738913e+21,46963459646.720566,33,86.16379070281982,1726529472.7877517,1.2030900988738913e+21,33,83.94827175140381
1225.125,1.1025900359535494e+21,44965361800.254776,34,88.64205741882324,1726529475.2660184,1.1025900359535494e+21,34,86.42656302452087
1225.125,1.0120412997359168e+21,43097862306.00032,35,91.12137365341187,1726529477.7453346,1.0120412997359168e+21,35,88.90569877624512
1225.125,9.272059830852928e+20,41271380345.65745,36,93.60232996940613,1726529480.226291,9.272059830852928e+20,36,91.38640928268433
1225.125,8.537879327977915e+20,39858014827.93028,37,96.08168482780457,1726529482.7056458,8.537879327977915e+20,37,93.86674427986145
1225.125,8.226866287491638e+20,39381248060.43063,38,98.56071877479553,1726529485.1846797,8.226866287491638e+20,38,96.34500360488892
1225.125,7.566367901590667e+20,36220369383.08264,39,101.04019570350647,1726529487.6641567,7.566367901590667e+20,39,98.8249671459198
1225.125,6.561615821186778e+20,34770088846.04975,40,103.51885032653809,1726529490.1428113,6.561615821186778e+20,40,101.3029842376709
1225.125,5.5272031566331825e+20,32331144147.429893,41,108.4193377494812,1726529495.0432987,5.5272031566331825e+20,42,106.20324206352234
1225.125,3.999538500988501e+20,26790422217.571297,42,118.14754724502563,1726529504.7715082,3.999538500988501e+20,46,115.9314489364624
1225.125,2.7576045609681682e+20,22607641972.2273,43,127.86843228340149,1726529514.4923933,2.7576045609681682e+20,50,125.65289115905762
1225.125,1.8363056453391725e+20,18305878601.260155,44,140.00397038459778,1726529526.6279314,1.8363056453391725e+20,55,137.78840374946594
1225.125,1.0663561961279875e+20,14020703678.571003,45,154.55879282951355,1726529541.1827538,1.0663561961279875e+20,61,152.35031390190125
1225.125,6.355678237950112e+19,10821087668.877148,46,169.11271047592163,1726529555.7366714,6.355678237950112e+19,67,166.90081572532654
1225.125,3.786335004257967e+19,8329083001.5108595,47,183.6656367778778,1726529570.2895977,3.786335004257967e+19,73,181.45609641075134
1225.125,1.8893246083442147e+19,5905156052.369685,48,203.05368399620056,1726529589.677645,1.8893246083442147e+19,81,200.84417033195496
