time,_timestamp,loss_interior,loss_boundary,_step,step,loss,_runtime,l2_error
3.0194568634033203,1715919950.5166817,0.00014968346446087873,2.7338435274026085,42,46,2.7339932108670695,7.044306755065918,1.8761564810984817
3.0928385257720947,1715919950.5898423,0.0001545830533390814,2.7295943915431793,43,50,2.7297489745965184,7.117467403411865,1.8742944726416
3.181011199951172,1715919950.6783683,0.00016082601984665203,2.724287338314238,44,55,2.7244481643340843,7.205993413925171,1.8719671241313511
3.2818973064422607,1715919950.7790556,0.0001684884874342945,2.7179247817985286,45,61,2.718093270285963,7.306680679321289,1.8691743407159485
3.3828325271606445,1715919950.8800766,0.00017633728003374916,2.711568063418359,46,67,2.711744400698393,7.407701730728149,1.8663813107585192
3.485001802444458,1715919950.9823673,0.00018437360086738226,2.705216567616989,47,73,2.7054009412178566,7.509992361068726,1.86358773598979
3.6110572814941406,1715919951.1083453,0.00019538086427818392,2.696755030838237,48,81,2.696950411702515,7.6359703540802,1.8598616623394864
3.736116647720337,1715919951.2334704,0.00020671836020435362,2.6883004624965956,49,89,2.6885071808567997,7.7610955238342285,1.856133601468901
3.8764142990112305,1715919951.3737342,0.00021985793285405497,2.678795908951388,50,98,2.679015766884242,7.90135931968689,1.8519365731472526
4.018232345581055,1715919951.515481,0.00023339231629304383,2.669297034440258,51,107,2.669530426756551,8.043106079101562,1.8477358057763114
4.184914588928223,1715919951.682192,0.00025045358053208105,2.657692745467364,52,118,2.657943199047896,8.209817171096802,1.8425955312026423
4.3655686378479,1715919951.8627536,0.0002697008154033828,2.6450373270130982,53,130,2.6453070278285016,8.390378713607788,1.836979098219553
4.562198638916016,1715919952.0596995,0.0002912870398737935,2.6313278906589455,54,143,2.6316191776988194,8.587324619293213,1.830882384329726
4.765810489654541,1715919952.2630684,0.0003153803746589685,2.6165598210412866,55,157,2.6168752014159455,8.790693521499634,1.824300149695745
4.985358953475952,1715919952.4825566,0.00034216195985859447,2.6007264086344244,56,172,2.601068570594283,9.010181665420532,1.8172258793661966
5.247084617614746,1715919952.7443655,0.00037560972682790846,2.58170317536561,57,190,2.582078785092438,9.271990537643433,1.8087025662681662
5.507743835449219,1715919953.0049758,0.00041047337920377164,2.562644291907541,58,208,2.563054765286745,9.53260087966919,1.8001368423344848
5.809068441390991,1715919953.3063343,0.0004529264978313947,2.540349413698586,59,229,2.5408023401964175,9.833959341049194,1.7900826557831213
6.142025709152222,1715919953.6388128,0.0005016331510809321,2.5158391580474704,60,252,2.516340791198551,10.166437864303589,1.7789861175464314
6.494999885559082,1715919953.9926333,0.0005572651704531434,2.4890662310728864,61,277,2.4896234962433397,10.52025842666626,1.7668118963846728
6.871870994567871,1715919954.3694754,0.0006230666863315752,2.4588923790021986,62,305,2.45951544568853,10.897100448608398,1.7530221146862688
7.2799904346466064,1715919954.7774553,0.0006979380782478983,2.426316250292757,63,335,2.427014188371005,11.30508041381836,1.738049103537442
7.743062973022461,1715919955.2407477,0.0007886617875618543,2.3890599288878582,64,369,2.38984859067542,11.768372774124146,1.7208120908732332
8.235602617263794,1715919955.733177,0.000894998466078673,2.3480824057003193,65,406,2.348977404166398,12.260802030563354,1.701709288613574
8.776714563369751,1715919956.2741568,0.0010194926373239244,2.3032478338649187,66,446,2.3042673265022424,12.80178189277649,1.6806294426610076
9.379936456680298,1715919956.8774233,0.0011720808215617546,2.2521210114285566,67,491,2.2532930922501184,13.405048370361328,1.6563555471536766
10.046789646148682,1715919957.544429,0.0013539414537535265,2.195604822415006,68,540,2.1969587638687598,14.072054147720337,1.6292217910419347
10.771726131439209,1715919958.2693968,0.0015737381463078886,2.1323037683796264,69,594,2.133877506525934,14.797021865844727,1.5984434483721568
11.55915093421936,1715919959.056625,0.0018372200497097516,2.061960302327014,70,653,2.0637975223767238,15.58424997329712,1.563744222230208
12.41981291770935,1715919959.9174905,0.0021554387791336413,1.9831388046030298,71,718,1.9852942433821634,16.445115566253662,1.5242155400594177
13.389105081558228,1715919960.8868039,0.0025412707766922205,1.8944197508346114,72,790,1.8969610216113038,17.41442894935608,1.4788631517022734
14.438467979431152,1715919961.9362574,0.003002841682690435,1.7957477082892344,73,869,1.7987505499719247,18.463882446289062,1.4272886230062753
15.590843677520752,1715919963.0885482,0.0035523387810939833,1.686090774208309,74,956,1.6896431129894032,19.616173267364502,1.3684748300378242
16.89376926422119,1715919964.3909764,0.0041971818500054665,1.5648195535458194,75,1052,1.5690167353958249,20.918601512908936,1.3014553667058895
18.302571296691895,1715919965.799934,0.004925937750705262,1.4331917415786186,76,1157,1.4381176793293238,22.327558994293213,1.2261647111277605
19.845718145370483,1715919967.3429961,0.005713241759719745,1.2920769243311316,77,1272,1.2977901660908513,23.87062120437622,1.1422317786544987
21.546648263931274,1715919969.0442533,0.006514766267504856,1.1412473933816651,78,1400,1.14776215964917,25.57187843322754,1.0484966213021782
23.37859869003296,1715919970.8765533,0.00721235907966714,0.9879551253252902,79,1539,0.9951674844049573,27.404178380966187,0.9486394824638636
25.409799337387085,1715919972.9074426,0.0076773845851125485,0.8343228295336853,80,1693,0.8420002141187979,29.435067653656006,0.8438565529023547
27.66746950149536,1715919975.1655653,0.007737213869393231,0.6876640875330499,81,1863,0.695401301402443,31.693190336227417,0.7403121577028823
30.156639099121094,1715919977.6546414,0.00724597833671797,0.5564774309167425,82,2049,0.5637234092534604,34.18226647377014,0.6478490404088806
32.8808159828186,1715919980.3787289,0.006139008259676451,0.44611653593397155,83,2254,0.452255544193648,36.90635395050049,0.5769496408061621
35.89444828033447,1715919983.3929515,0.004557209066789087,0.36084474959182244,84,2479,0.3654019586586115,39.92057657241821,0.5368353520934352
39.20531988143921,1715919986.70389,0.0029777808603755553,0.3001765184735062,85,2727,0.3031542993338817,43.23151516914368,0.5267701197748834
42.83350658416748,1715919990.331827,0.0022726282973017224,0.26021040514472127,86,3000,0.262483033442023,46.85945200920105,0.5352299828104812
46.795485973358154,1715919994.2943442,0.003333648278671435,0.2347893339504974,87,3299,0.23812298222916883,50.82196927070618,0.5476914297154031
51.16175699234009,1715919998.6602802,0.006224637521215079,0.21790287708334646,88,3629,0.22412751460456154,55.18790531158447,0.555594747653963
55.928465366363525,1715920003.4270508,0.009658789668079332,0.20586488764954824,89,3992,0.2155236773176276,59.954675912857056,0.5572587316399219
