loss,_runtime,l2_error,loss_interior,time,_step,_timestamp,step,loss_boundary
0.09153593775240397,8.645277261734009,0.06589167374827734,0.08711330269681428,4.462530136108398,42,1715358078.3754303,46,0.004422635055589696
0.058054521421558244,8.851656436920166,0.05874849996781832,0.05435883441637529,4.668883562088013,43,1715358078.5818095,50,0.0036956870051829513
0.03969382270789651,9.115980863571167,0.052831056461532404,0.03678783133642983,4.933212995529175,44,1715358078.846134,55,0.0029059913714666818
0.02509558298493007,9.427794218063354,0.04741718645728511,0.022911145473460178,5.244044542312622,45,1715358079.1579473,61,0.002184437511469892
0.012333386767194011,9.729668855667114,0.045833370470298146,0.01051344793262178,5.5468385219573975,46,1715358079.459822,67,0.0018199388345722307
0.008066121962420033,10.02125358581543,0.03485074601127314,0.006645073667671804,5.83848237991333,47,1715358079.7514067,73,0.0014210482947482296
0.004833032829789752,10.412785291671753,0.030060071877547483,0.0036790160827736913,6.229908466339111,48,1715358080.1429384,81,0.0011540167470160609
0.0036791390874791295,10.801020860671997,0.026278145350584578,0.0027196829226233364,6.61825156211853,49,1715358080.531174,89,0.0009594561648557929
0.002835567159649611,11.248716115951538,0.02471516026396476,0.002023217536685619,7.065873622894287,50,1715358080.9788692,98,0.0008123496229639921
0.0023875895189351664,11.697485446929932,0.022781702310511517,0.001656521325118614,7.514671564102173,51,1715358081.4276385,107,0.0007310681938165524
0.0018569497931348574,12.242210149765015,0.020519477489196383,0.0012449595227966518,8.059290409088135,52,1715358081.9723632,118,0.0006119902703382055
0.0013775244460768913,12.84877610206604,0.01784495399082635,0.000883567817282267,8.665955305099487,53,1715358082.5789292,130,0.0004939566287946243
0.000988585748227674,13.526392221450806,0.015382788196096942,0.0006235476416426831,9.343563318252563,54,1715358083.2565453,143,0.00036503810658499076
0.0006417918433223495,14.233271598815918,0.012117415225325022,0.00041007035715625754,10.050386428833008,55,1715358083.9634247,157,0.000231721486166092
0.0003889477113080145,15.006130933761597,0.009415145030470097,0.00025935091522173357,10.823265314102173,56,1715358084.736284,172,0.00012959679608628096
0.0002573893732861246,15.909657001495361,0.006938196433728014,0.0001763146329817866,11.726662874221802,57,1715358085.63981,190,8.107474030433803e-05
0.0001584241815921545,16.845433473587036,0.004793741954413914,0.00011324886426261236,12.662517309188843,58,1715358086.5755866,208,4.517531732954213e-05
