loss,time,loss_boundary,_timestamp,l2_error,_runtime,loss_interior,step,_step
4.1645557786707195e-05,9.489001274108887,3.97554787928042e-06,1729104535.313281,0.0022824807082407693,10.45008897781372,3.767000990742678e-05,42,41
2.3657468501650144e-05,11.032918214797974,1.0342877574670556e-06,1729104536.858261,0.0007506180551351673,11.995069026947021,2.262318074418309e-05,46,42
1.4826224693601524e-05,12.509440898895264,3.9133889051802836e-07,1729104538.3339956,0.0005277155076191827,13.470803499221802,1.4434885803083496e-05,50,43
1.3219320679264572e-05,13.70056414604187,2.901115898638062e-07,1729104539.5249088,0.0005104412776637628,14.66171669960022,1.2929209089400766e-05,55,44
1.0149513709364524e-05,15.372719287872314,2.0424026475671362e-07,1729104541.1970136,0.0004450919173215016,16.333821535110474,9.94527344460781e-06,61,45
6.257027622274899e-06,17.23227620124817,1.053607928872326e-07,1729104543.0565531,0.0002930188128939804,18.193361043930054,6.151666829387666e-06,67,46
3.964248090469032e-06,18.531701803207397,3.9678887686679096e-08,1729104544.3559859,0.00018928204659422079,19.492793798446655,3.924569202782352e-06,73,47
2.2358858500922616e-06,21.074848413467407,4.847342687731153e-08,1729104546.89914,0.00019434684956552836,22.035947799682617,2.18741242321495e-06,81,48
1.090919933841673e-06,22.530237674713135,1.92433689160752e-08,1729104548.3544881,0.00013188384084682005,23.49129605293274,1.0716765649255977e-06,89,49
8.815015216807537e-07,26.104005336761475,5.354330797315864e-08,1729104551.9283106,0.00027808075938477034,27.065118551254272,8.27958213707595e-07,98,50
7.831983981662459e-07,28.201006650924683,5.484397550111786e-08,1729104554.0254655,0.0002975176542685526,29.162273406982422,7.28354422665128e-07,107,51
5.585067102032005e-07,30.742132902145386,4.038622539864744e-08,1729104556.56652,0.00027892643580311964,31.703327894210815,5.18120484804553e-07,118,52
2.822786945865589e-07,34.66972374916077,8.152431123141547e-09,1729104560.494008,9.143314254612359e-05,35.6308159828186,2.7412626346341737e-07,130,53
