time,_step,_runtime,step,loss_boundary,loss_interior,loss,_timestamp,l2_error
7.770857572555542,42,12.048932313919067,82,0.0006054758816217913,0.00013097281786323255,0.0007364486994850238,1712870013.1470973,0.01884685236404266
8.086937189102173,43,12.365087747573853,88,0.0004478752030616755,0.00010377157394989912,0.0005516467770115747,1712870013.4632528,0.01544823405735838
8.36330795288086,44,12.641489505767822,93,0.0003300043233100443,9.604182437241834e-05,0.00042604614768246263,1712870013.7396545,0.013655336899920927
8.67263126373291,45,12.950725078582764,99,0.0002629483387078746,7.651062375455897e-05,0.0003394589624624336,1712870014.04889,0.011815321184965196
9.034995794296265,46,13.313144207000732,106,0.0001876976647748118,6.165470151375418e-05,0.000249352366288566,1712870014.4113092,0.009965673216611605
9.395128965377808,47,13.673255443572998,113,0.00014343764697252268,5.046404427562248e-05,0.00019390169124814516,1712870014.7714205,0.00884539736097634
9.758534669876099,48,14.036659240722656,120,0.00010747006928787886,4.182729240412821e-05,0.00014929736169200708,1712870015.1348243,0.007550842451555358
10.1744704246521,49,14.452609300613403,128,8.092060180790912e-05,3.3679098833245e-05,0.00011459970064115412,1712870015.5507743,0.005994390347517244
10.602695226669312,50,14.88081431388855,136,5.149418194890804e-05,2.6472405945808164e-05,7.79665878947162e-05,1712870015.9789793,0.0052496740166348725
11.071384191513062,51,15.349726438522339,145,3.696164579960827e-05,2.13295343996483e-05,5.829118019925657e-05,1712870016.4478915,0.004463474261344947
11.539483547210693,52,15.817220449447632,154,2.7922004654866446e-05,1.7989629515762696e-05,4.591163417062914e-05,1712870016.9153855,0.0037909586585396565
12.048718929290771,53,16.326330423355103,164,2.1989173990232394e-05,1.4793161203232634e-05,3.6782335193465026e-05,1712870017.4244955,0.003249650199759298
12.619524240493774,54,16.897283792495728,175,1.5253589711746394e-05,1.139769526279639e-05,2.6651284974542783e-05,1712870017.9954488,0.002905745092406563
13.181415557861328,55,17.45902132987976,186,1.1903263861103707e-05,9.160147607740977e-06,2.1063411468844685e-05,1712870018.5571864,0.002614242249343016
13.795187950134277,56,18.072847604751587,198,8.717140872008396e-06,7.0794959837272575e-06,1.5796636855735654e-05,1712870019.1710126,0.0021306590021873146
14.465552568435669,57,18.74323320388794,211,6.135261290219192e-06,5.5132419317478096e-06,1.1648503221967002e-05,1712870019.8413982,0.0018699556608491833
15.134021997451782,58,19.411593675613403,224,4.519384068796862e-06,4.302750259631718e-06,8.82213432842858e-06,1712870020.5097587,0.0015852028432397358
15.85454511642456,59,20.13219928741455,238,3.5060476084663923e-06,3.2796933958374047e-06,6.785741004303797e-06,1712870021.2303643,0.0014422931082337122
16.673753023147583,60,20.951385974884033,254,2.4922335312968404e-06,2.4075086296264432e-06,4.899742160923283e-06,1712870022.049551,0.0011666472406517809
17.511924982070923,61,21.78959369659424,270,1.9428381499573866e-06,1.8517636487506665e-06,3.794601798708053e-06,1712870022.8877587,0.0010458581631358488
18.436381340026855,62,22.71407389640808,288,1.5624106689892278e-06,1.4348535349554693e-06,2.997264203944697e-06,1712870023.812239,0.0009537773288223106
19.356486797332764,63,23.634130477905273,306,1.2813617001716787e-06,1.0912907579222072e-06,2.372652458093886e-06,1712870024.7322955,0.0008491050510950061
20.381409168243408,64,24.659025192260742,326,1.0694808109507925e-06,8.296704237917268e-07,1.8991512347425193e-06,1712870025.7571902,0.0007847679986446166
21.459477186203003,65,25.737096071243286,347,9.06113807458423e-07,6.498282599971061e-07,1.5559420674555293e-06,1712870026.835261,0.0007375277464994305
22.59129571914673,66,26.86933732032776,369,7.804558184976043e-07,5.301563254136557e-07,1.31061214391126e-06,1712870027.9675024,0.0006845738867374484
23.80987310409546,67,28.087998628616333,393,6.6719624257468e-07,4.4553572802250674e-07,1.1127319705971867e-06,1712870029.1861637,0.000637444756572472
25.105902433395386,68,29.384023189544678,418,5.818050273527636e-07,3.9218178318826214e-07,9.739868105410257e-07,1712870030.4821882,0.0005899451895360988
26.566757678985596,69,30.844482421875,445,5.08842072846954e-07,3.4721476893568064e-07,8.560568417826347e-07,1712870031.9426475,0.0005388656593068717
