_timestamp,loss_boundary,loss_interior,loss,step,time,_step,_runtime
1710887055.483206,5.749135471035186e-09,1.3665274756640726e-07,1.4240188303744244e-07,61,13.900224447250366,46,18.05140495300293
1710887056.0489268,4.279924334353843e-09,1.1319720771564486e-07,1.174771320499987e-07,63,14.465955972671509,47,18.617125749588013
1710887056.787617,4.581678087690135e-09,8.709133150399483e-08,9.167300959168496e-08,66,15.2045738697052,48,19.355815887451172
1710887057.5752223,4.5614560284988355e-09,5.084171174723112e-08,5.540316777572996e-08,69,15.992248058319092,49,20.143421173095703
1710887058.7184372,2.8576430650741786e-09,3.0636760726935846e-08,3.3494403792010026e-08,72,17.135436534881592,50,21.286636114120483
1710887059.4082646,4.712395371451049e-09,2.378692444068767e-08,2.849931981213872e-08,75,17.82526445388794,51,21.976463556289673
1710887060.7289503,4.396982231541989e-09,2.15456130607715e-08,2.5942595292313488e-08,78,19.145727157592773,52,23.297149181365967
1710887061.3140206,3.0785010325666896e-09,2.1242008856568988e-08,2.4320509889135678e-08,82,19.73095417022705,53,23.882219552993774
1710887061.7295198,2.389745967888247e-09,2.1155659576999583e-08,2.354540554488783e-08,85,20.14652919769287,54,24.29771876335144
1710887062.2870202,1.8260442632333952e-09,2.084760753452532e-08,2.2673651797758714e-08,89,20.704025745391846,55,24.85521912574768
1710887062.868311,1.644595449471932e-09,2.04529901661937e-08,2.209758561566563e-08,93,21.28533959388733,56,25.43650984764099
1710887063.6013625,1.8258664031659876e-09,1.976558685152153e-08,2.1591453254687518e-08,97,22.018390655517578,57,26.1695613861084
1710887064.1455545,2.5711876261746843e-09,1.8911214940496397e-08,2.1482402566671083e-08,101,22.56256651878357,58,26.71375346183777
1710887064.7092597,4.075509156146885e-09,1.7628875016364926e-08,2.1704384172511813e-08,105,23.1262948513031,59,27.277458667755127
1710887065.653423,7.3276886681060484e-09,1.5964075143597122e-08,2.329176381170317e-08,110,24.070451021194458,60,28.221621990203857
1710887066.4800496,8.005409722304147e-09,1.4174852540988305e-08,2.218026226329245e-08,114,24.89705538749695,61,29.048248529434204
1710887067.4190788,9.818814270984966e-09,1.2356933229169629e-08,2.2175747500154594e-08,119,25.83609175682068,62,29.98727774620056
1710887068.851354,1.03477746530742e-08,9.932747085104301e-09,2.02805217381785e-08,124,27.268405437469482,63,31.41955280303955
1710887070.337095,8.436298805346513e-09,8.19726771836132e-09,1.6633566523707834e-08,130,28.753777980804443,64,32.9052939414978
1710887071.4565887,5.689344394557971e-09,7.576976429944042e-09,1.3266320824502014e-08,135,29.87361168861389,65,34.02478766441345
1710887073.018389,3.022151065572602e-09,7.08653672930378e-09,1.0108687794876382e-08,141,31.43531084060669,66,35.58658790588379
1710887074.505563,1.4347774517536362e-09,6.5056138886459665e-09,7.940391340399603e-09,147,32.92257356643677,67,37.07376194000244
1710887076.277862,3.271994938877493e-10,6.126303921936382e-09,6.453503415824131e-09,154,34.69486093521118,68,38.84606099128723
1710887078.073345,4.424029603008873e-10,5.886129543770911e-09,6.328532504071798e-09,160,36.49035835266113,69,40.64154386520386
1710887080.855637,7.307239142964862e-10,5.541562731134218e-09,6.272286645430704e-09,167,39.27265524864197,70,43.42383599281311
1710887084.217115,2.0245766391694193e-10,5.4584725512839845e-09,5.660930215200926e-09,174,42.633867502212524,71,46.785313844680786
1710887087.3892,5.166943779286147e-11,5.18749827871741e-09,5.239167716510271e-09,182,45.80617666244507,72,49.957398891448975
1710887089.254383,1.3123041052800072e-10,5.086131877213241e-09,5.217362287741242e-09,190,47.67135810852051,73,51.82258200645447
1710887091.6147804,1.54132378045637e-10,4.854567732700332e-09,5.0087001107459694e-09,198,50.03163766860962,74,54.182979345321655
1710887093.992349,1.3347866910526213e-10,4.715974904492764e-09,4.849453573598026e-09,206,52.40934729576111,75,56.560547828674316
1710887096.753218,2.7302982047939383e-10,4.498043712090677e-09,4.771073532570071e-09,215,55.17019605636597,76,59.3214168548584
1710887099.7754111,2.793076767207711e-10,4.294204426791378e-09,4.5735121035121494e-09,224,58.192139863967896,77,62.34361004829407
1710887103.7725048,1.4964704283292965e-10,4.076478981304048e-09,4.226126024136978e-09,234,62.18950343132019,78,66.34070372581482
1710887107.0005932,2.782157194781318e-10,3.959909107469936e-09,4.2381248269480676e-09,244,65.41758704185486,79,69.56879210472107
1710887110.4006715,1.1318862964080365e-10,3.865584172540477e-09,3.97877280218128e-09,254,68.81764268875122,80,72.96887040138245
1710887113.3094337,2.5304795824626236e-10,3.763216757739558e-09,4.0162647159858206e-09,265,71.72644972801208,81,75.87763261795044
1710887117.992593,1.0928930027066276e-10,3.6519759288456495e-09,3.7612652291163124e-09,277,76.40934681892395,82,80.56079196929932
1710887122.274128,2.6107142910148495e-10,3.4705060313011453e-09,3.73157746040263e-09,289,80.69087767601013,83,84.84232687950134
1710887126.026057,3.035482836803031e-10,3.35535570339138e-09,3.658903987071683e-09,301,84.44292521476746,84,88.59425592422485
1710887128.8668056,3.748025142732129e-11,3.3357705007747557e-09,3.373250752202077e-09,314,87.28350281715393,85,91.43500447273254
1710887131.93447,1.6346982629764967e-10,3.2395107405969354e-09,3.402980566894585e-09,327,90.35144448280334,86,94.50266885757446
1710887135.238302,4.290163363706895e-11,3.2188310185444017e-09,3.2617326521814706e-09,342,93.65503096580505,87,97.80650091171265
1710887140.482779,6.962089682645816e-11,3.108604870001582e-09,3.1782257668280404e-09,356,98.89943838119507,88,103.05097794532776
1710887145.7091193,3.4550124066145685e-11,2.98011512548319e-09,3.014665249549336e-09,371,104.12585210800171,89,108.27731823921204
1710887150.080881,2.393519467304118e-11,2.857300018061894e-09,2.8812352127349352e-09,387,108.49785137176514,90,112.64908003807068
1710887155.540023,2.3245689955298637e-11,2.7805198694665883e-09,2.803765559421887e-09,404,113.95705699920654,91,118.10822200775146
1710887161.5246747,1.9869317580007977e-11,2.708436989875211e-09,2.728306307455219e-09,421,119.94126677513123,92,124.09287357330322
1710887167.7953098,2.5820287855288005e-11,2.5947287880710388e-09,2.6205490759263266e-09,439,126.21227836608887,93,130.36350870132446
1710887173.3882272,3.281639634879639e-11,2.5334480796443184e-09,2.5662644759931147e-09,458,131.80519366264343,94,135.95642614364624
1710887179.8109531,3.3619966163855615e-11,2.4334968218615036e-09,2.4671167880253594e-09,478,138.22791242599487,95,142.37915205955505
1710887185.8689623,3.9086396604575755e-11,2.3873169713405967e-09,2.4264033679451722e-09,499,144.28568696975708,96,148.4371612071991
