loss_interior,time,_timestamp,step,l2_error,loss_boundary,loss,_runtime,_step
0.024610880303486404,3.303828477859497,1714840534.635422,46,0.06339772350804823,0.006048608354711012,0.030659488658197415,7.107790946960449,42
0.018101930895066,3.4240262508392334,1714840534.7555966,50,0.05858676926509281,0.004982141022117268,0.023084071917183268,7.227965593338013,43
0.013120997597627249,3.5996692180633545,1714840534.9312437,55,0.050989836516020313,0.004199587104924755,0.017320584702552003,7.4036126136779785,44
0.010582030874488784,3.7834720611572266,1714840535.1156564,61,0.04441626416006577,0.002560114412548483,0.013142145287037266,7.588025331497192,45
0.007466336580161945,3.97219181060791,1714840535.3040915,67,0.030836293748142632,0.001680236982678904,0.009146573562840848,7.776460409164429,46
0.005384817808447717,4.155805826187134,1714840535.4874468,73,0.024221493316289193,0.001352692962898621,0.006737510771346338,7.959815740585327,47
0.0038829644405712995,4.399694442749023,1714840535.731385,81,0.023127299531456195,0.0008426087431279788,0.004725573183699278,8.20375394821167,48
0.003223476077141511,4.651905298233032,1714840535.9855216,89,0.02009142487737708,0.0006363661025573263,0.003859842179698837,8.457890510559082,49
0.002442551327605855,4.942948579788208,1714840536.2746825,98,0.018094896475932806,0.0004117778683166149,0.00285432919592247,8.747051477432251,50
0.0019512137562742364,5.219520807266235,1714840536.5511827,107,0.01303286828452318,0.00032319316914842665,0.002274406925422663,9.02355170249939,51
0.0014777504576269293,5.5621232986450195,1714840536.8934188,118,0.013657214162228431,0.0002520073754291821,0.0017297578330561115,9.365787744522095,52
0.001129758974045211,5.920830011367798,1714840537.2527628,130,0.012114917770037962,0.00019062964150936944,0.0013203886155545804,9.725131750106812,53
0.0008291035397267565,6.327369213104248,1714840537.6596034,143,0.008607093550122622,0.00012818588398514735,0.0009572894237119039,10.131972312927246,54
0.0006362969107450852,6.7755677700042725,1714840538.1086314,157,0.008750874611258772,9.263572709864564e-05,0.0007289326378437308,10.581000328063965,55
0.0005145217204349937,7.230433702468872,1714840538.5626574,172,0.0064528231973488325,6.804118362707551e-05,0.0005825629040620691,11.03502631187439,56
0.00050569338704423,7.773738622665405,1714840539.1060555,190,0.00815637127629905,0.00023020572989120383,0.0007358991169354338,11.578424453735352,57
0.00028654397009685864,8.315842151641846,1714840539.6481435,208,0.005342124542822196,3.895986288137672e-05,0.00032550383297823537,12.12051248550415,58
0.0002111971955826515,8.96902585029602,1714840540.300686,229,0.005412837479872582,3.769992094632897e-05,0.00024889711652898046,12.773054838180542,59
0.0001592387649215801,9.665204286575317,1714840540.9968119,252,0.004685877139222522,3.2325248918877934e-05,0.00019156401384045802,13.469180822372437,60
0.00012776894930371317,10.416913509368896,1714840541.7486362,277,0.004013003577906222,2.2832871774421258e-05,0.00015060182107813443,14.221005201339722,61
8.828856659253975e-05,11.284177780151367,1714840542.6166272,305,0.003161435982958452,1.4506247769325862e-05,0.00010279481436186561,15.088996171951294,62
5.60473147517005e-05,12.193105697631836,1714840543.524839,335,0.003989957931595206,8.072714012253543e-06,6.412002876395404e-05,15.997207880020142,63
3.2221909209202313e-05,13.234274864196777,1714840544.5659404,369,0.002127235168080654,6.217963465606758e-06,3.843987267480907e-05,17.038309335708618,64
