_runtime,_timestamp,loss,step,time,l2_error,_step,loss_boundary,loss_interior
6.9177892208099365,1715364775.7958922,0.0005970248350850499,46,3.103029727935791,0.016239583457773616,42,0.00046546468503994725,0.00013156015004510258
7.036347150802612,1715364775.9144502,0.00035529992316782463,50,3.2214255332946777,0.01349382420329304,43,0.00027352276662637534,8.17771565414493e-05
7.173195123672485,1715364776.0512981,0.00039896426661352826,55,3.3584794998168945,0.011422328385225056,44,0.00014009690414067618,0.0002588673624728521
7.341688632965088,1715364776.2197917,0.0001525967782779981,61,3.5270559787750244,0.008588827446746607,45,9.386833805615641e-05,5.872844022184169e-05
7.499318838119507,1715364776.3774219,7.930465474085444e-05,67,3.6846485137939453,0.0061205494872244685,46,4.9588551194806696e-05,2.971610354604774e-05
7.6659095287323,1715364776.5440125,5.299446778311471e-05,73,3.8511409759521484,0.005139573919689231,47,2.9714149132288303e-05,2.3280318650826405e-05
7.887042760848999,1715364776.7651458,6.714586469237844e-05,81,4.072296380996704,0.004153041022484755,48,1.510157352763847e-05,5.204429116473997e-05
8.113555908203125,1715364776.991659,2.412160606200606e-05,89,4.298897743225098,0.0029077248273307334,49,8.896410694209028e-06,1.5225195367797033e-05
8.3451247215271,1715364777.2232277,1.2859843108007646e-05,98,4.530492305755615,0.0033102830944377174,50,5.445280640559485e-06,7.4145624674481605e-06
8.576534748077393,1715364777.4546378,9.1879546762096e-06,107,4.761943101882935,0.0018678123348761738,51,4.0237199224509825e-06,5.164234753758618e-06
8.876174926757812,1715364777.754278,7.218943995010333e-06,118,5.061583518981934,0.001403734387645213,52,2.203291052675408e-06,5.015652942334925e-06
9.20761227607727,1715364778.0857153,4.118971606404545e-06,130,5.3929338455200195,0.001217204746008459,53,1.4751240614924124e-06,2.6438475449121326e-06
9.549830198287964,1715364778.4279332,3.2945248486323083e-06,143,5.735240936279297,0.001080847980807008,54,1.2010070216607706e-06,2.093517826971538e-06
9.923157215118408,1715364778.8012602,2.219402562855381e-06,157,6.1083550453186035,0.000806098066101527,55,7.070766452887539e-07,1.512325917566627e-06
10.340665102005005,1715364779.2187681,1.6621910993607424e-06,172,6.525740623474121,0.0008745316736820408,56,5.132134889828441e-07,1.1489776103778983e-06
10.820834159851074,1715364779.6989372,8.382858234609287e-06,190,7.006070137023926,0.0008217078578160196,57,5.454648132896034e-07,7.837393421319685e-06
11.299394369125366,1715364780.1774974,9.669928537975595e-07,208,7.484615325927734,0.0005348483028614437,58,3.067856917990622e-07,6.602071619984972e-07
11.868310689926147,1715364780.7464137,7.463861729861265e-07,229,8.053569555282593,0.0005257514426746475,59,2.3303291431548144e-07,5.133532586706451e-07
12.475198984146118,1715364781.353302,5.562399578337723e-07,252,8.660474300384521,0.0005026372805124365,60,1.8013653666571501e-07,3.7610342116805733e-07
13.153083562850952,1715364782.0311866,4.995577115629642e-07,277,9.338406801223755,0.00041625191074595854,61,1.456009800801274e-07,3.5395673148283687e-07
13.902442693710327,1715364782.7805457,2.64655710624412e-07,305,10.087753772735596,0.0003423155132954665,62,8.996724702261601e-08,1.7468846360179597e-07
14.68717074394226,1715364783.5652738,1.4228673307028065e-07,335,10.872585773468018,0.00027688843824452924,63,5.512996504699902e-08,8.715676802328162e-08
15.580504655838013,1715364784.4586077,9.235151710656741e-08,369,11.765961647033691,0.000226756533786949,64,3.5393121023733116e-08,5.695839608283429e-08
16.565524578094482,1715364785.4436276,6.905972726575557e-08,406,12.750666618347168,0.00018053518900377696,65,2.747308139233673e-08,4.158664587341884e-08
17.632249355316162,1715364786.5103524,5.164440850036761e-08,446,13.817306518554688,0.00015631031367075902,66,2.0464412906007996e-08,3.117999559435961e-08
18.84613609313965,1715364787.724239,4.088756105486078e-08,491,15.031517267227173,0.00012648781803019837,67,1.4672771122972572e-08,2.6214789931888207e-08
20.13871741294861,1715364789.0168204,2.933161734920591e-08,540,16.32408595085144,0.00010343701942896563,68,1.1242682240254006e-08,1.8088935108951902e-08
21.571107864379883,1715364790.449211,2.4569165805782465e-08,594,17.756425380706787,9.124082088336766e-05,69,9.281806541355055e-09,1.5287359264427412e-08
23.13264799118042,1715364792.010751,1.9275645424565063e-08,653,19.318025827407837,8.18956201007216e-05,70,7.546555151793363e-09,1.17290902727717e-08
24.871594667434692,1715364793.7496977,1.3987644306382766e-08,718,21.056889295578003,7.144755114882415e-05,71,5.242880775921561e-09,8.744763530461205e-09
26.768792867660522,1715364795.646896,9.123871797290036e-09,790,22.95417284965515,5.440179853885765e-05,72,2.946410355338569e-09,6.177461441951466e-09
28.848896980285645,1715364797.727,6.0530856735475206e-09,869,25.03387761116028,3.950526294184227e-05,73,1.7532692107226003e-09,4.29981646282492e-09
31.144756078720093,1715364800.022859,4.153413611104908e-09,956,27.33012056350708,2.849658270139763e-05,74,9.608014042619638e-10,3.1926122068429448e-09
33.71269369125366,1715364802.5907967,2.7818384335336914e-09,1052,29.897929430007935,1.9681722870244576e-05,75,4.776257871398607e-10,2.3042126463938307e-09
36.44516849517822,1715364805.3232715,2.0335324636608647e-09,1157,32.63048791885376,1.2267063160417746e-05,76,2.9943047150394546e-10,1.7341019921569192e-09
39.472254037857056,1715364808.350357,1.5724931567819777e-09,1272,35.65752911567688,9.167725187641735e-06,77,1.9338309683614455e-10,1.3791100599458332e-09
42.86698579788208,1715364811.7450888,1.278011428514246e-09,1400,39.0522882938385,8.337953419245788e-06,78,1.343586569915539e-10,1.143652771522692e-09
46.480568647384644,1715364815.3586717,1.1087833071317134e-09,1539,42.66591286659241,6.702756191797448e-06,79,1.0902255330893876e-10,9.997607538227746e-10
50.519673585891724,1715364819.3977766,9.810603557204656e-10,1693,46.705024003982544,5.712972231920139e-06,80,9.135536977405214e-11,8.897049859464135e-10
54.95580315589905,1715364823.8339062,8.870136044271787e-10,1863,51.140873432159424,5.181080342542952e-06,81,7.694768309950051e-11,8.100659213276782e-10
59.81794786453247,1715364828.696051,7.984648039540151e-10,2049,56.00323033332825,4.6252103056488685e-06,82,6.111390117482419e-11,7.373509027791909e-10
65.03004813194275,1715364833.9081511,7.179412175460346e-10,2254,61.21549987792969,4.199876989139334e-06,83,4.8092497591826873e-11,6.698487199542077e-10
70.69943261146545,1715364839.5775356,6.492815491128351e-10,2479,66.88481187820435,3.7787674898582356e-06,84,3.708458566813103e-11,6.12196963444704e-10
76.98231983184814,1715364845.8604228,5.784273635208157e-10,2727,73.16776013374329,3.65303106508162e-06,85,2.8361546102691875e-11,5.500658174181238e-10
84.25045347213745,1715364853.1285565,5.186153323190976e-10,3000,80.43579435348511,3.3130428603169944e-06,86,2.182765191120338e-11,4.967876804078942e-10
92.06464958190918,1715364860.9427526,4.5229023361386554e-10,3299,88.24991226196289,2.879445871465079e-06,87,1.6338859948952303e-11,4.3595137366491323e-10
100.6990385055542,1715364869.5771415,3.886277111635978e-10,3629,96.88437223434448,2.3432287447838485e-06,88,1.252863723610509e-11,3.760990739274927e-10
110.22062921524048,1715364879.0987322,3.38786663551864e-10,3992,106.40577220916748,2.3025188092454163e-06,89,1.1124262810763233e-11,3.2766240074110076e-10
120.63850998878479,1715364889.516613,2.942992787954043e-10,4391,116.82390642166138,2.312139274610247e-06,90,9.592863774202254e-12,2.8470641502120203e-10
131.99843621253967,1715364900.8765392,2.5699719282321787e-10,4831,128.18366384506226,2.3417810205207634e-06,91,8.676003958956131e-12,2.4832118886426174e-10
144.41867327690125,1715364913.2967763,2.215941691299845e-10,5314,140.6040358543396,2.196134804835395e-06,92,6.9940374845762e-12,2.146001316454083e-10
157.9860234260559,1715364926.8641264,1.938271419482391e-10,5845,154.17132306098938,2.1679710083006905e-06,93,5.560212741168421e-12,1.8826692920707067e-10
172.92682647705078,1715364941.8049295,1.6905746400601047e-10,6429,169.11188077926636,1.956827320329379e-06,94,4.544034165058459e-12,1.64513429840952e-10
189.42592000961304,1715364958.304023,1.4351998979415302e-10,7072,185.61128544807434,1.9306761407402016e-06,95,4.0342884046800514e-12,1.3948570138947297e-10
207.52522563934326,1715364976.4033287,1.1395714609895368e-10,7779,203.71058797836304,1.765476889804906e-06,96,3.099130691291437e-12,1.1085801540766224e-10
