_timestamp,loss_interior,time,_step,step,l2_error,loss_boundary,loss,_runtime
1712770578.1611874,0.0003107684001217616,5.949706554412842,24,27,0.0032298476315266323,2.181626003909219e-05,0.00033258466016085374,9.564131498336792
1712770578.3399029,0.0002712284907191826,6.128068685531616,25,28,0.00318024305060387,2.030263369978414e-05,0.00029153112441896676,9.742846965789795
1712770578.6905885,0.00022156240921510187,6.479104518890381,26,30,0.003241093189469362,1.896035480153168e-05,0.00024052276401663355,10.09353256225586
1712770579.0402718,0.00018626376446997974,6.828864336013794,27,32,0.002973029812760424,1.657507247144908e-05,0.0002028388369414288,10.44321584701538
1712770579.3909512,0.00015573138442291195,7.179426670074463,28,34,0.0022931022532819787,1.55116837458814e-05,0.00017124306816879335,10.793895244598389
1712770579.7488306,0.00010333825553958108,7.537324666976929,29,36,0.002195362379298861,1.0558297411679461e-05,0.00011389655295126054,11.151774644851685
1712770580.2704854,8.591759838430091e-05,8.058966398239136,30,39,0.0019528404311263594,8.779890475661455e-06,9.469748885996236e-05,11.673429489135742
1712770580.6212356,7.477181004332488e-05,8.409648180007935,31,41,0.0017898428933612518,7.712884657901811e-06,8.248469470122668e-05,12.024179697036743
1712770581.1446006,5.037431756476552e-05,8.933095216751099,32,44,0.001583212645743265,5.710444773855851e-06,5.6084762338621375e-05,12.547544717788696
1712770581.671549,4.191210331612404e-05,9.460034370422363,33,47,0.0013521574906067198,5.051105757142964e-06,4.6963209073267004e-05,13.074493169784546
1712770582.1935506,3.215918253404064e-05,9.982036113739014,34,50,0.0013347991468882936,4.1502655128389405e-06,3.630944804687958e-05,13.596494674682617
1712770582.715338,2.7851655276301378e-05,10.504170656204224,35,53,0.0013306516358399187,3.7374635049075356e-06,3.1589118781208914e-05,14.118282079696655
1712770583.4141319,2.0138673292677344e-05,11.202915906906128,36,57,0.0011370472395026,2.751619624928332e-06,2.2890292917605677e-05,14.817075967788696
1712770583.935445,1.6569881470869363e-05,11.724298000335693,37,60,0.001053807905242926,2.378805904167112e-06,1.8948687375036477e-05,15.338389158248901
1712770584.6298501,1.0749214089701216e-05,12.418700456619263,38,64,0.0008413290121897196,1.4607451563915716e-06,1.2209959246092788e-05,16.03279423713684
1712770585.3270147,7.65859035790274e-06,13.115859270095825,39,68,0.0006750380017088074,9.893346569629534e-07,8.647925014865693e-06,16.7299587726593
1712770586.191954,4.796899822373788e-06,13.980426549911499,40,73,0.0005418979013728243,5.700853304544668e-07,5.366985152828255e-06,17.594897985458374
1712770586.8876786,3.4440667128914473e-06,14.675848960876465,41,77,0.0004620121358071137,4.807843490907968e-07,3.924851061982244e-06,18.29062271118164
1712770587.7578416,1.9221945941187503e-06,15.546781778335571,42,82,0.0004138197808554057,3.446987530851367e-07,2.266893347203887e-06,19.160785675048828
1712770588.7945426,1.014245596782902e-06,16.583532094955444,43,88,0.00033969031972759376,2.4815651331690967e-07,1.2624021100998116e-06,20.197486639022827
1712770589.667727,6.670648139226504e-07,17.455678701400757,44,93,0.00028093265253121045,1.7464410061502245e-07,8.417089145376729e-07,21.07067108154297
1712770590.7066443,4.473895202871023e-07,18.495630264282227,45,99,0.0002755408369934369,1.258139699446075e-07,5.732034902317098e-07,22.109588384628296
1712770591.9278047,2.5702674372496116e-07,19.71621608734131,46,106,0.00018455471497793387,6.273556174553403e-08,3.197623054704952e-07,23.330748796463013
1712770593.145506,1.793235692601004e-07,20.93394660949707,47,113,0.00012642525035957421,3.4328888362928915e-08,2.136524576230293e-07,24.548449993133545
1712770594.3612196,1.219116614603173e-07,22.149641513824463,48,120,8.137561299295778e-05,1.4895692299721309e-08,1.368073537600386e-07,25.764163732528687
1712770595.7509987,8.739179139767868e-08,23.539393424987793,49,128,5.78584754872164e-05,7.095331035602365e-09,9.448712243328104e-08,27.153942823410034
1712770597.1457007,6.713652321229144e-08,24.93416738510132,50,136,4.493559226810825e-05,4.60437639123715e-09,7.174089960352859e-08,28.54864478111267
1712770598.7053835,4.830321399966433e-08,26.494354486465454,51,145,3.901676687366446e-05,3.0567722140564723e-09,5.1359986213720806e-08,30.108327627182007
1712770600.2759044,3.531806099060073e-08,28.064460277557373,52,154,2.7098455618490378e-05,1.7463426225210718e-09,3.70644036131218e-08,31.67884850502014
1712770602.0170078,2.8819843777106555e-08,29.805884838104248,53,164,2.4125701363549632e-05,1.4763752898531539e-09,3.029621906695971e-08,33.41995191574097
1712770603.9285626,2.3714289837903434e-08,31.717201471328735,54,175,2.5276311674181187e-05,1.4678007493199989e-09,2.5182090587223434e-08,35.33150672912598
1712770605.832098,1.764214340995782e-08,33.62051439285278,55,186,2.015367276372198e-05,1.272899407900626e-09,1.8915042817858447e-08,37.235042095184326
1712770607.9082205,1.3773305660986078e-08,35.697145223617554,56,198,1.774582681369638e-05,9.841568073881508e-10,1.475746246837423e-08,39.31116461753845
1712770610.2828207,1.0578593134791153e-08,38.07172107696533,57,211,1.7206128801024765e-05,7.684633700447977e-10,1.1347056504835951e-08,41.6857647895813
1712770612.5535786,7.901525468487353e-09,40.34213447570801,58,224,1.6633311192414517e-05,6.429230198276212e-10,8.544448488314975e-09,43.956522703170776
1712770614.981143,6.240058073118614e-09,42.770263671875,59,238,1.508577313605706e-05,4.6478275629085163e-10,6.704840829409465e-09,46.38408708572388
1712770617.7772233,5.3908628198056596e-09,45.566153049468994,60,254,1.1703475408404553e-05,3.209354825105257e-10,5.7117983023161855e-09,49.18016743659973
1712770620.5719497,4.714300302081688e-09,48.36083698272705,61,270,1.0247452783669367e-05,2.267750832038893e-10,4.941075385285578e-09,51.97489380836487
1712770623.6962283,3.8549908230658685e-09,51.484673500061035,62,288,8.117026642842013e-06,1.3720337313884418e-10,3.992194196204713e-09,55.09917235374451
1712770626.827,3.1001909073029027e-09,54.615562915802,63,306,6.823991052971955e-06,8.044102248971022e-11,3.1806319297926127e-09,58.2299439907074
1712770630.3007631,2.3722096699697442e-09,58.08963418006897,64,326,5.976220549212046e-06,5.3121447752153995e-11,2.4253311177218982e-09,61.703707218170166
1712770633.9342275,1.7428002929503833e-09,61.72318077087402,65,347,4.591923324556253e-06,4.684423723786493e-11,1.7896445301882483e-09,65.33717155456543
1712770637.7403502,1.3035250257017436e-09,65.5292763710022,66,369,3.6516706257351253e-06,3.6108132207292896e-11,1.3396331579090366e-09,69.14329433441162
1712770641.8933835,9.092385556617798e-10,69.68185949325562,67,393,3.240763156091912e-06,2.338060439671726e-11,9.32619160058497e-10,73.29632759094238
1712770646.2284904,5.931515834673702e-10,74.01658749580383,68,418,2.9461748431772257e-06,1.585067080096136e-11,6.090022542683315e-10,77.6314344406128
1712770650.9099717,4.4222996929083113e-10,78.69840550422668,69,445,2.3757729713439188e-06,8.66396380128241e-12,4.5089393309211354e-10,82.31291580200195
1712770655.749007,3.579429315291989e-10,83.53794431686401,70,473,2.0405741170408054e-06,6.127442685940179e-12,3.6407037421513907e-10,87.15195107460022
1712770661.1180496,2.6527887989134007e-10,88.90648126602173,71,504,1.9963803539301077e-06,6.282678533533028e-12,2.7156155842487307e-10,92.52099370956421
1712770666.6701612,2.0065739830760375e-10,94.4591121673584,72,536,2.210956476777184e-06,6.990940752389682e-12,2.0764833905999343e-10,98.0731053352356
1712770672.7037668,1.464590797841688e-10,100.49186587333679,73,571,1.7917259722452445e-06,4.247234591716898e-12,1.507063143758857e-10,104.10671091079712
1712770678.9435508,1.0977242297659408e-10,106.73233199119568,74,607,9.57957767948989e-07,1.3900802413153314e-12,1.1116250321790941e-10,110.3464949131012
1712770685.6861289,7.639028866577717e-11,113.47455644607544,75,646,6.811932053075637e-07,6.368486275921056e-13,7.702713729336927e-11,117.08907294273376
1712770693.0186934,4.95059262538204e-11,120.80760049819946,76,688,6.802047165090164e-07,7.730502610939211e-13,5.0278976514914325e-11,124.42163753509521
1712770700.6620574,2.4622464550820318e-11,128.45012760162354,77,732,5.859374135426433e-07,7.108424283797873e-13,2.5333306979200105e-11,132.06500148773193
1712770708.823548,1.4942428241886496e-11,136.611713886261,78,779,2.9931817610273245e-07,1.2924050767514008e-13,1.5071668749561634e-11,140.22649216651917
1712770717.515577,1.0964362448274648e-11,145.30447793006897,79,829,2.218318689291659e-07,1.2398086377308272e-13,1.1088343312047731e-11,148.91852116584778
1712770726.7150724,8.652507786942242e-12,154.50405645370483,80,882,2.226504842109186e-07,9.999670963350768e-14,8.75250449657575e-12,158.11801648139954
1712770736.5932264,6.077565783292827e-12,164.38167476654053,81,939,1.915867430720914e-07,5.881790583985969e-14,6.136383689132687e-12,167.99617052078247
1712770746.9997723,3.610922332780673e-12,174.78872084617615,82,999,2.3569181581239955e-07,1.021536288323959e-13,3.713075961613069e-12,178.40271639823914
