step,time,_step,_runtime,loss_boundary,l2_error,_timestamp,loss,loss_interior
19,3.413966417312622,19,7.482321739196777,0.1810331313893568,0.42506754408471653,1714508829.6906078,1.1049260212773466,0.9238928898879898
20,3.528831720352173,20,7.597239971160889,0.18865124854504287,0.4232312425389306,1714508829.805526,1.047592569363383,0.8589413208183401
21,3.5953328609466553,21,7.663952112197876,0.1920801457347523,0.42067870988076134,1714508829.8722382,1.0278782980574337,0.8357981523226815
22,3.6685736179351807,22,7.736952304840088,0.20016514836971114,0.4259737623967373,1714508829.9452384,0.9880681559629633,0.7879030075932522
23,3.824150323867798,23,7.8948540687561035,0.21113933659024267,0.4356296560784573,1714508830.10314,0.9455096991280079,0.7343703625377652
24,3.884272813796997,24,7.9529054164886475,0.2222811721251427,0.4372394081187486,1714508830.1611915,0.9188414523490211,0.6965602802238785
25,3.9414093494415283,25,8.010571241378784,0.22394483572541363,0.4376873536374774,1714508830.2188573,0.9153971663090696,0.691452330583656
26,4.010585069656372,26,8.079158067703247,0.22446768230816846,0.43280633438630683,1714508830.287444,0.9050642320864235,0.680596549778255
27,4.100533962249756,27,8.169137716293335,0.21978316512433196,0.4226299443358504,1714508830.3774238,0.8896820362680206,0.6698988711436886
28,4.168771028518677,28,8.242419004440308,0.2101857930796021,0.40874354315437306,1714508830.450705,0.8685705960856718,0.6583848030060697
29,4.238881587982178,29,8.307464838027954,0.19785968565455622,0.4009618696540212,1714508830.515751,0.8442172949509368,0.6463576092963805
30,4.294292211532593,30,8.3628671169281,0.19135501622815146,0.3928130454196819,1714508830.5711532,0.8353523130856776,0.6439972968575262
31,4.349989652633667,31,8.418591499328613,0.18478415814527074,0.3769227382645269,1714508830.6268775,0.8261678264429426,0.6413836682976719
32,4.413166761398315,32,8.481762409210205,0.172142305376946,0.3522440183640203,1714508830.6900485,0.8102233394854366,0.6380810341084906
33,4.469337224960327,33,8.537920713424683,0.15025341264008774,0.3559360416349401,1714508830.7462068,0.7866069042257354,0.6363534915856477
34,4.5252296924591064,34,8.593838691711426,0.1374794665394272,0.39315131255861013,1714508830.8021247,0.7515254446722052,0.614045978132778
35,4.581408500671387,35,8.649982452392578,0.1374653553601714,0.41668822723060167,1714508830.8582685,0.7141492433602932,0.5766838880001218
36,4.637532711029053,36,8.706349611282349,0.1382381892157823,0.39797363297558314,1714508830.9146357,0.670010538677466,0.5317723494616836
37,4.693634271621704,37,8.762207508087158,0.1280135569923036,0.3787953165421175,1714508830.9704936,0.6340051117219638,0.5059915547296602
38,4.749255895614624,38,8.817768573760986,0.11944983579727018,0.33671518828651686,1714508831.0260546,0.6219463570204715,0.5024965212232013
39,4.810664415359497,39,8.879296064376831,0.10035480784433791,0.30595923923031804,1714508831.087582,0.6055310700772902,0.5051762622329523
40,4.871539831161499,40,8.93993067741394,0.08384702855908026,0.2755078086930109,1714508831.1482167,0.5892020263379626,0.5053549977788824
42,4.98216700553894,41,9.050770044326782,0.0538207121086591,0.17604665450776621,1714508831.259056,0.5523645356246852,0.4985438235160261
46,5.209078311920166,42,9.278056144714355,0.050532903655956335,0.21174614816777224,1714508831.4863422,0.473412009137934,0.42287910548197766
50,5.4351160526275635,43,9.503815174102783,0.055906190937645414,0.22569696011428525,1714508831.7121012,0.4669347373085222,0.41102854637087677
55,5.722527027130127,44,9.791138410568237,0.036851915461125435,0.14321971383130513,1714508831.9994245,0.41316611728449465,0.3763142018233692
61,6.056648254394531,45,10.125361919403076,0.031196575648759373,0.1238669293450276,1714508832.333648,0.3636596034895401,0.3324630278407807
67,6.390446424484253,46,10.459154605865479,0.02594568947125388,0.11034842895455739,1714508832.6674407,0.34197125835327424,0.3160255688820204
73,6.735363006591797,47,10.804566860198975,0.025962423098322973,0.10860786210441004,1714508833.012853,0.319437025652992,0.293474602554669
81,7.173507213592529,48,11.242189645767212,0.025013888612006017,0.10872527020746109,1714508833.4504757,0.2876696308837942,0.2626557422717882
