_runtime,loss,time,step,_step,l2_error,_timestamp,loss_boundary,loss_interior
10.418193340301514,0.0006271055516022423,6.476211786270142,82,42,0.019740761274455006,1714357930.2462742,0.0005837977573417027,4.330779426053949e-05
10.752957105636597,0.00044811673197928494,6.8110198974609375,88,43,0.016691296261723665,1714357930.581038,0.000418932331313541,2.918440066574392e-05
11.031314849853516,0.0003591395074475689,7.089364767074585,93,44,0.014831640457424772,1714357930.8593957,0.00033524178201052406,2.3897725437044865e-05
11.364498615264893,0.0002851453081338985,7.422528028488159,99,45,0.013523387027941267,1714357931.1925795,0.00026237075945878953,2.277454867510896e-05
11.764987230300903,0.00020815759232330783,7.823033332824707,106,46,0.011674713403359738,1714357931.5930681,0.0001909386604319139,1.7218931891393937e-05
12.153844594955444,0.00015597798825448474,8.211931228637695,113,47,0.010181640186659624,1714357931.9819255,0.0001429340310174234,1.3043957237061338e-05
12.543492078781128,0.0001242178646164578,8.601509809494019,120,48,0.009155404810270655,1714357932.371573,0.00011333433749299024,1.0883527123467568e-05
12.996926546096802,0.00010034482911080085,9.055018663406372,128,49,0.00823897444164513,1714357932.8250074,9.150290770149183e-05,8.841921409309015e-06
13.446785688400269,8.023916869708122e-05,9.504767656326294,136,50,0.00738571996169726,1714357933.2748666,7.28955284232332e-05,7.343640273848014e-06
13.945204257965088,6.120863927135349e-05,10.003473997116089,145,51,0.006462275271011948,1714357933.7732852,5.594600120064178e-05,5.262638070711707e-06
14.445023775100708,5.0489734244839595e-05,10.503066539764404,154,52,0.005870129666427619,1714357934.2731047,4.661327193451384e-05,3.876462310325753e-06
15.005266666412354,4.101119801580726e-05,11.063276529312134,164,53,0.005243049432097827,1714357934.8333476,3.775899883724097e-05,3.25219917856629e-06
15.616020441055298,3.280599054788021e-05,11.673656463623047,175,54,0.004683890993109672,1714357935.4441013,3.0133745333623536e-05,2.6722452142566763e-06
16.225056409835815,2.6248017604862443e-05,12.283069610595703,186,55,0.00420432918805219,1714357936.0531373,2.3892914031321565e-05,2.3551035735408782e-06
16.890171766281128,2.1428601294740316e-05,12.948210000991821,198,56,0.0037667576519089304,1714357936.7182527,1.9370626074683154e-05,2.0579752200571603e-06
17.6063175201416,1.6956710750133873e-05,13.664928197860718,211,57,0.0033081931229447773,1714357937.4343984,1.521263849906753e-05,1.7440722510663445e-06
18.318737983703613,1.3187689806586257e-05,14.377337217330933,224,58,0.0029445960283504603,1714357938.1468189,1.1590276361531494e-05,1.597413445054763e-06
19.10351324081421,1.0770362816418214e-05,15.162140846252441,238,59,0.0026462424304809305,1714357938.9315941,9.360221895874046e-06,1.4101409205441687e-06
19.986164569854736,8.287434322878664e-06,16.044700860977173,254,60,0.002254076394573576,1714357939.8142455,7.039998563463606e-06,1.247435759415058e-06
20.876370191574097,6.597711348776161e-06,16.93491768836975,270,61,0.0019610290165490278,1714357940.704451,5.430828770279202e-06,1.1668825784969596e-06
21.865562438964844,5.239396761769968e-06,17.92354130744934,288,62,0.0017002227069667776,1714357941.6936433,4.205938976540828e-06,1.0334577852291404e-06
22.85907530784607,4.148830351142585e-06,18.917120456695557,306,63,0.001473483086321759,1714357942.6871562,3.232790291114568e-06,9.160400600280175e-07
