loss_boundary,loss_interior,time,_step,l2_error,_timestamp,step,loss,_runtime
4.232032140642224e-05,0.0002898057191768618,12.657296180725098,22,0.004786503176338148,1714513982.3246093,22,0.00033212604058328405,18.100314378738403
4.1727288113806666e-05,0.00020492778041854347,13.169671535491943,23,0.005278582673581526,1714513982.836988,23,0.0002466550685323501,18.612693071365356
4.818981961227589e-05,0.00019115908041720888,13.67731761932373,24,0.005493282350245215,1714513983.3447003,24,0.00023934890002948476,19.120405435562134
5.0444236905296426e-05,0.0001776002910467806,14.195149898529053,25,0.005150705796645993,1714513983.862521,25,0.00022804452795207702,19.63822603225708
3.816792079531801e-05,0.00014405874841044144,14.701749563217163,26,0.004250297190183283,1714513984.3690565,26,0.00018222666920575945,20.144761562347412
2.7245563797685747e-05,0.00013766539086503972,15.212799787521362,27,0.003948197737335848,1714513984.8801634,27,0.00016491095466272546,20.655868530273438
2.3329182970356964e-05,0.00013630678388669987,15.727288246154785,28,0.0036723218266572068,1714513985.3946223,28,0.00015963596685705683,21.17032742500305
2.1429781832689367e-05,0.00013430009118976224,16.23673915863037,29,0.0035063090272846394,1714513985.9040623,29,0.0001557298730224516,21.679767370224
2.015358009378617e-05,0.00012677031214373388,16.752771615982056,30,0.0036573276321227696,1714513986.4202678,30,0.00014692389223752006,22.19597291946411
2.1031250076601912e-05,0.0001168001392432872,17.266910791397095,31,0.0037509753109227616,1714513986.9342637,31,0.00013783138931988911,22.70996880531311
2.289878133115314e-05,0.00010338582411247534,17.7860746383667,32,0.003775293102181765,1714513987.4542067,32,0.00012628460544362847,23.22991180419922
2.3244729745505827e-05,9.577492901259017e-05,18.302712440490723,33,0.0038968852343054063,1714513987.9701352,33,0.000119019658758096,23.745840311050415
2.3209745097590656e-05,9.354877675764863e-05,18.811670303344727,34,0.0035883711811999,1714513988.4790385,34,0.00011675852185523929,24.254743576049805
2.0198652876966094e-05,9.383754821521792e-05,19.324536323547363,35,0.003247618739392273,1714513988.9919286,35,0.00011403620109218402,24.76763367652893
1.7084317413945186e-05,9.480229407389984e-05,19.842217683792114,36,0.0031925423939962367,1714513989.5096197,36,0.00011188661148784502,25.285324811935425
1.7529480206907483e-05,8.673467503643463e-05,20.35566282272339,37,0.0027387061565410328,1714513990.0229506,37,0.00010426415524334211,25.79865574836731
1.2750108789408132e-05,7.973470574648798e-05,20.86194372177124,38,0.002489180510180023,1714513990.5292673,38,9.24848145358961e-05,26.304972410202026
1.2137850239290044e-05,6.963483585779389e-05,21.372663974761963,39,0.0025272086456865255,1714513991.040014,39,8.177268609708393e-05,26.81571912765503
1.2121266687233106e-05,6.707020023435825e-05,21.880217790603638,40,0.0026974257310702307,1714513991.5475338,40,7.919146692159135e-05,27.323238849639893
1.3114867654435694e-05,6.259519249500044e-05,22.89483380317688,41,0.0024268430491043314,1714513992.5621724,42,7.571006014943614e-05,28.33787751197815
8.14425977899112e-06,5.8405185457395616e-05,24.991454124450684,42,0.0020580735933729117,1714513994.6588042,46,6.654944523638674e-05,30.43450927734375
6.482353668119287e-06,5.277945896628974e-05,27.063030242919922,43,0.0017278873914964808,1714513996.7304776,50,5.926181263440903e-05,32.50618267059326
6.728886248666556e-06,3.332030796354949e-05,29.622310161590576,44,0.0019362105384472914,1714513999.2896326,55,4.004919421221605e-05,35.06533765792847
4.453321413806415e-06,2.4286563061537016e-05,32.658079624176025,45,0.0014784871879693314,1714514002.3254662,61,2.873988447534343e-05,38.101171255111694
1.8147204605212652e-06,2.0631680171722516e-05,35.69166135787964,46,0.0011571248317992998,1714514005.3592257,67,2.2446400632243782e-05,41.13493084907532
2.757027392353418e-06,1.6673169375653234e-05,38.7566933631897,47,0.0013449704524896168,1714514008.4241347,73,1.9430196768006652e-05,44.19983983039856
1.8343894342089365e-06,1.3955080447033623e-05,42.83863019943237,48,0.0009910013292131138,1714514012.506081,81,1.578946988124256e-05,48.2817862033844
1.2937413197067438e-06,1.1075174053196423e-05,46.94491243362427,49,0.0007514095779764429,1714514016.6122253,89,1.2368915372903167e-05,52.387930393218994
3.598686462504802e-07,8.793372184975734e-06,51.37811470031738,50,0.00041736043572851504,1714514021.0455747,98,9.153240831226215e-06,56.821279764175415
1.2518893844270932e-07,7.126102857502535e-06,55.97389626502991,51,0.00023998018177845136,1714514025.6412137,107,7.251291795945244e-06,61.41691875457764
2.051091827838567e-07,6.098772997320348e-06,58.946035861968994,52,0.00033602521678312487,1714514028.6133723,118,6.303882180104205e-06,64.38907742500305
2.150928434762282e-07,5.789784396704988e-06,61.5194456577301,53,0.0003237606580501127,1714514031.186801,130,6.004877240181216e-06,66.96250605583191
1.8652721483187015e-07,1.6860747213313167e-06,67.87626266479492,54,0.0003630699215084027,1714514037.5438223,143,1.8726019361631867e-06,73.31952738761902
6.814659350781228e-08,6.495569525404063e-07,72.15342783927917,55,0.00018707047689655757,1714514041.820816,157,7.177035460482186e-07,77.5965211391449
6.398701868620023e-08,6.376591784913848e-07,72.74238514900208,56,0.000189501397460249,1714514042.4097254,172,7.01646197177585e-07,78.1854305267334
6.398701868620023e-08,6.376591784913848e-07,73.20418572425842,57,0.000189501397460249,1714514042.8716223,190,7.01646197177585e-07,78.6473274230957
6.398701868620023e-08,6.376591784913848e-07,73.66512084007263,58,0.000189501397460249,1714514043.3324351,208,7.01646197177585e-07,79.10814023017883
6.398701868620023e-08,6.376591784913848e-07,74.19760322570801,59,0.000189501397460249,1714514043.8649306,229,7.01646197177585e-07,79.64063572883606
6.398701868620023e-08,6.376591784913848e-07,74.77753329277039,60,0.000189501397460249,1714514044.4450035,252,7.01646197177585e-07,80.22070860862732
6.398701868620023e-08,6.376591784913848e-07,75.41266179084778,61,0.000189501397460249,1714514045.0800235,277,7.01646197177585e-07,80.85572862625122
6.398701868620023e-08,6.376591784913848e-07,76.12127828598022,62,0.000189501397460249,1714514045.788582,305,7.01646197177585e-07,81.56428718566895
6.398701868620023e-08,6.376591784913848e-07,76.8801691532135,63,0.000189501397460249,1714514046.5474875,335,7.01646197177585e-07,82.32319259643555
6.398701868620023e-08,6.376591784913848e-07,77.75449562072754,64,0.000189501397460249,1714514047.4218342,369,7.01646197177585e-07,83.19753932952881
6.398701868620023e-08,6.376591784913848e-07,78.68472933769226,65,0.000189501397460249,1714514048.3520281,406,7.01646197177585e-07,84.12773323059082
6.398701868620023e-08,6.376591784913848e-07,79.69313836097717,66,0.000189501397460249,1714514049.3604612,446,7.01646197177585e-07,85.13616633415222
6.398701868620023e-08,6.376591784913848e-07,80.86720252037048,67,0.000189501397460249,1714514050.534626,491,7.01646197177585e-07,86.31033110618591
6.398701868620023e-08,6.376591784913848e-07,82.11387348175049,68,0.000189501397460249,1714514051.7811754,540,7.01646197177585e-07,87.55688047409058
6.398701868620023e-08,6.376591784913848e-07,83.48488068580627,69,0.000189501397460249,1714514053.1523263,594,7.01646197177585e-07,88.92803144454956
6.398701868620023e-08,6.376591784913848e-07,84.98356413841248,70,0.000189501397460249,1714514054.6511788,653,7.01646197177585e-07,90.42688393592834
6.398701868620023e-08,6.376591784913848e-07,86.67248868942261,71,0.000189501397460249,1714514056.33987,718,7.01646197177585e-07,92.11557507514954
6.398701868620023e-08,6.376591784913848e-07,88.50354075431824,72,0.000189501397460249,1714514058.170852,790,7.01646197177585e-07,93.94655704498291
6.398701868620023e-08,6.376591784913848e-07,90.5078113079071,73,0.000189501397460249,1714514060.1751132,869,7.01646197177585e-07,95.95081830024719
6.398701868620023e-08,6.376591784913848e-07,92.69566440582275,74,0.000189501397460249,1714514062.3630366,956,7.01646197177585e-07,98.13874173164368
6.398701868620023e-08,6.376591784913848e-07,95.12695503234863,75,0.000189501397460249,1714514064.7943783,1052,7.01646197177585e-07,100.57008337974548
6.398701868620023e-08,6.376591784913848e-07,97.80204176902771,76,0.000189501397460249,1714514067.469377,1157,7.01646197177585e-07,103.24508213996887
6.398701868620023e-08,6.376591784913848e-07,100.75631666183472,77,0.000189501397460249,1714514070.4236226,1272,7.01646197177585e-07,106.19932770729065
6.398701868620023e-08,6.376591784913848e-07,104.01009821891785,78,0.000189501397460249,1714514073.6775534,1400,7.01646197177585e-07,109.4532585144043
6.398701868620023e-08,6.376591784913848e-07,107.5352828502655,79,0.000189501397460249,1714514077.2027402,1539,7.01646197177585e-07,112.97844529151917
6.398701868620023e-08,6.376591784913848e-07,111.46624422073364,80,0.000189501397460249,1714514081.1338365,1693,7.01646197177585e-07,116.90954160690308
6.398701868620023e-08,6.376591784913848e-07,115.75618577003479,81,0.000189501397460249,1714514085.4234898,1863,7.01646197177585e-07,121.19919490814209
6.398701868620023e-08,6.376591784913848e-07,120.56349229812622,82,0.000189501397460249,1714514090.2308576,2049,7.01646197177585e-07,126.00656270980835
6.398701868620023e-08,6.376591784913848e-07,125.72556447982788,83,0.000189501397460249,1714514095.393057,2254,7.01646197177585e-07,131.16876220703125
6.398701868620023e-08,6.376591784913848e-07,131.4379117488861,84,0.000189501397460249,1714514101.1054285,2479,7.01646197177585e-07,136.88113355636597
6.398701868620023e-08,6.376591784913848e-07,137.7380609512329,85,0.000189501397460249,1714514107.4054837,2727,7.01646197177585e-07,143.1811888217926
6.398701868620023e-08,6.376591784913848e-07,144.6455295085907,86,0.000189501397460249,1714514114.312997,3000,7.01646197177585e-07,150.08870220184326
6.398701868620023e-08,6.376591784913848e-07,152.22430109977722,87,0.000189501397460249,1714514121.891628,3299,7.01646197177585e-07,157.66733312606812
6.398701868620023e-08,6.376591784913848e-07,160.6194200515747,88,0.000189501397460249,1714514130.286769,3629,7.01646197177585e-07,166.06247401237488
6.398701868620023e-08,6.376591784913848e-07,169.8743917942047,89,0.000189501397460249,1714514139.5419135,3992,7.01646197177585e-07,175.31761860847473
6.398701868620023e-08,6.376591784913848e-07,180.05227518081665,90,0.000189501397460249,1714514149.7196035,4391,7.01646197177585e-07,185.49530863761902
6.398701868620023e-08,6.376591784913848e-07,191.23649406433105,91,0.000189501397460249,1714514160.903838,4831,7.01646197177585e-07,196.67954301834106
6.398701868620023e-08,6.376591784913848e-07,203.52747869491577,92,0.000189501397460249,1714514173.1949348,5314,7.01646197177585e-07,208.97063994407654
6.398701868620023e-08,6.376591784913848e-07,217.0332703590393,93,0.000189501397460249,1714514186.7008455,5845,7.01646197177585e-07,222.47655057907104
6.398701868620023e-08,6.376591784913848e-07,231.87823295593262,94,0.000189501397460249,1714514201.545581,6429,7.01646197177585e-07,237.32128620147705
6.398701868620023e-08,6.376591784913848e-07,248.11504197120667,95,0.000189501397460249,1714514217.7824564,7072,7.01646197177585e-07,253.5581614971161
6.398701868620023e-08,6.376591784913848e-07,266.0285623073578,96,0.000189501397460249,1714514235.6961365,7779,7.01646197177585e-07,271.4718415737152
