loss_interior,loss,l2_error,_timestamp,step,loss_boundary,_step,_runtime,time
2.6264412676378527e-05,3.037501727738219e-05,0.001736882006429004,1712773017.3751974,73,4.110604601003662e-06,40,36.19647240638733,32.69597792625427
2.3737032959676956e-05,2.7054713153827637e-05,0.0012865195354832138,1712773019.1184373,77,3.31768019415068e-06,41,37.93971228599548,34.439350843429565
2.2156520516349118e-05,2.3341127278150644e-05,0.0008577017633439138,1712773021.4057527,82,1.1846067618015256e-06,42,40.22702765464783,36.726622581481934
1.6202308353932372e-05,1.742341506092826e-05,0.0009720355855190855,1712773024.015043,88,1.2211067069958872e-06,43,42.836318016052246,39.33597683906555
1.3531585316522255e-05,1.4965554481786218e-05,0.0010101057723917938,1712773026.2518551,93,1.433969165263963e-06,44,45.07313013076782,41.572704553604126
9.931578882988047e-06,1.1526245223206563e-05,0.0009759614072057053,1712773028.9055688,99,1.5946663402185155e-06,45,47.72684383392334,44.226245641708374
7.44701540918443e-06,8.23430979175583e-06,0.0007239943402996516,1712773031.962734,106,7.872943825713992e-07,46,50.78400897979736,47.28359293937683
6.001287051309214e-06,6.756470514581748e-06,0.0007378824851509439,1712773034.9785573,113,7.551834632725342e-07,47,53.799832344055176,50.2994921207428
3.478940314914977e-06,4.366313091039818e-06,0.0006246826031120317,1712773038.1117923,120,8.87372776124841e-07,48,56.933067321777344,53.43259644508362
2.6056046645679695e-06,3.1249081845728822e-06,0.0005405809077715175,1712773041.6892045,128,5.193035200049127e-07,49,60.51047945022583,57.01011657714844
1.418011593823049e-06,1.7715577787757285e-06,0.00043174670736593134,1712773045.1723208,136,3.5354618495267957e-07,50,63.99359583854675,60.49306297302246
5.910711816590437e-07,6.201185950084411e-07,0.00014197138749309963,1712773049.0041282,145,2.904741334939736e-08,51,67.82540321350098,64.32495927810669
3.8958010515934896e-07,4.260976374578284e-07,0.00013934839487675385,1712773050.1201062,154,3.651753229847942e-08,52,68.9413812160492,65.44101548194885
3.851596515628509e-07,4.2382198298501926e-07,0.00014180059899649466,1712773050.347689,164,3.8662331422168357e-08,53,69.16896390914917,65.66859126091003
3.851596515628509e-07,4.2382198298501926e-07,0.00014180059899649466,1712773050.5889413,175,3.8662331422168357e-08,54,69.41021633148193,65.90980124473572
3.851596515628509e-07,4.2382198298501926e-07,0.00014180059899649466,1712773050.8355012,186,3.8662331422168357e-08,55,69.65677618980408,66.1564028263092
3.851596515628509e-07,4.2382198298501926e-07,0.00014180059899649466,1712773051.1127813,198,3.8662331422168357e-08,56,69.93405628204346,66.4336884021759
3.851596515628509e-07,4.2382198298501926e-07,0.00014180059899649466,1712773051.3903291,211,3.8662331422168357e-08,57,70.21160411834717,66.71125149726868
3.851596515628509e-07,4.2382198298501926e-07,0.00014180059899649466,1712773051.6949334,224,3.8662331422168357e-08,58,70.51620841026306,67.0158679485321
3.851596515628509e-07,4.2382198298501926e-07,0.00014180059899649466,1712773052.0191534,238,3.8662331422168357e-08,59,70.84042835235596,67.34005498886108
3.851596515628509e-07,4.2382198298501926e-07,0.00014180059899649466,1712773052.3832893,254,3.8662331422168357e-08,60,71.20456433296204,67.70420742034912
3.851596515628509e-07,4.2382198298501926e-07,0.00014180059899649466,1712773052.7526388,270,3.8662331422168357e-08,61,71.57391381263733,68.07355237007141
3.851596515628509e-07,4.2382198298501926e-07,0.00014180059899649466,1712773053.1655712,288,3.8662331422168357e-08,62,71.98684620857239,68.48647260665894
3.851596515628509e-07,4.2382198298501926e-07,0.00014180059899649466,1712773053.579145,306,3.8662331422168357e-08,63,72.40041995048523,68.90005946159363
3.851596515628509e-07,4.2382198298501926e-07,0.00014180059899649466,1712773054.00701,326,3.8662331422168357e-08,64,72.82828497886658,69.327960729599
3.851596515628509e-07,4.2382198298501926e-07,0.00014180059899649466,1712773054.493659,347,3.8662331422168357e-08,65,73.31493401527405,69.81459546089172
3.851596515628509e-07,4.2382198298501926e-07,0.00014180059899649466,1712773054.9599419,369,3.8662331422168357e-08,66,73.7812168598175,70.2808632850647
3.851596515628509e-07,4.2382198298501926e-07,0.00014180059899649466,1712773055.5152564,393,3.8662331422168357e-08,67,74.33653140068054,70.8361918926239
3.851596515628509e-07,4.2382198298501926e-07,0.00014180059899649466,1712773056.06721,418,3.8662331422168357e-08,68,74.88848495483398,71.38814997673035
3.851596515628509e-07,4.2382198298501926e-07,0.00014180059899649466,1712773056.6409678,445,3.8662331422168357e-08,69,75.46224284172058,71.96190547943115
3.851596515628509e-07,4.2382198298501926e-07,0.00014180059899649466,1712773057.253267,473,3.8662331422168357e-08,70,76.07454204559326,72.5741879940033
3.851596515628509e-07,4.2382198298501926e-07,0.00014180059899649466,1712773057.932854,504,3.8662331422168357e-08,71,76.75412893295288,73.25374603271484
3.851596515628509e-07,4.2382198298501926e-07,0.00014180059899649466,1712773058.6177626,536,3.8662331422168357e-08,72,77.43903756141663,73.9386694431305
3.851596515628509e-07,4.2382198298501926e-07,0.00014180059899649466,1712773059.41356,571,3.8662331422168357e-08,73,78.23483490943909,74.7344319820404
3.851596515628509e-07,4.2382198298501926e-07,0.00014180059899649466,1712773060.2335904,607,3.8662331422168357e-08,74,79.05486536026001,75.55449318885803
3.851596515628509e-07,4.2382198298501926e-07,0.00014180059899649466,1712773061.0658565,646,3.8662331422168357e-08,75,79.88713145256042,76.38676333427429
3.851596515628509e-07,4.2382198298501926e-07,0.00014180059899649466,1712773061.9871588,688,3.8662331422168357e-08,76,80.80843377113342,77.30786395072937
3.851596515628509e-07,4.2382198298501926e-07,0.00014180059899649466,1712773062.9239254,732,3.8662331422168357e-08,77,81.7452003955841,78.2448513507843
3.851596515628509e-07,4.2382198298501926e-07,0.00014180059899649466,1712773063.9843125,779,3.8662331422168357e-08,78,82.80558753013611,79.30522584915161
3.851596515628509e-07,4.2382198298501926e-07,0.00014180059899649466,1712773065.0871568,829,3.8662331422168357e-08,79,83.90843176841736,80.40801811218262
