time,_timestamp,step,loss,_runtime,l2_error,loss_boundary,loss_interior,_step
299.0939748287201,1729110393.755127,39,7.664867462051797e-06,299.7960538864136,0.0011923160806023212,6.517666314034857e-06,1.1472011480169406e-06,39
312.7745563983917,1729110407.435637,40,5.2579494723876455e-06,313.4765639305115,0.0018810786683122872,9.92834630874825e-07,4.26511484151282e-06,40
340.57307529449463,1729110435.2344244,42,3.4763249779931914e-06,341.27535128593445,0.002029899029714397,2.4896598504305637e-06,9.866651275626275e-07,41
397.25159645080566,1729110491.912992,46,1.3339400975957667e-06,397.9539189338684,0.0012046017296004521,1.0357238804917398e-06,2.982162171040269e-07,42
456.28726625442505,1729110550.9485896,50,6.8467277143429e-07,456.9895164966583,0.0005092288963524606,1.5871842811096886e-07,5.259543433233212e-07,43
524.8988130092621,1729110619.5601897,55,4.255148416322342e-07,525.6011166572571,0.000365287703313595,2.1736845401431353e-07,2.0814638761792066e-07,44
636.6571576595306,1729110731.318528,61,9.844865125705363e-08,637.359454870224,0.000344080364891019,5.5009423954064354e-08,4.343922730298928e-08,45
759.5951869487762,1729110854.256551,67,5.0854975396219444e-08,760.2974779605865,0.000193318030843189,2.1969596437135166e-08,2.8885378959084277e-08,46
882.8832607269287,1729110977.5446599,73,4.374425507743231e-08,883.5855867862701,0.00020346417917648207,2.8511972574819512e-08,1.5232282502612798e-08,47
1035.9538824558258,1729111130.6152482,81,2.7504257806858623e-08,1036.6561751365662,0.00010323804278343844,9.99571469321548e-09,1.7508543113643143e-08,48
1199.8545262813568,1729111294.5159144,89,2.133192199092939e-08,1200.5568413734436,9.765997354270006e-05,9.043264210958262e-09,1.2288657779971127e-08,49
1383.7481853961945,1729111478.4095147,98,9.253631437322394e-09,1384.4504415988922,5.34778107472052e-05,2.8094722854641802e-09,6.444159151858214e-09,50
1567.863337278366,1729111662.5246613,107,6.7918730398703336e-09,1568.565588235855,5.054975694413184e-05,3.164414149457691e-09,3.6274588904126424e-09,51
1793.0085406303406,1729111887.669896,118,4.459072585808311e-09,1793.7108228206635,4.060478801294138e-05,1.387005968938075e-09,3.072066616870236e-09,52
2038.056746006012,1729112132.7180786,130,3.5363344303875867e-09,2038.7590055465698,3.522582364009726e-05,1.3253853395016905e-09,2.2109490908858964e-09,53
2303.2087485790253,1729112397.870168,143,2.3850987157146436e-09,2303.911094903946,2.7903881320235256e-05,8.449891503712584e-10,1.5401095653433854e-09,54
2589.3139312267303,1729112683.9752812,157,1.8686078307606222e-09,2590.0162081718445,2.5138102160511247e-05,6.027688858057496e-10,1.2658389449548725e-09,55
2896.1243917942047,1729112990.7857726,172,1.6613816304980416e-09,2896.8266994953156,2.9527744720284816e-05,6.130153091279144e-10,1.0483663213701272e-09,56
3018.691735982895,1729113113.3530405,178,1.5464623125944977e-09,3019.3939673900604,2.1663200407604265e-05,4.3735628501147576e-10,1.1091060275830219e-09,57
