l2_error,loss_boundary,time,_timestamp,_step,loss_interior,loss,_runtime,step
0.10036856014111176,0.012511085115037571,11.090778827667236,1715441625.6972928,42,0.00170018193007567,0.014211267045113241,14.905730724334717,46
0.09272872702340801,0.011075938620680889,11.873453855514526,1715441626.479912,43,0.0008435449445629876,0.011919483565243878,15.688349962234497,50
0.08131240703546966,0.008113933065282481,12.851383686065674,1715441627.4581022,44,0.0005964636438040426,0.008710396709086524,16.666540145874023,55
0.07495158880113761,0.006486195446445503,14.034963369369507,1715441628.641528,45,0.0005852961338716849,0.007071491580317188,17.849965810775757,61
0.06581759680767073,0.004726733856944221,15.203656911849976,1715441629.8101087,46,0.00045991760286646346,0.005186651459810684,19.01854658126831,67
0.059504084588956896,0.0034356506880418303,16.355802297592163,1715441630.9621181,47,0.00029838436866465063,0.003734035056706481,20.17055606842041,73
0.05189355392040688,0.0024037542222452597,17.886486291885376,1715441632.4928823,48,0.00021899024061474556,0.0026227444628600053,21.7013201713562,81
0.04681767649897141,0.001786935445622873,19.41854190826416,1715441634.024851,49,0.00034290477572437595,0.0021298402213472487,23.233289003372192,89
0.03983721622366446,0.0013606957999683423,21.152963638305664,1715441635.7593853,50,0.0001405714605693495,0.0015012672605376918,24.967823266983032,98
0.035762340650044876,0.0008804611692187159,22.903401613235474,1715441637.5097966,51,0.00010448565652339034,0.0009849468257421062,26.718234539031982,107
0.029897406863519396,0.0005625676600908132,25.01466178894043,1715441639.6212432,52,6.518925350344784e-05,0.000627756913594261,28.829681158065796,118
0.027320497682697235,0.00042602063327839955,27.36793351173401,1715441641.9746058,53,3.6483102647508037e-05,0.0004625037359259076,31.183043718338013,130
0.023726508913369714,0.00028414620834568845,29.875138759613037,1715441644.481798,54,2.873109844350047e-05,0.0003128773067891889,33.69023585319519,143
0.021352973232867545,0.00020871471859137245,32.596747159957886,1715441647.203272,55,2.062092861230448e-05,0.00022933564720367693,36.411710023880005,157
0.019490246075897902,0.00015974394705716674,35.529393434524536,1715441650.1358576,56,1.3552583093653978e-05,0.00017329653015082073,39.344295501708984,172
0.01827901295812579,0.0001241443346652547,39.02779793739319,1715441653.634212,57,8.857569003509996e-06,0.0001330019036687647,42.842649936676025,190
0.016480866460179197,9.108466439216057e-05,42.56735563278198,1715441657.1738057,58,7.147269673947214e-06,9.823193406610779e-05,46.382243633270264,208
0.01542812134055273,7.140897227168611e-05,46.610063314437866,1715441661.2167673,59,5.620784300800677e-06,7.702975657248679e-05,50.42520523071289,229
0.01424507599336955,5.4986733718740073e-05,51.051658153533936,1715441665.658246,60,4.318745887203568e-06,5.930547960594364e-05,54.86668395996094,252
0.012908601278584644,4.042126998862895e-05,55.92181468009949,1715441670.5282762,61,3.7470996031761007e-06,4.416836959180505e-05,59.736714124679565,277
0.01186946081589057,3.112318918471872e-05,61.36177945137024,1715441675.9682233,62,2.910843523796461e-06,3.4034032708515183e-05,65.17666125297546,305
0.010941076821310987,2.4310075764226736e-05,67.09343886375427,1715441681.7000566,63,2.324070540666646e-06,2.663414630489338e-05,70.90849447250366,335
0.009967679958625606,1.8531458608858232e-05,73.63333034515381,1715441688.240018,64,1.916557316733219e-06,2.044801592559145e-05,77.44845581054688,369
0.009053849495623692,1.4103134013844816e-05,80.81624412536621,1715441695.4227834,65,1.6164936044554384e-06,1.5719627618300256e-05,84.63122129440308,406
0.008189957234187742,1.0774701874319524e-05,88.55305767059326,1715441703.1595592,66,1.3478163847002436e-06,1.2122518259019767e-05,92.36799716949463,446
