_runtime,l2_error,_timestamp,loss,loss_boundary,_step,loss_interior,step,time
2304.8524928092957,3.334933408594093e-06,1712941720.3740919,1.3896386103544097e-10,2.0470312982176085e-11,31,1.1849354805326488e-10,41,2299.6537852287292
2468.1921305656433,2.9908225326850165e-06,1712941883.7137296,1.2062170311369047e-10,1.84649191542695e-11,32,1.0215678395942097e-10,44,2462.993077993393
2633.050945520401,2.769436926465559e-06,1712942048.5725446,1.0481214321277864e-10,1.641611544354464e-11,33,8.8396027769234e-11,47,2627.8520653247833
2797.8129482269287,2.7315367026621536e-06,1712942213.3345473,8.978451523236554e-11,1.435444191115616e-11,34,7.543007332120938e-11,50,2792.6139166355133
2961.736197948456,2.7330783263720474e-06,1712942377.257797,7.72131783144139e-11,1.267531733747149e-11,35,6.453786097694241e-11,53,2956.53737616539
3182.4780988693237,2.448871606034956e-06,1712942597.999698,6.519802468514017e-11,1.1065912708780572e-11,36,5.41321119763596e-11,57,3177.279067516327
3345.2009637355804,2.306000780235609e-06,1712942760.7225628,5.807963998020125e-11,1.0168870424188082e-11,37,4.791076955601317e-11,60,3340.001857995987
3561.804927110672,2.1975738857580237e-06,1712942977.3265262,5.128632322757202e-11,9.212085706125862e-12,38,4.207423752144616e-11,64,3556.6062614917755
3778.473608970642,2.1084660645254018e-06,1712943193.995208,4.614738239832202e-11,8.409435742536741e-12,39,3.7737946655785275e-11,68,3773.27472114563
4048.4692928791046,1.9647910781588532e-06,1712943463.990892,4.0967891487090615e-11,7.577349896817337e-12,40,3.3390541590273277e-11,73,4043.2704453468323
4264.209534406662,1.8998354046233598e-06,1712943679.7311335,3.746343234125267e-11,7.011338561523297e-12,41,3.045209377972938e-11,77,4259.010605335236
4537.795991182327,1.8592440140435607e-06,1712943953.3175902,3.396620429785167e-11,6.4017310091873806e-12,42,2.7564473288664295e-11,82,4532.597207784653
4866.55837392807,1.7107887645357222e-06,1712944282.079973,2.99969855413935e-11,5.626018754193047e-12,43,2.4370966787200457e-11,88,4861.359612703323
5137.509685754776,1.5669537156582896e-06,1712944553.0312848,2.63341785133297e-11,4.988902940627943e-12,44,2.1345275572701756e-11,93,5132.310779809952
5461.917487382889,1.4782394846629983e-06,1712944877.4390864,2.2822824086300687e-11,4.301632023683233e-12,45,1.8521192062617454e-11,99,5456.718545198441
5840.359947919846,1.4452665405225612e-06,1712945255.881547,1.96615798425808e-11,3.713830563468825e-12,46,1.5947749279111974e-11,106,5835.161067724228
6220.632616519928,1.3637548905101326e-06,1712945636.1542156,1.7407473205886013e-11,3.315265723850104e-12,47,1.409220748203591e-11,113,6215.433717250824
6601.1209444999695,1.332407283295976e-06,1712946016.6425436,1.5495096144676698e-11,2.9855595208677035e-12,48,1.2509536623808996e-11,120,6595.922212123871
7046.297521829605,1.2639321431793318e-06,1712946461.819121,1.3712760113321289e-11,2.6621998798563225e-12,49,1.1050560233464967e-11,128,7041.098661184311
