l2_error,loss_interior,time,_step,_timestamp,loss_boundary,loss,step,_runtime
1.1213298777727487,2.6029657023350783,1.7972712516784668,43,1714520522.8427906,0.9357971550073191,3.5387628573423973,50,5.71831750869751
1.1388693991929983,2.3844901800611953,1.8376660346984863,44,1714520522.8832622,0.9864139592400415,3.3709041393012367,55,5.7587890625
1.1288882234945534,2.262565198692555,1.8878519535064697,45,1714520522.9333804,0.9338595441388856,3.1964247428314403,61,5.8089072704315186
1.1239240481561352,2.046791217121857,1.9355978965759277,46,1714520522.9811783,0.9553230805161057,3.002114297637963,67,5.856705188751221
1.0788129190106865,1.914096411085676,1.9871392250061035,47,1714520523.0326667,0.8929496511539717,2.807046062239648,73,5.908193588256836
1.0258512375867335,1.6763850936710252,2.052135467529297,48,1714520523.0976577,0.8416493809768731,2.5180344746478984,81,5.973184585571289
0.9510684657489176,1.4852827212625117,2.117899179458618,49,1714520523.163472,0.7550473807664234,2.2403301020289352,89,6.03899884223938
0.8641403021468219,1.1575871290878166,2.199166774749756,50,1714520523.2448459,0.6374828192296365,1.795069948317453,98,6.120372772216797
0.7368419704134668,0.7249324306237143,2.2778115272521973,51,1714520523.3233645,0.473918881191452,1.1988513118151662,107,6.1988914012908936
0.571316537577456,0.31723043150247954,2.3712263107299805,52,1714520523.4168675,0.28273206881752094,0.5999625003200004,118,6.292394399642944
0.40483503326939957,0.134947583128354,2.4776225090026855,53,1714520523.5231793,0.13574942742813967,0.27069701055649364,130,6.3987061977386475
0.3031047283662325,0.06568560597760868,2.580608606338501,54,1714520523.6261425,0.07051234961588503,0.1361979555934937,143,6.501669406890869
0.22718213224852415,0.036012448645742476,2.6942386627197266,55,1714520523.7397683,0.038586500791114274,0.07459894943685674,157,6.615295171737671
0.16088927068593473,0.024405791114706143,2.813687801361084,56,1714520523.8592222,0.020938433348155445,0.045344224462861585,172,6.73474907875061
0.11358990038124936,0.01820712495020469,2.9569835662841797,57,1714520524.0025396,0.012227430422674388,0.030434555372879077,190,6.878066539764404
0.0890902038030715,0.014422382323275333,3.131694793701172,58,1714520524.177608,0.009087775109203946,0.02351015743247928,208,7.053134918212891
0.07617840664120656,0.011625819265924462,3.311633825302124,59,1714520524.357242,0.007707947734807083,0.019333767000731545,229,7.232769012451172
0.07057897700575035,0.009628342824154373,3.4963674545288086,60,1714520524.5419984,0.007087977974168521,0.016716320798322894,252,7.417525291442871
0.06799127269545106,0.008127529248105857,3.7084615230560303,61,1714520524.7540216,0.006744675481882348,0.014872204729988205,277,7.6295485496521
