loss_boundary,_timestamp,l2_error,loss,time,_runtime,loss_interior,step,_step
0.013660445570310202,1711581805.7908247,0.023993729910232013,0.1563371935606661,1016.6737384796143,1020.2475507259369,0.1426767479903559,20,20
0.00038262522151711226,1711581853.9340403,0.006092277366449218,0.012445565360492673,1064.8168528079987,1068.3907663822174,0.01206294013897556,21,21
3.1436790022949344e-05,1711581902.025467,0.003699398711953017,0.002133052145128108,1112.9083757400513,1116.482192993164,0.0021016153551051586,22,22
1.458815080660517e-05,1711581950.1396568,0.0007291091321014516,0.00047745407966064726,1161.0226981639862,1164.596382856369,0.0004628659288540421,23,23
6.324174065431776e-07,1711581998.1356695,0.00022610874079638337,3.051983907043639e-05,1209.0184025764465,1212.5923955440521,2.9887421663893215e-05,24,24
4.884230790076332e-08,1711582046.3190336,0.00013104906947552578,1.746093710939467e-06,1257.202125787735,1260.7757596969604,1.6972514030387037e-06,25,25
7.926865741159727e-09,1711582094.7388105,4.677892501311339e-05,6.657496941438643e-08,1305.6217951774597,1309.1955366134644,5.86481036732267e-08,26,26
1.0840675191103034e-09,1711582142.7752297,2.0831404879464893e-05,7.902872177871567e-09,1353.658049106598,1357.2319557666779,6.818804658761264e-09,27,27
2.3482699515882525e-10,1711582190.9426458,1.5319941719993805e-05,1.7142173343902216e-09,1401.8255951404572,1405.3993718624115,1.4793903392313962e-09,28,28
1.1267429336766853e-10,1711582238.9206688,3.814709295556043e-06,8.356657132888669e-10,1449.8035373687744,1453.377394914627,7.229914199211983e-10,29,29
1.2680602417883754e-11,1711582334.9043853,3.3919264864435643e-06,2.4236543084427536e-10,1545.7872276306152,1549.3611114025116,2.2968482842639162e-10,31,30
9.474834184689258e-12,1711582382.8712695,3.4227522472893903e-06,2.0299474998969992e-10,1593.7542612552643,1597.3279955387115,1.9351991580501068e-10,32,31
9.001171791686383e-12,1711582430.9374902,2.715190467968405e-06,1.7280896817479331e-10,1641.8205466270447,1645.394216299057,1.6380779638310694e-10,33,32
7.493051202175096e-12,1711582526.8963647,2.7935816469314118e-06,1.4807708806788787e-10,1737.7791283130646,1741.353090763092,1.4058403686571278e-10,35,33
7.09052021083533e-12,1711582575.0667017,3.23832229307796e-06,1.4361601758914676e-10,1785.9497275352478,1789.5234277248383,1.3652549737831144e-10,36,34
6.346652727904587e-12,1711582671.4443789,2.5780940169289608e-06,1.2756950270112456e-10,1882.3274264335632,1885.901104927063,1.2122284997321998e-10,38,35
5.970990766638391e-12,1711582768.320063,2.5649783794484993e-06,1.1572537540418712e-10,1979.202815771103,1982.776789188385,1.0975438463754873e-10,40,36
5.836964205734931e-12,1711582816.6709464,2.2492207110844478e-06,1.0984270563742999e-10,2027.5539269447327,2031.1276724338531,1.0400574143169506e-10,41,37
5.370798010349373e-12,1711582913.70933,2.125339962443731e-06,1.0125317137039119e-10,2124.5923466682434,2128.1660561561584,9.588237336004182e-11,43,38
5.027118546779213e-12,1711583010.7888224,2.0882664745146455e-06,9.406370060089814e-11,2221.671854734421,2225.2455484867096,8.903658205411893e-11,45,39
4.737399761030221e-12,1711583108.0321655,1.926202310280918e-06,8.80469134734163e-11,2318.915147781372,2322.4888916015625,8.330951371238608e-11,47,40
4.330463366287571e-12,1711583205.3245342,1.8853532330809906e-06,8.013899268571885e-11,2416.207441806793,2419.781260251999,7.580852931943128e-11,49,41
3.891787458025573e-12,1711583302.1274064,1.7477322564531668e-06,7.292331452931964e-11,2513.010437965393,2516.5841324329376,6.903152707129407e-11,51,42
3.5559896676614962e-12,1711583398.935422,1.6822718380606527e-06,6.721139077509061e-11,2609.818418741226,2613.3921480178833,6.365540110742912e-11,53,43
3.1595624029641525e-12,1711583544.4549773,1.631295980417368e-06,6.067009333582324e-11,2755.3378915786743,2758.91170334816,5.751053093285908e-11,56,44
2.9442764615398582e-12,1711583641.7746947,1.6429954767781358e-06,5.6692173908073106e-11,2852.6576693058014,2856.2314207553864,5.374789744653325e-11,58,45
2.7050799218758874e-12,1711583787.4029837,1.4530674976833854e-06,5.2265328394996316e-11,2998.2858657836914,3001.859709739685,4.956024847312043e-11,61,46
2.575101785176644e-12,1711583884.2282941,1.4245006471108791e-06,4.970808742342912e-11,3095.1111359596252,3098.6850202083588,4.713298563825248e-11,63,47
2.4172239896696204e-12,1711584029.50722,1.4544162881989223e-06,4.687574660014307e-11,3240.3902649879456,3243.9639461040497,4.4458522610473445e-11,66,48
2.3126621284462945e-12,1711584174.579578,1.3581071520846064e-06,4.4513637844659303e-11,3385.462457895279,3389.03630399704,4.220097571621301e-11,69,49
2.1940441254585446e-12,1711584319.8218346,1.3439480087762676e-06,4.2077739187619974e-11,3530.7048733234406,3534.2785606384277,3.988369506216143e-11,72,50
2.0982239870382327e-12,1711584465.690565,1.2762366757696077e-06,4.002287723556168e-11,3676.5734207630157,3680.1472911834717,3.7924653248523443e-11,75,51
2.0134681752538258e-12,1711584611.2521396,1.2889713164431297e-06,3.821099982194187e-11,3822.1351823806763,3825.7088656425476,3.6197531646688043e-11,78,52
1.896504758036978e-12,1711584804.5345097,1.1107887905894515e-06,3.5620334397139016e-11,4015.417470216751,4018.991235733032,3.372382963910204e-11,82,53
1.7326399595856694e-12,1711584949.0801275,1.1584270128026532e-06,3.228265988252492e-11,4159.962961196899,4163.536853551865,3.055001992293925e-11,85,54
1.6082815868534931e-12,1711585142.4048798,1.1401771983779918e-06,2.9330389262753045e-11,4353.287742853165,4356.861605882645,2.772210767589955e-11,89,55
1.5060600319095422e-12,1711585336.2130964,1.0675896499295752e-06,2.7105222850186307e-11,4547.095989704132,4550.6698224544525,2.5599162818276765e-11,93,56
1.4140662422878416e-12,1711585529.6716776,1.0532084972963569e-06,2.4931334695851776e-11,4740.554458856583,4744.128403663635,2.3517268453563935e-11,97,57
1.336014164194281e-12,1711585722.5503376,1.0134929912836559e-06,2.3170605376485378e-11,4933.433262586594,4937.007063627243,2.1834591212291097e-11,101,58
1.2609455322613594e-12,1711585915.4488611,9.801840731537283e-07,2.155927138908684e-11,5126.331701040268,5129.90558719635,2.029832585682548e-11,105,59
1.182166579238806e-12,1711586156.4330077,8.683297490425429e-07,1.9805730185921652e-11,5367.316062450409,5370.889733791351,1.8623563606682845e-11,110,60
1.1225129954090001e-12,1711586349.422975,8.571519300132603e-07,1.857768361727589e-11,5560.306008577347,5563.879701137543,1.745517062186689e-11,114,61
1.0427886866569702e-12,1711586591.3066504,8.622681750198865e-07,1.7003631321110566e-11,5802.189571857452,5805.7633764743805,1.5960842634453595e-11,119,62
9.351159089647022e-13,1711586832.4675102,8.221701016942584e-07,1.4872874018102542e-11,6043.350439310074,6046.924236297607,1.3937758109137839e-11,124,63
8.333033711434954e-13,1711587121.116254,7.431565364328501e-07,1.3027323476203063e-11,6331.999263525009,6335.572980165482,1.2194020105059568e-11,130,64
7.612065541849196e-13,1711587362.3198383,7.354725817913373e-07,1.1669599462739585e-11,6573.202724456787,6576.776564359665,1.0908392908554665e-11,135,65
6.819202548358822e-13,1711587652.9248364,6.695604667433515e-07,1.0350588257017503e-11,6863.807646274567,6867.38156247139,9.668668002181622e-12,141,66
6.151108721821737e-13,1711587943.0694144,6.181071348501452e-07,9.284297573448457e-12,7153.952361822128,7157.526140451431,8.669186701266284e-12,147,67
