loss_interior,time,_runtime,loss,_step,loss_boundary,step,_timestamp,l2_error
1.233361737575203,1.6283297538757324,5.276128053665161,1.884446060224456,43,0.6510843226492529,88,1711567956.694206,0.8061121937292469
1.0373775401557428,1.6649720668792725,5.312752723693848,1.588476176944207,44,0.5510986367884643,93,1711567956.7308307,0.7252624975334757
0.680323239397351,1.7106974124908447,5.358522653579712,1.0885826016788038,45,0.40825936228145293,99,1711567956.7766006,0.621263504438733
0.3140265022055111,1.7591187953948975,5.4069647789001465,0.5365065553311659,46,0.22248005312565478,106,1711567956.8250427,0.4603078035561987
0.12175365708837431,1.8125152587890625,5.460423469543457,0.22250172614521058,47,0.10074806905683627,113,1711567956.8785014,0.3121893504646069
0.07882944626910562,1.8616924285888672,5.509527206420898,0.11820528784084836,48,0.03937584157174273,120,1711567956.9276052,0.19790921648131327
0.04502388689951837,1.9166934490203857,5.564534425735474,0.06028058831311346,49,0.015256701413595093,128,1711567956.9826124,0.1235877357237812
0.03892429326900066,1.974113941192627,5.621976852416992,0.047406445376296576,50,0.008482152107295913,136,1711567957.0400548,0.08219739755773717
0.03196382269849274,2.0380196571350098,5.685847282409668,0.03864923637838427,51,0.006685413679891535,145,1711567957.1039252,0.06344871938787144
0.029483395789466627,2.103461503982544,5.751297473907471,0.036022336160104716,52,0.006538940370638087,154,1711567957.1693754,0.05711035795183593
0.026999967102665386,2.1759352684020996,5.823785066604614,0.03368961854321605,53,0.006689651440550667,164,1711567957.241863,0.05661308532491521
0.025239571854692215,2.2550132274627686,5.902900695800781,0.03175257969247512,54,0.006513007837782904,175,1711567957.3209786,0.056612064442400675
0.0237903366094822,2.3320021629333496,5.979937553405762,0.03018384893629364,55,0.00639351232681144,186,1711567957.3980155,0.05690745781020564
0.022399152632115255,2.415245294570923,6.063125848770142,0.02869948962260246,56,0.006300336990487206,198,1711567957.4812038,0.057250151355099074
0.020955603997494264,2.5051372051239014,6.152967691421509,0.027203817062057878,57,0.006248213064563612,211,1711567957.5710456,0.056974583896261304
0.019566177744972532,2.5914480686187744,6.239259243011475,0.025774893995360888,58,0.006208716250388355,224,1711567957.6573372,0.05643434193767474
0.04395322836228511,2.696638345718384,6.3445234298706055,0.050428095019497035,59,0.006474866657211925,238,1711567957.7626014,0.05959520898466799
0.01784395578530623,2.806027412414551,6.453863143920898,0.02407115135412849,60,0.006227195568822258,254,1711567957.871941,0.06203248809608212
0.016284630865656485,2.926915168762207,6.574707984924316,0.02236586642310804,61,0.0060812355574515545,270,1711567957.992786,0.06022057878907903
0.01394431864803005,3.0519158840179443,6.699754953384399,0.0199262946877262,62,0.00598197603969615,288,1711567958.117833,0.056976066939767915
0.011974154572989637,3.1723811626434326,6.82024884223938,0.017883671834104185,63,0.005909517261114546,306,1711567958.2383268,0.05664644459486503
0.010212032787050214,3.316652536392212,6.964559078216553,0.016058712215693223,64,0.005846679428643007,326,1711567958.382637,0.056253881781013884
0.008654802624752753,3.4611353874206543,7.109019041061401,0.014432991460447447,65,0.005778188835694694,347,1711567958.527097,0.05614460129782092
0.0072632742407667,3.60754132270813,7.2554075717926025,0.012968061421789728,66,0.005704787181023028,369,1711567958.6734855,0.0562722751389183
0.036775955746932674,3.78273868560791,7.430630683898926,0.043000931901556544,67,0.006224976154623872,393,1711567958.8487086,0.05519396133591529
0.005937860052667949,3.9556708335876465,7.603517532348633,0.011734591888442319,68,0.005796731835774371,418,1711567959.0215955,0.05855746792603245
0.005349397552436973,4.1368796825408936,7.784719228744507,0.010888188632582597,69,0.005538791080145624,445,1711567959.2027972,0.055705816440880504
0.00407551008428317,4.322373867034912,7.970203638076782,0.009524848777725178,70,0.0054493386934420076,473,1711567959.3882816,0.05637500720206175
0.0035295622585106773,4.541923999786377,8.18971848487854,0.008926193928579879,71,0.005396631670069202,504,1711567959.6077964,0.05648520025164316
0.003127702783373542,4.756054162979126,8.403940200805664,0.008468792693927061,72,0.00534108991055352,536,1711567959.8220181,0.05642759408660697
0.0028052981306285166,4.99202823638916,8.639924049377441,0.00808538865698511,73,0.005280090526356593,571,1711567960.058002,0.05627010624203125
0.00411562410535935,5.234074831008911,8.881948709487915,0.009519536308920322,74,0.005403912203560973,607,1711567960.3000267,0.056560228477564055
0.004500954750155043,5.503096103668213,9.150988101959229,0.009695221743065526,75,0.005194266992910484,646,1711567960.569066,0.05469537660349564
0.0022733242739198284,5.7860939502716064,9.434004545211792,0.007366890546936991,76,0.0050935662730171635,688,1711567960.8520825,0.055189092428100196
0.002031875545148872,6.082746744155884,9.730631828308105,0.007058460237285008,77,0.005026584692136136,732,1711567961.1487098,0.0548235879395677
0.0018345845016317173,6.4063661098480225,10.054269075393677,0.006790053910610706,78,0.004955469408978988,779,1711567961.472347,0.05451030182671674
0.004814752116878657,6.7414631843566895,10.389323949813843,0.009755262054243662,79,0.004940509937365006,829,1711567961.807402,0.05673804070654259
0.0017433543747174662,7.099023818969727,10.74694013595581,0.006568114956887421,80,0.004824760582169955,882,1711567962.165018,0.053166350515716276
0.001407758340129275,7.478877544403076,11.126737594604492,0.006145391020638103,81,0.004737632680508828,939,1711567962.5448155,0.05322716814900532
0.0012384649227638286,7.8723883628845215,11.520260334014893,0.005893402170037941,82,0.004654937247274112,999,1711567962.9383383,0.05284261540744815
0.006052264313076915,8.303508758544922,11.951378345489502,0.010747755528153356,83,0.0046954912150764415,1064,1711567963.3694563,0.05414511667651978
0.0010682220761907447,8.759159326553345,12.407023668289185,0.005578134183705249,84,0.004509912107514505,1132,1711567963.8251016,0.05189303227800015
0.0009103750020087569,9.26483941078186,12.912784576416016,0.00533214733934988,85,0.004421772337341124,1205,1711567964.3308625,0.051520716498193196
0.23480367327746676,9.777165174484253,13.425085306167603,0.23978620038569406,86,0.004982527108227297,1282,1711567964.8431633,0.07199295900874264
0.0008783446251952434,10.318051099777222,13.965982437133789,0.005170122380264485,87,0.004291777755069242,1364,1711567965.3840604,0.05075127886208657
0.0006915802431956666,10.898524045944214,14.546616077423096,0.004896587871886972,88,0.004205007628691306,1452,1711567965.964694,0.05032855039743469
0.21745813571869838,11.523540019989014,15.171396255493164,0.22210741350464364,89,0.0046492777859452475,1545,1711567966.5894742,0.06772672854349056
0.0006691283223594602,12.202186822891235,15.850194215774536,0.004762101973894968,90,0.004092973651535508,1645,1711567967.2682722,0.04959992003582629
0.0005609983007020919,12.8928062915802,16.540688276290894,0.00456546670972735,91,0.004004468409025258,1750,1711567967.9587662,0.04913318832520938
0.0008851173892409958,13.640727758407593,17.28865146636963,0.004817743371737201,92,0.003932625982496205,1863,1711567968.7067294,0.04951076451404521
0.00201390831995905,14.455217599868774,18.103018522262573,0.0059331040791810435,93,0.003919195759221993,1982,1711567969.5210965,0.047863401742889104
0.000518205782209645,15.350586652755737,18.998422622680664,0.004337700360134271,94,0.003819494577924626,2110,1711567970.4165006,0.047957196912582906
0.000607403825010038,16.27077031135559,19.918678760528564,0.004397547405263564,95,0.0037901435802535264,2245,1711567971.3367567,0.047613469259928175
0.0006548995052026402,17.20730757713318,20.855194568634033,0.004388610029646491,96,0.0037337105244438507,2389,1711567972.2732725,0.04721305015173137
0.002242617651376226,18.244843244552612,21.892740964889526,0.0059484739352713666,97,0.00370585628389514,2543,1711567973.310819,0.04453591108027157
0.041284847879809114,19.3012478351593,22.94913148880005,0.04495694878390366,98,0.0036721009040945485,2706,1711567974.3672094,0.04909499643052816
0.0053174694206804705,20.461506366729736,24.109384298324585,0.008895274301813359,99,0.003577804881132889,2880,1711567975.5274622,0.0468998193989668
0.014060700835234492,21.70091485977173,25.348766565322876,0.017674307095980415,100,0.003613606260745924,3065,1711567976.7668445,0.04768943542443373
0.0008228286855680454,23.040982007980347,26.6888747215271,0.00421563816336574,101,0.0033928094777976943,3261,1711567978.1069527,0.045459422902337766
0.006741224475441059,24.510828018188477,28.15874195098877,0.010093725956625985,102,0.003352501481184925,3471,1711567979.57682,0.04403289996988571
0.0006525844161252988,26.07370686531067,29.72183394432068,0.0038190564964782105,103,0.003166472080352912,3694,1711567981.139912,0.04405778594275774
0.008314942391148496,27.669252157211304,31.317211866378784,0.011371139454891628,104,0.0030561970637431324,3931,1711567982.7352898,0.04430803872839816
0.00725944070616266,29.407860279083252,33.05573558807373,0.01017619093817522,105,0.00291675023201256,4183,1711567984.4738135,0.04933760177694781
0.0027477377576246385,31.321970462799072,34.96975779533386,0.005500703712264846,106,0.0027529659546402076,4452,1711567986.3878357,0.04152002852484683
0.001111176592108936,33.283774852752686,36.93169045448303,0.0036975469784731475,107,0.0025863703863642116,4738,1711567988.3497684,0.040490131785245013
0.02247165841537571,35.3303120136261,38.978232860565186,0.024758841879230276,108,0.002287183463854565,5042,1711567990.3963108,0.04371050245520477
0.03049428618776385,37.52424764633179,41.17216348648071,0.03290836959786049,109,0.002414083410096643,5366,1711567992.5902414,0.03430055910612026
0.0017310286674863278,39.86426329612732,43.51217460632324,0.003666730301833587,110,0.0019357016343472594,5711,1711567994.9302526,0.03491504217261715
0.001078483130884365,42.32696557044983,45.974889278411865,0.0027749303604844198,111,0.0016964472296000547,6077,1711567997.3929672,0.030333422154821467
0.003491020778955379,44.94697308540344,48.595022201538086,0.004980744413950138,112,0.001489723634994759,6467,1711568000.0131001,0.03463933000907272
0.0005274885419371426,47.737640619277954,51.38565683364868,0.0017360943524402247,113,0.0012086058105030821,6883,1711568002.8037348,0.027748451687077767
0.00657112267144917,50.671854734420776,54.31974411010742,0.007571482274132385,114,0.0010003596026832151,7325,1711568005.737822,0.02489105797606294
0.00225088666336535,53.828550577163696,57.476455211639404,0.003174563414187252,115,0.0009236767508219017,7795,1711568008.8945332,0.02143009363581318
0.0013815336041362951,57.19511365890503,60.842952251434326,0.0021198728463498306,116,0.0007383392422135357,8296,1711568012.2610302,0.019715264159859615
0.00045844637753119716,60.74472403526306,64.39261722564697,0.001106088758328408,117,0.0006476423807972107,8828,1711568015.8106952,0.019351334135919
0.03521134384507116,64.57149481773376,68.21944832801819,0.035820698331897896,118,0.0006093544868267384,9395,1711568019.6375263,0.015571371648567867
0.000199117230759211,68.61782264709473,72.2659158706665,0.0005527014422942967,119,0.0003535842115350857,9999,1711568023.6839938,0.014518262108435655
