_step,_timestamp,loss_boundary,step,l2_error,time,loss_interior,loss,_runtime
32,1714520464.2329404,0.005459078885476415,32,0.0548928657421063,10.96431827545166,0.009959810745265427,0.015418889630741842,14.878918409347534
33,1714520464.537922,0.005499496498431753,33,0.055677175904909955,11.269319772720337,0.008501018195271853,0.014000514693703607,15.183899879455566
34,1714520464.8432713,0.005549441498465342,34,0.05631063556515294,11.574648141860962,0.0074837058120655305,0.013033147310530874,15.489249229431152
35,1714520465.154257,0.005604010503197365,35,0.05692978720306192,11.88564920425415,0.006739607386551666,0.012343617889749033,15.800235033035278
36,1714520465.4608014,0.005657247268747444,36,0.05747133959473706,12.191902875900269,0.006127038873797764,0.011784286142545208,16.10677933692932
37,1714520465.7705307,0.005700625393524483,37,0.05787056938449962,12.501840353012085,0.0056442396318926195,0.011344865025417102,16.416508674621582
38,1714520466.0762644,0.00571505443896077,38,0.05817369026386737,12.807637929916382,0.005265799923838192,0.010980854362798963,16.72224235534668
39,1714520466.3847537,0.005679649221812205,39,0.058086759504612506,13.116158246994019,0.004946570988696128,0.010626220210508333,17.030731678009033
40,1714520466.6885865,0.0055661602918082535,40,0.05758103001728465,13.419960260391235,0.00463564099782123,0.010201801289629484,17.334564447402954
41,1714520467.2964523,0.005167813316771487,42,0.05509913075092028,14.027843236923218,0.004128821221780307,0.009296634538551795,17.94243025779724
42,1714520468.515862,0.004502957489004369,46,0.050337581417753845,15.247246503829956,0.003522785593423257,0.008025743082427626,19.161839962005615
43,1714520469.7691581,0.0036260883843616653,50,0.047793753344252496,16.500523805618286,0.0021704318577843483,0.005796520242146014,20.415136098861694
44,1714520471.2797053,0.002927312027673351,55,0.041905242617553476,18.011101484298706,0.0011777602291625758,0.004105072256835927,21.92568325996399
45,1714520473.0955808,0.0020528576516321137,61,0.03486296436853219,19.82698082923889,0.0006254407780821479,0.0026782984297142615,23.74155879020691
46,1714520474.9499683,0.0013636733449319642,67,0.02979534055796942,21.681346893310547,0.0005169168526988511,0.0018805901976308153,25.595946311950684
47,1714520476.7769122,0.0009235821695131374,73,0.02359828287931393,23.50831437110901,0.00043406000226870443,0.0013576421717818418,27.422890186309814
