step,loss_boundary,loss_interior,l2_error,time,_runtime,_step,_timestamp,loss
23,0.005047558763789372,0.004228955350492986,0.05124427020177887,8.771241426467896,12.764217138290405,22,1712928568.888904,0.009276514114282357
25,0.003588334168012353,0.0043905534866000495,0.04172839580035775,9.380364894866943,13.373104810714722,23,1712928569.4977918,0.007978887654612403
27,0.002246344187833427,0.0037893297405285666,0.0357106048479586,10.009408473968506,14.002248525619507,24,1712928570.1269355,0.006035673928361993
28,0.001977603952830406,0.003450326169425723,0.035157861384029925,10.31682276725769,14.309547424316406,25,1712928570.4342344,0.005427930122256129
30,0.0019262611127759343,0.002951960825871817,0.03338241755795284,10.961027383804321,14.953939437866211,26,1712928571.0786264,0.004878221938647752
32,0.00154691946882816,0.0020511307758081096,0.03218648871116352,11.598881721496582,15.59164309501648,27,1712928571.71633,0.0035980502446362698
34,0.0014507846721731805,0.0019109213953275187,0.031067172088438885,12.228010654449463,16.22077178955078,28,1712928572.3454587,0.0033617060675006994
36,0.0012515237085830278,0.00169504004829357,0.028276277391054903,12.859538316726685,16.852263689041138,29,1712928572.9769506,0.002946563756876598
39,0.0008824745905968802,0.0010991507714949963,0.02601295484345943,13.842164278030396,17.834994316101074,30,1712928573.9596813,0.0019816253620918763
41,0.0008572424056487539,0.0010075902580264807,0.025894871245652214,14.492097854614258,18.48489022254944,31,1712928574.6095772,0.0018648326636752344
44,0.0008190018592775154,0.0008657808567205641,0.02503471753613529,15.4242582321167,19.41702961921692,32,1712928575.5417166,0.0016847827159980795
47,0.0007007049073391719,0.0008057860941216285,0.02356362665769497,16.336495399475098,20.329240798950195,33,1712928576.4539278,0.0015064910014608004
50,0.0006105891932012536,0.0007184619091115022,0.020808513367142817,17.27996015548706,21.272713899612427,34,1712928577.3974009,0.0013290511023127559
53,0.0004145206419707774,0.0006681767497318742,0.014991068771685465,18.22015643119812,22.213229417800903,35,1712928578.3379164,0.0010826973917026515
57,0.00017628905691791964,0.0004700943000262164,0.009940541878539773,19.47278118133545,23.465539693832397,36,1712928579.5902267,0.0006463833569441361
60,9.292807902660666e-05,0.0004285738487883698,0.007166134899578153,20.42831802368164,24.4211688041687,37,1712928580.5458558,0.0005215019278149765
64,4.952528560899487e-05,0.00033284870452439743,0.004652430894809377,21.692885875701904,25.68567728996277,38,1712928581.8103642,0.0003823739901333923
68,4.062522459484932e-05,0.00030142106947542776,0.0049742511068946995,22.948710203170776,26.941460132598877,39,1712928583.066147,0.00034204629407027707
73,3.26322912408313e-05,0.00019997208673421606,0.003583859877953569,24.544755458831787,28.537565231323242,40,1712928584.6622522,0.00023260437797504736
77,2.4305390524391188e-05,0.00016298349256228478,0.003307281100014256,25.803035736083984,29.795932292938232,41,1712928585.9206192,0.00018728888308667597
82,2.4894801844090094e-05,0.00014102946137422816,0.0031326088909401774,27.457573175430298,31.4505295753479,42,1712928587.5752165,0.00016592426321831825
88,1.966703681943373e-05,0.00012156039423990164,0.002766554022688446,29.43084168434143,33.423678398132324,43,1712928589.5483654,0.00014122743105933537
93,2.2084256179768436e-05,0.0001056816926379544,0.0029020582495353415,31.04146718978882,35.03427863121033,44,1712928591.1589656,0.00012776594881772283
99,2.1870749326027367e-05,9.216171776062855e-05,0.0026743427804337494,32.96541357040405,36.95889759063721,45,1712928593.0835845,0.00011403246708665592
106,2.3582328498355544e-05,8.12977475435679e-05,0.0030001678998990092,35.27686524391174,39.2697970867157,46,1712928595.394484,0.00010488007604192345
