l2_error,_timestamp,time,_step,_runtime,loss_interior,loss,loss_boundary,step
0.00909582199333662,1726516697.219771,20.19511365890503,38,20.71686887741089,7.656757498648747e-06,1.0481232816357584e-05,2.8244753177088378e-06,38
0.009047204266752809,1726516697.7529001,20.728271484375,39,21.249998092651367,6.533606129820361e-06,9.166461544759698e-06,2.632855414939338e-06,39
0.00878782426748274,1726516698.310677,21.28610324859619,40,21.807775020599365,6.4059353043772745e-06,9.082661893090974e-06,2.6767265887136986e-06,40
0.008264694720185203,1726516699.39929,22.374674081802368,41,22.896388053894043,6.402476151075237e-06,8.972436775654046e-06,2.5699606245788084e-06,42
0.008359258255454402,1726516700.7076683,23.682983875274658,42,24.204766273498535,6.246905224684431e-06,8.535258971676506e-06,2.2883537469920756e-06,46
0.008570102791493624,1726516702.8820512,25.85725498199463,43,26.379149198532104,5.6762606639984624e-06,7.662010554220416e-06,1.985749890221954e-06,50
0.007865271217179129,1726516705.4423397,28.41768503189087,44,28.93943762779236,4.328936385983324e-06,5.5390202125440085e-06,1.210083826560684e-06,55
0.004945950728491904,1726516708.7340107,31.70940661430359,45,32.23110866546631,2.6833496629428202e-06,3.677856759051799e-06,9.945070961089787e-07,61
0.003912083713238845,1726516711.276437,34.25182318687439,46,34.77353501319885,2.5439765181232055e-06,3.4455078594592787e-06,9.015313413360733e-07,67
0.0033038438808158854,1726516714.0798852,37.05524945259094,47,37.57698321342468,2.1301174173996015e-06,2.81692541619492e-06,6.868079987953183e-07,73
0.0018263532763924885,1726516716.5673804,39.54268479347229,48,40.064478397369385,2.0153529063575282e-06,2.4450841949210523e-06,4.297312885635241e-07,81
0.0015217752471041886,1726516717.5035872,40.479045152664185,49,41.00068521499634,2.06767546676773e-06,2.4759333282940107e-06,4.0825786152628063e-07,89
0.0014679347935703567,1726516717.9396446,40.915093421936035,50,41.436742544174194,2.1312289965480834e-06,2.505745002916911e-06,3.7451600636882764e-07,98
0.0014542247846375074,1726516718.2727044,41.247769832611084,51,41.76980233192444,2.122954126439165e-06,2.5216165313394057e-06,3.986624049002409e-07,107
0.0014487420363716388,1726516718.6804698,41.65590476989746,52,42.17756772041321,2.151895329894354e-06,2.5717630730906214e-06,4.198677431962674e-07,118
0.001438470675484428,1726516719.0802112,42.05566096305847,53,42.577309131622314,1.959199080699206e-06,2.3627042479929014e-06,4.0350516729369526e-07,130
0.001433739761922266,1726516719.4799373,42.4553759098053,54,42.97703528404236,1.989965499227977e-06,2.382345416224417e-06,3.923799169964401e-07,143
0.0014312847171390928,1726516719.9813614,42.95680260658264,55,43.47845935821533,1.978937543450641e-06,2.356968140734241e-06,3.7803059728359965e-07,157
0.0014281871513676272,1726516720.444399,43.419673681259155,56,43.94149708747864,1.948791566153459e-06,2.335225801731718e-06,3.864342355782588e-07,172
0.0014245930943126847,1726516720.9995205,43.97495746612549,57,44.4966185092926,2.128252047860631e-06,2.5234266709251745e-06,3.9517462306454354e-07,190
0.0014224136770752027,1726516721.5778868,44.55328440666199,58,45.07498478889465,2.106624345287738e-06,2.492858569287458e-06,3.862342239997201e-07,208
0.0014197582747784289,1726516722.280955,45.25634145736694,59,45.77805304527283,2.147485969039812e-06,2.5239040842577492e-06,3.7641811521793726e-07,229
0.0014160533980421871,1726516722.9958723,45.97131061553955,60,46.49297022819519,2.0310470406087563e-06,2.434751912656512e-06,4.037048720477558e-07,252
0.0014122735059882096,1726516723.7446322,46.72004795074463,61,47.24173021316528,2.0791772957914962e-06,2.46389755239308e-06,3.847202566015837e-07,277
0.0014095815145487034,1726516724.5624583,47.53788423538208,62,48.05955624580383,2.0581030630598463e-06,2.4444366667532512e-06,3.863336036934048e-07,305
0.001406843449092112,1726516725.4634373,48.43887233734131,63,48.960535287857056,2.2262770764741534e-06,2.6149936380788956e-06,3.8871656160474205e-07,335
0.0014045441268909398,1726516726.5096767,49.48509359359741,64,50.00677466392517,1.9916497650516797e-06,2.374720246887622e-06,3.830704818359426e-07,369
0.0014029204050215645,1726516727.7414248,50.71679711341858,65,51.23852276802063,2.061980889016355e-06,2.4468882484671378e-06,3.849073594507829e-07,406
0.001400308099922387,1726516728.9543855,51.92960262298584,66,52.451483488082886,1.9792909890783726e-06,2.367865814118299e-06,3.8857482503992625e-07,446
0.0013978159380098874,1726516730.358376,53.333760023117065,67,53.85547399520874,2.221955972545759e-06,2.609292358453753e-06,3.873363859079942e-07,491
0.0013965222481675023,1726516731.7304463,54.70589351654053,68,55.22754430770874,1.927797294127235e-06,2.3253906623123574e-06,3.975933681851223e-07,540
0.0013934160170374823,1726516733.327605,56.3029670715332,69,56.824702978134155,2.0057747934171496e-06,2.3884652190505092e-06,3.826904256333597e-07,594
0.0013887233297548592,1726516735.223724,58.199167251586914,70,58.72082185745239,2.0145465971389887e-06,2.3995349756212394e-06,3.849883784822506e-07,653
0.0013825755671822593,1726516737.093704,60.069095849990845,71,60.59080195426941,1.8996499447553648e-06,2.280778594979183e-06,3.811286502238182e-07,718
0.0013749016157785508,1726516739.3103654,62.28561496734619,72,62.80746340751648,2.080116911286314e-06,2.4598271052517146e-06,3.7971019396540073e-07,790
0.0013681699929634023,1726516741.6731272,64.64843201637268,73,65.17022514343262,1.8969760321769288e-06,2.28094396337361e-06,3.839679311966813e-07,869
0.0013612573738844937,1726516744.3536005,67.32903671264648,74,67.85069847106934,1.941941967748854e-06,2.310605227968952e-06,3.6866326022009795e-07,956
0.0013567869758623347,1726516747.068502,70.04391050338745,75,70.56559991836548,2.110312512679086e-06,2.493729606611509e-06,3.8341709393242326e-07,1052
0.0013523963255362903,1726516749.988781,72.96416091918945,76,73.48587894439697,1.9744775867207053e-06,2.36015735577919e-06,3.8567976905848467e-07,1157
0.0013492568558996245,1726516753.2754593,76.25083470344543,77,76.77255725860596,2.0837443874915593e-06,2.4516157608786315e-06,3.678713733870722e-07,1272
0.001345051955191427,1726516756.9419885,79.9174075126648,78,80.43908643722534,1.9958860429462347e-06,2.376057969440568e-06,3.801719264943334e-07,1400
0.001341541311513519,1726516760.755585,83.7309889793396,79,84.25268292427063,2.078215554584441e-06,2.4759358428803244e-06,3.9772028829588357e-07,1539
0.0013379959003580123,1726516765.100396,88.07544159889221,80,88.59749388694763,2.0221619047667683e-06,2.3962882734167965e-06,3.7412636865002805e-07,1693
0.0013338970496621129,1726516770.2400658,93.21546602249146,81,93.73716378211975,2.149350868708002e-06,2.536785391244436e-06,3.874345225364339e-07,1863
0.0013305012248995187,1726516775.5093677,98.48476362228394,82,99.00646567344666,2.0303379264588674e-06,2.3944847224750364e-06,3.6414679601616897e-07,2049
0.0013268806904412863,1726516781.6541314,104.62946319580078,83,105.15122938156128,2.16013860349277e-06,2.541603943001719e-06,3.8146533950894887e-07,2254
0.0013243460324350895,1726516788.1741445,111.14948391914368,84,111.67124247550964,2.054654708724706e-06,2.4139735415015127e-06,3.5931883277680636e-07,2479
0.0013209335429704753,1726516795.2478654,118.22305250167847,85,118.74496340751648,1.978011940909924e-06,2.3349440750327274e-06,3.5693213412280354e-07,2727
0.0013172880221129135,1726516803.1286545,126.10407304763794,86,126.62575244903564,2.095112620667844e-06,2.471547265886286e-06,3.764346452184419e-07,3000
0.0013138806170480853,1726516811.7105646,134.68593764305115,87,135.20766258239746,2.042689201524322e-06,2.418694477740773e-06,3.76005276216451e-07,3299
