loss,l2_error,loss_interior,_runtime,_timestamp,loss_boundary,time,_step,step
0.00822964036388853,0.09306813020823254,0.0020540475165410415,29.045881986618042,1729911685.580003,0.006175592847347488,28.44995617866516,42,46
0.006300151807661527,0.0802944939972368,0.0017086079020111817,31.302034854888916,1729911687.836156,0.0045915439056503455,30.706262350082397,43,50
0.004100564078404987,0.05772497235011986,0.001160402087838798,34.11712121963501,1729911690.6512423,0.002940161990566189,33.52145791053772,44,55
0.00146508740051143,0.040078811534686426,0.00048347996029706364,37.49601888656616,1729911694.03014,0.0009816074402143663,36.90020680427551,45,61
0.0008182338530091274,0.030380562776164896,0.00022780597189759236,40.872302770614624,1729911697.4064238,0.0005904278811115351,40.27651357650757,46,67
0.0004995380068018996,0.024328885633541217,0.00011379938333248251,44.25217294692993,1729911700.786294,0.00038573862346941715,43.65625238418579,47,73
0.0002669626251429188,0.018817335619232902,5.695501859558479e-05,48.74917411804199,1729911705.2832952,0.00021000760654733402,48.15346693992615,48,81
0.00013179698494225126,0.012651619911642025,3.337362133596083e-05,53.25029921531677,1729911709.7844203,9.842336360629044e-05,52.65431833267212,49,89
6.895325924230345e-05,0.009783320902300004,1.325524342912521e-05,58.31519174575806,1729911714.8493128,5.5698015813178235e-05,57.71914505958557,50,98
5.310731927893424e-05,0.0074715063069781314,1.0887998199185807e-05,63.39246678352356,1729911719.9265878,4.221932107974844e-05,62.79663276672363,51,107
2.615229035624832e-05,0.006259815119612371,3.9724028559713166e-06,69.57555365562439,1729911726.1096747,2.2179887500277e-05,68.97976279258728,52,118
1.5584336039649962e-05,0.00514629460499739,1.8322190584428209e-06,76.30492043495178,1729911732.8390415,1.3752116981207142e-05,75.70871949195862,53,130
9.64738267700259e-06,0.004238175432757392,1.1896822326279072e-06,83.5915777683258,1729911740.1256988,8.457700444374682e-06,82.99578094482422,54,143
4.662482692871627e-06,0.003306119735254482,6.134744172153624e-07,91.44234466552734,1729911747.9764657,4.049008275656264e-06,90.84642267227173,55,157
3.198239627007929e-06,0.003112460494769295,2.8967765434622884e-07,99.89140892028809,1729911756.42553,2.9085619726617e-06,99.295330286026,56,172
1.7809916784218733e-06,0.0026386791323698565,1.5956768104964058e-07,110.02421998977661,1729911766.558341,1.6214239973722328e-06,109.42835092544556,57,190
5.044396127129734e-06,0.002339309849175856,9.79465184770932e-07,120.17395448684692,1729911776.7080755,4.064930942358802e-06,119.57799506187439,58,208
1.8203302759222893e-06,0.0020093673806563135,3.265596741608663e-07,131.9955234527588,1729911788.5296445,1.4937706017614229e-06,131.39933490753174,59,229
1.107235982447067e-06,0.0018032154425298152,1.5725399528026467e-07,144.94042325019836,1729911801.4745443,9.499819871668023e-07,144.34433221817017,60,252
7.440924207029507e-07,0.0017471546238738039,5.329610215885995e-08,159.0191912651062,1729911815.5533123,6.907963185440907e-07,158.42291235923767,61,277
3.119171694925389e-06,0.0016142453634828931,8.788369666546609e-07,174.7424440383911,1729911831.276565,2.2403347282707284e-06,174.1465241909027,62,305
1.0440729542004887e-06,0.001512864063556417,1.0771579576842892e-07,191.5576877593994,1729911848.0918088,9.363571584320597e-07,190.96147656440735,63,335
5.128280846086376e-07,0.0013612896503987515,4.602973363836901e-08,210.61359643936157,1729911867.1477175,4.6679835097026864e-07,210.01766777038574,64,369
2.040196318311688e-06,0.0012745915428795896,6.301307147494842e-07,231.36860704421997,1729911887.902728,1.410065603562204e-06,230.7723331451416,65,406
5.210456653136584e-07,0.001073281251121256,8.120587430622586e-08,253.78758692741394,1729911910.321708,4.3983979100743254e-07,253.19163918495178,66,446
2.3667007404122982e-07,0.00099397917742204,2.0757595735117958e-08,279.01169633865356,1729911935.5458174,2.1591247830611185e-07,278.41555094718933,67,491
