step,time,loss_boundary,loss_interior,loss,_step,_runtime,l2_error,_timestamp
16,3.03806471824646,0.07463822635790304,0.12170232848878862,0.19634055484669166,16,5.241925239562988,0.3331851450656933,1729905676.3436372
17,3.1543052196502686,0.06956021503302375,0.1304640576328979,0.20002427266592165,17,5.3580322265625,0.3180075054259885,1729905676.4597442
18,3.2672839164733887,0.0603645956398791,0.13649646502045865,0.19686106066033776,18,5.471119165420532,0.30819336140796416,1729905676.5728312
19,3.3799283504486084,0.06387513131000834,0.1400102343158541,0.20388536562586246,19,5.584196090698242,0.30255517737211335,1729905676.685908
20,3.4936327934265137,0.05842680458277059,0.14134101737377408,0.19976782195654466,20,5.697677135467529,0.30011877155550853,1729905676.7993891
21,3.606140613555908,0.05501258050992792,0.13981626965945362,0.19482885016938153,21,5.810047626495361,0.30021576030724767,1729905676.9117596
22,3.719148635864258,0.0561034453889654,0.13663779409913746,0.19274123948810284,22,5.9228880405426025,0.302211746612478,1729905677.0246
23,3.831932306289673,0.05117129005041485,0.1314285874062603,0.18259987745667514,23,6.035811185836792,0.3061847839813207,1729905677.1375232
24,3.944417953491211,0.05633686433117273,0.12511865363087793,0.18145551796205067,24,6.148272514343262,0.31187952900056176,1729905677.2499845
25,4.057267189025879,0.058399231328701326,0.11802865114543444,0.17642788247413577,25,6.26118540763855,0.319130639939128,1729905677.3628974
26,4.170066833496094,0.0580237276632793,0.11069286820972632,0.1687165958730056,26,6.3739964962005615,0.32763755662680655,1729905677.4757085
27,4.2827582359313965,0.06350764568457917,0.10339479940306899,0.16690244508764818,27,6.487159967422485,0.337075474714,1729905677.588872
28,4.39685845375061,0.06831459718969507,0.09590379415535229,0.16421839134504734,28,6.60102105140686,0.34686369156753527,1729905677.702733
29,4.510199308395386,0.07094769258180449,0.08895101866096164,0.1598987112427661,29,6.71432638168335,0.356575153415882,1729905677.8160384
30,4.623854160308838,0.08059172229257058,0.08274900511609012,0.1633407274086607,30,6.827539443969727,0.3654181851257174,1729905677.9292514
31,4.736256122589111,0.08507931283896716,0.07714765968505498,0.16222697252402213,31,6.940242290496826,0.3729718349809927,1729905678.0419543
32,4.849294424057007,0.0750749862913521,0.07238827058116683,0.14746325687251893,32,7.0532708168029785,0.3796316726277793,1729905678.1549828
33,4.962309122085571,0.08558078324435436,0.06815732368123932,0.1537381069255937,33,7.1662633419036865,0.3847088890628949,1729905678.2679753
34,5.075124263763428,0.08639160351930167,0.06456203925999619,0.15095364277929785,34,7.279062271118164,0.38811569133523915,1729905678.3807743
35,5.18796706199646,0.08538836209575991,0.06156216831833326,0.14695053041409317,35,7.391971826553345,0.3899155191340454,1729905678.4936838
36,5.3008036613464355,0.08659648305338757,0.05912830714645654,0.1457247901998441,36,7.504732131958008,0.39001059432811014,1729905678.6064441
37,5.413186073303223,0.08732430375888434,0.05725832351684831,0.14458262727573265,37,7.617211580276489,0.38834359844198585,1729905678.7189236
38,5.525593996047974,0.0914368257567383,0.05586989757890005,0.14730672333563835,38,7.7296507358551025,0.385017950203398,1729905678.8313627
39,5.638113975524902,0.08595916703479166,0.05491482550317793,0.1408739925379696,39,7.842242956161499,0.38040648910871444,1729905678.943955
40,5.750918865203857,0.08116244368910198,0.05431163045888178,0.13547407414798376,40,7.9549031257629395,0.37463000849240796,1729905679.056615
42,5.958578109741211,0.07863284164044965,0.05405428492572902,0.13268712656617868,41,8.162355184555054,0.3608541696150022,1729905679.2640672
46,6.348683834075928,0.07471737214093573,0.0553212749848345,0.13003864712577023,42,8.553024053573608,0.3336063408757167,1729905679.654736
50,6.7394914627075195,0.06465092328636345,0.054540090846599186,0.11919101413296262,43,8.943735122680664,0.31861626237183605,1729905680.045447
55,7.223951816558838,0.06350084741625922,0.04570513186743244,0.10920597928369166,44,9.42803692817688,0.31909678240273154,1729905680.529749
61,7.8007941246032715,0.06223467070533855,0.02972052038894414,0.09195519109428268,45,10.005794763565063,0.33262864118412494,1729905681.1075068
67,8.38278603553772,0.06647694576309371,0.021266549694038232,0.08774349545713195,46,10.587149143218994,0.31797767163541263,1729905681.6888611
73,8.959438800811768,0.05619458094078371,0.0176563786122682,0.0738509595530519,47,11.163838863372803,0.29830085950027346,1729905682.2655509
