_runtime,l2_error,_timestamp,_step,loss_interior,time,loss,loss_boundary,step
286.2482922077179,0.002806722084934045,1720631044.2688313,18,2.5751740748311067e-06,285.83032846450806,8.15482912909242e-06,5.579655054261314e-06,18
317.37194061279297,0.001769523698694304,1720631075.3924797,19,2.5417546306254274e-06,316.954222202301,6.561823785872552e-06,4.020069155247125e-06,19
349.2292625904083,0.0009256581282838453,1720631107.2498016,20,4.149552040221787e-06,348.81132459640503,5.945175107073338e-06,1.7956230668515506e-06,20
388.82840275764465,0.0007482569766933296,1720631146.8489418,21,3.5364922972779643e-06,388.4103789329529,4.117290179919575e-06,5.807978826416108e-07,21
428.3848707675934,0.0006563506280247909,1720631186.4054098,22,1.926108022204142e-06,427.9668617248535,2.3323552390647093e-06,4.062472168605675e-07,22
467.92268228530884,0.000668883289297856,1720631225.9432213,23,6.591907341647147e-07,467.5046637058258,9.792041239481165e-07,3.200133897834018e-07,23
507.5490765571594,0.0009445024891991497,1720631265.5696156,24,5.143078417138729e-07,507.13128423690796,8.440000283592387e-07,3.296921866453659e-07,24
547.0756554603577,0.0010924439794765092,1720631305.0961945,25,3.632821536263527e-07,546.6577386856079,8.76937778853347e-07,5.136556252269943e-07,25
576.5464086532593,0.0006700455816028872,1720631334.5669477,26,1.5358070960012412e-07,576.1284759044647,8.097970845164743e-07,6.562163749163502e-07,26
616.2282679080963,0.0004044409627383686,1720631374.248807,27,2.767074427942588e-07,615.8102979660034,5.640904431354172e-07,2.8738300034115835e-07,27
655.9097034931183,0.0006365159027412762,1720631413.9302425,28,3.710801477980183e-07,655.491616487503,4.909009913509549e-07,1.1982084355293663e-07,28
695.6419308185577,0.0006451944746236321,1720631453.6624699,29,1.7474410433124706e-07,695.2241523265839,4.057832471628173e-07,2.3103914283157028e-07,29
735.295517206192,0.0006100699887390071,1720631493.3160563,30,1.828108260991711e-07,734.8775491714478,4.18001783866546e-07,2.3519095776737488e-07,30
774.9562389850616,0.0006000163163072571,1720631532.976778,31,1.6668704653351386e-07,774.5382580757141,3.8233824006316133e-07,2.1565119352964747e-07,31
814.724066734314,0.0005563503440269789,1720631572.7446058,32,1.6186627640056182e-07,814.3060643672943,3.6794823450399864e-07,2.0608195810343682e-07,32
849.3516900539398,0.0005922765301881528,1720631607.372229,33,1.823229860040924e-07,848.933629989624,3.6489457042313667e-07,1.8257158441904427e-07,33
889.0717449188232,0.0006010516588464781,1720631647.092284,34,1.5852435627343898e-07,888.6537611484528,3.6459287439497375e-07,2.0606851812153474e-07,34
921.2272560596466,0.0005929496667895442,1720631679.247795,35,1.3717793388981863e-07,920.8094968795776,3.2606988875908776e-07,1.8889195486926914e-07,35
960.9639930725098,0.0005465083469533324,1720631718.984532,36,9.256272374240497e-08,960.5459523200989,2.8037820606390904e-07,1.8781548232150405e-07,36
995.1185703277588,0.000538552249897415,1720631753.1391094,37,1.0859341554962296e-07,994.7001934051514,2.668702285837811e-07,1.5827681303415813e-07,37
1034.792195558548,0.0002554731203099397,1720631792.8127346,38,1.1801533032358245e-07,1034.374142408371,2.737789076687478e-07,1.557635773451654e-07,38
1048.84974193573,0.00024438062731611354,1720631806.870281,39,1.5145839606079085e-07,1048.431945323944,2.0053032839069332e-07,4.9071932329902474e-08,39
1088.5225141048431,0.00036395102564517484,1720631846.5430532,40,1.3534507601172662e-07,1088.104459285736,1.7914607704427586e-07,4.3801001032549246e-08,40
