loss,_runtime,_timestamp,time,loss_boundary,loss_interior,step,_step,l2_error
1.2031049893251197e-08,1229.2415616512299,1716073393.9893806,1225.187064409256,8.677306038597631e-09,3.3537438546535655e-09,61,45,0.00013992869269648434
7.48999485240966e-09,1387.5595376491547,1716073552.3073566,1383.505928993225,4.973614860061844e-09,2.5163799923478166e-09,67,46,0.00010861911112247381
4.491409470127124e-09,1552.9421181678772,1716073717.689937,1548.8885085582733,2.927326298635022e-09,1.5640831714921022e-09,73,47,8.870011288873971e-05
2.608565211950327e-09,1809.2245621681213,1716073973.972381,1805.1709065437317,1.6821185948071919e-09,9.26446617143135e-10,81,48,7.02129458577359e-05
1.7065874791468277e-09,2037.591689825058,1716074202.3395088,2033.5381379127502,1.0964072393094002e-09,6.101802398374275e-10,89,49,5.988056970438679e-05
1.1832431560223456e-09,2290.7984595298767,1716074455.5462785,2286.7448723316193,7.389905945626585e-10,4.4425256145968724e-10,98,50,5.1975130097653614e-05
7.748849357351281e-10,2674.0134830474854,1716074838.761302,2669.959917783737,4.4076892209187573e-10,3.341160136432523e-10,107,51,4.27694888584429e-05
5.347037367983177e-10,3080.6624784469604,1716075245.4102974,3076.608948469162,2.97520089676739e-10,2.3718364712157864e-10,118,52,3.8294510226276915e-05
3.7626282029101336e-10,3711.113434314728,1716075875.8612533,3707.059831380844,2.078886568785608e-10,1.6837416341245256e-10,130,53,3.35769394353043e-05
2.8270150041980846e-10,4361.957095384598,1716076526.7049143,4357.903622865677,1.579114367433385e-10,1.2479006367646997e-10,143,54,3.0794165200281355e-05
2.185176043537013e-10,5291.453678846359,1716077456.2014978,5287.400181531906,1.2414956180016115e-10,9.436804255354014e-11,157,55,2.8374915926255223e-05
1.842824118628947e-10,6021.651346445084,1716078186.3991654,6017.59788608551,1.0550526603407702e-10,7.877714582881767e-11,168,56,2.685489729070494e-05
