step,_runtime,_timestamp,_step,l2_error,loss_boundary,loss_interior,loss,time
19,7.151854753494263,1714209589.3394868,19,0.0950031613068788,0.026752593839528056,0.0001955656502498108,0.026948159489777867,3.3090806007385254
21,7.274244070053101,1714209589.4618762,20,0.09342509941598666,0.025819197545462424,0.000274627106127443,0.026093824651589867,3.4316580295562744
22,7.338085889816284,1714209589.525718,21,0.0920339387379575,0.02553843845227631,0.0002334431841692661,0.025771881636445577,3.4953367710113525
23,7.4020514488220215,1714209589.5896835,22,0.09183899419255054,0.025137331578569885,0.0002622746638062701,0.025399606242376156,3.5592586994171143
25,7.523277759552002,1714209589.7109098,23,0.09494238298437539,0.022929080724644824,0.0011036756824489102,0.024032756407093736,3.680738925933838
27,7.644247531890869,1714209589.8318796,24,0.10555806848693705,0.022561264082723187,0.00021894738771255094,0.022780211470435737,3.801474094390869
28,7.7082624435424805,1714209589.8958945,25,0.09939510002610603,0.02069208877088623,0.0018918376349953867,0.022583926405881617,3.865553379058838
30,7.830725908279419,1714209590.018358,26,0.09773251824713258,0.020169924593220367,0.000504825351857763,0.02067474994507813,3.9880928993225098
32,7.962050914764404,1714209590.149683,27,0.09619186937219906,0.019870124317258177,0.0004820091670849792,0.020352133484343157,4.119278430938721
34,8.083665370941162,1714209590.2712975,28,0.0930877576553424,0.019156579776526583,0.0006228028778980714,0.019779382654424655,4.2410149574279785
36,8.210367202758789,1714209590.3979993,29,0.08674236664914994,0.016788298685802488,0.0012290059057106504,0.01801730459151314,4.367594480514526
39,8.396828174591064,1714209590.5844603,30,0.08725439395221579,0.016461949643864316,0.0006535859741727663,0.01711553561803708,4.5541768074035645
41,8.535707712173462,1714209590.7233398,31,0.08728363877634028,0.016305769346133495,0.000581764758262362,0.016887534104395856,4.692886829376221
44,8.722699642181396,1714209590.9103317,32,0.08654118990510978,0.015868328913121805,0.0005869890270697238,0.01645531794019153,4.880012512207031
47,8.899462938308716,1714209591.087095,33,0.08609292375817398,0.01557796773342333,0.0005732358755786203,0.016151203609001952,5.056864261627197
50,9.083088159561157,1714209591.2707202,34,0.08370525901271118,0.014737206743984292,0.0005881881733510388,0.01532539491733533,5.240414619445801
53,9.26778507232666,1714209591.4554172,35,0.08279486212094725,0.014538923446435351,0.0005910987938156377,0.01513002224025099,5.425020217895508
57,9.506407022476196,1714209591.694039,36,0.08148200950749471,0.014278638645691878,0.0006053177368568373,0.014883956382548715,5.663801670074463
60,9.688190460205078,1714209591.8758225,37,0.08012792681353678,0.01370140363786612,0.0009209219282903292,0.01462232556615645,5.845556735992432
64,9.925926923751831,1714209592.113559,38,0.07630449341841114,0.011775696715106336,0.001536703930347771,0.013312400645454107,6.0832295417785645
68,10.169752359390259,1714209592.3573844,39,0.0758497185318147,0.011574945998402466,0.000987612401712434,0.012562558400114901,6.32719874382019
73,10.476141691207886,1714209592.6637738,40,0.07459909723867782,0.01145417981561484,0.0008905759419816227,0.012344755757596462,6.633426904678345
77,10.729835987091064,1714209592.917468,41,0.07407814438586578,0.011297301448110876,0.000857436576413722,0.012154738024524598,6.887212514877319
82,11.037164449691772,1714209593.2247965,42,0.07331606117594784,0.011081097552399633,0.0008348258370284215,0.011915923389428054,7.19453239440918
88,11.391942262649536,1714209593.5795743,43,0.07179282376986344,0.010837065065381252,0.0008066953230617789,0.01164376038844303,7.549218416213989
93,11.690162897109985,1714209593.877795,44,0.07027693979180237,0.010585265130709705,0.0007904102176303645,0.01137567534834007,7.847527027130127
99,12.056374788284302,1714209594.2440069,45,0.06928950781275588,0.010372564404165237,0.0007828305371554016,0.011155394941320639,8.214102029800415
106,12.481795310974121,1714209594.6694274,46,0.06829387782862135,0.010117525551428263,0.0007783105892973816,0.010895836140725644,8.639640092849731
