_runtime,loss_boundary,l2_error,_timestamp,step,_step,loss_interior,loss,time
124.83229494094849,30.571647514719924,8.878947462368561,1726496957.6386409,61,45,4.258296417562713,34.82994393228264,124.07150268554688
136.46770453453064,16.675063486772792,7.885236658312681,1726496969.2740505,67,46,4.2283472478299435,20.903410734602737,135.70430517196655
148.1224513053894,17.652708859868007,8.549718012465062,1726496980.9287972,73,47,4.374603015934815,22.027311875802823,147.36192226409912
163.6439049243927,18.316230472621267,8.083012736324795,1726496996.4502509,81,48,4.965402518537638,23.281632991158904,162.88316774368286
179.15305066108704,7.905615595051716,6.547740900599303,1726497011.9593966,89,49,3.478449021173908,11.384064616225624,178.39230036735535
196.5882544517517,6.9741166707419024,6.257748601288083,1726497029.3946004,98,50,3.8385354486044063,10.812652119346309,195.8220727443695
214.04349827766418,4.585028344546079,6.417231938747491,1726497046.8498442,107,51,3.32811658801569,7.913144932561769,213.28225660324097
235.36639022827148,4.433143409081418,6.246379414817831,1726497068.1727362,118,52,3.0803428291998145,7.513486238281232,234.60565733909607
258.65419363975525,6.007146945600432,5.4461127606396404,1726497091.4605396,130,53,6.230443519847614,12.237590465448047,257.893568277359
283.8617904186249,3.9034460929567243,5.458061430420605,1726497116.6681364,143,54,3.616480971633368,7.519927064590092,283.09667563438416
310.9956614971161,2.923792863031353,5.167368636901642,1726497143.8020074,157,55,2.5592722765415417,5.483065139572895,310.23695707321167
340.10596442222595,3.60875449530896,5.489637022725453,1726497172.9123104,172,56,3.663134183879572,7.271888679188532,339.34709191322327
374.9889633655548,2.8719112653462515,4.602345556121031,1726497207.7953093,190,57,4.471131883635829,7.343043148982081,374.22506308555603
409.87320160865784,1.6671786070764847,4.229560740868649,1726497242.6795475,208,58,1.7679633530851502,3.435141960161635,409.112016916275
450.5943908691406,1.3080696433147059,4.033652898773218,1726497283.4007368,229,59,1.4782952025086458,2.7863648458233516,449.83351826667786
495.3547966480255,1.5515487236863337,4.582208173392322,1726497328.1611426,252,60,2.2445671329727093,3.7961158566590427,494.5931968688965
544.0301699638367,0.9526849585149127,3.981412428328968,1726497376.836516,277,61,1.0006050092277325,1.9532899677426454,543.2621622085571
598.473582983017,0.8951371080694864,3.801117560937108,1726497431.279929,305,62,1.1106084724203382,2.0057455804898248,597.7120864391327
656.8339269161224,0.8196879438874305,3.6883601987699097,1726497489.6402729,335,63,0.9393668693450621,1.7590548132324926,656.0727286338806
722.8710930347443,0.5338784425090416,3.3568852479194016,1726497555.677439,369,64,0.681532978567781,1.2154114210768225,722.1094796657562
794.9143025875092,0.5818850793422146,3.184162366996693,1726497627.7206485,406,65,0.6398351821786585,1.221720261520873,794.1510980129242
872.9052431583405,0.4106188587887199,3.0228265180093548,1726497705.711589,446,66,0.6049854195794392,1.0156042783681591,872.1423056125641
960.6434841156006,0.42640017770810873,2.6540367427663107,1726497793.44983,491,67,1.0465416638523128,1.4729418415604216,959.8811168670654
1056.0159983634949,0.3679024025506737,2.4381061811088487,1726497888.8223443,540,68,1.2803128682683385,1.648215270819012,1055.2547464370728
1161.114289522171,0.289607954472296,2.3481356150161705,1726497993.9206355,594,69,0.3926531844765208,0.6822611389488168,1160.3530857563019
1276.0768876075745,0.2476042382707126,2.1870081198735303,1726498108.8832335,653,70,0.4384587174324709,0.6860629557031834,1275.3161146640778
1402.1697046756744,0.13008859789448338,2.0464125729354663,1726498234.9760506,718,71,0.2166295719445812,0.34671816983906456,1401.4072573184967
1541.9875707626343,0.16289757446621086,1.920679133652671,1726498374.7939167,790,72,0.578783868774059,0.7416814432402699,1541.226502418518
1695.4817671775818,0.10846350240977247,1.899395414017173,1726498528.288113,869,73,0.15670126655569996,0.2651647689654724,1694.7146253585815
1864.2791838645935,0.12155420606743943,1.8555196186125489,1726498697.0855298,956,74,0.1774021180379628,0.29895632410540224,1863.517864704132
2050.5565779209137,0.11022524573913102,1.6894500748595032,1726498883.3629239,1052,75,0.2376067542132573,0.34783199995238834,2049.795259952545
2254.7007927894592,0.06019618350025214,1.4629518585558254,1726499087.5071387,1157,76,0.11662585471400963,0.17682203821426176,2253.937907934189
2478.338987350464,0.06526436874712128,1.2431946983564652,1726499311.1453333,1272,77,0.17883884760997076,0.24410321635709203,2477.578099966049
2727.080087661743,0.06290270247269393,1.2037394334790188,1726499559.8864336,1400,78,0.2697409227741334,0.33264362524682733,2726.3188395500183
2997.4537873268127,0.03348630073058851,1.1589906819685405,1726499830.2601333,1539,79,0.05723894906180243,0.09072524979239094,2996.6926276683807
3296.360837697983,0.03149801686048506,1.0987840854665474,1726500129.1671836,1693,80,0.091419335714845,0.12291735257533005,3295.600070953369
3625.967515230179,0.03332237497891277,0.998128292080117,1726500458.7738612,1863,81,0.0904214951898321,0.12374387016874487,3625.2062318325043
3986.6249783039093,0.01943782196465866,0.9627822934724155,1726500819.4313242,2049,82,0.04174815972819854,0.0611859816928572,3985.859909057617
4384.006848573685,0.026416777839354397,0.8949328244845033,1726501216.8131945,2254,83,0.05123433333895775,0.07765111117831215,4383.242089271545
4820.059918642044,0.013050585610718429,0.8208331452089266,1726501652.8662646,2479,84,0.026829651843359063,0.03988023745407749,4819.231478214264
5301.1297516822815,0.00784901671163724,0.5242594381255357,1726502133.9360976,2727,85,0.02885222487958867,0.03670124159122591,5300.162483215332
5830.2323162555695,0.012415910767024339,0.44260599731651434,1726502663.0386622,3000,86,0.09087285132759719,0.10328876209462153,5829.470919132233
6000.899311542511,0.007297162064342583,0.4179266809905508,1726502833.7056575,3088,87,0.021683675415294857,0.02898083747963744,6000.138295888901
