step,_runtime,l2_error,time,_step,_timestamp,loss_boundary,loss,loss_interior
23,22.34786820411682,38.189073487529015,5.538081169128418,23,1723494738.046595,1089.2898716927464,1099.4922684387027,10.202396745956428
24,22.50918436050415,38.1704956066404,5.698754549026489,24,1723494738.2079113,1063.3708684381647,1073.5865826117333,10.215714173568527
25,22.66569471359253,38.1509993303635,5.856497287750244,25,1723494738.3644216,1122.2470788784628,1132.4757776195934,10.2286987411305
26,22.835904359817505,38.13053717362229,6.023662805557251,26,1723494738.5346313,1072.6320502820104,1082.870937720877,10.238887438866714
27,23.000025033950806,38.10905660442911,6.190273284912109,27,1723494738.698752,1086.1987621115181,1096.4544949063397,10.255732794821629
28,23.168606996536255,38.086524345368105,6.358975887298584,28,1723494738.867334,1095.8494551661104,1106.1237385277725,10.27428336166204
29,23.34662413597107,38.06282797818231,6.537853002548218,29,1723494739.045351,1093.748625721786,1104.0370470530197,10.288421331233684
30,23.504317045211792,38.03793344388177,6.694753885269165,30,1723494739.203044,1076.697267327483,1087.0051669474378,10.307899619954847
31,23.667147397994995,38.01176460506694,6.86490535736084,31,1723494739.3658743,1110.2166478324816,1120.541484313457,10.32483648097543
32,23.828547954559326,37.984311184784744,7.020150661468506,32,1723494739.5272748,1078.1403138106257,1088.4853890750446,10.345075264418908
33,23.986812829971313,37.955532680750444,7.1855995655059814,33,1723494739.6855397,1057.7797761655845,1068.1454421962071,10.365666030622592
34,24.146911144256592,37.925354112427975,7.340354681015015,34,1723494739.845638,1086.830928467727,1097.2190320991524,10.388103631425297
35,24.32350444793701,37.893614285353735,7.521496057510376,35,1723494740.0222313,1077.271069179563,1087.6777099334067,10.406640753843623
36,24.511895418167114,37.86026246753093,7.711767911911011,36,1723494740.2106223,1079.0265209505376,1089.458245152979,10.431724202441485
37,24.688213348388672,37.82524815646292,7.886820077896118,37,1723494740.3869402,1073.4741979641442,1083.9301079030022,10.45590993885804
38,24.862711668014526,37.78841846499233,8.062349081039429,38,1723494740.5614386,1071.4999970019753,1081.972677991758,10.472680989782694
39,25.038017749786377,37.749762965560926,8.236831665039062,39,1723494740.7367446,1062.8578184225646,1073.3777195240384,10.519901101473733
40,25.212707996368408,37.70926791351494,8.410290002822876,40,1723494740.911435,1053.6067204785427,1064.14380303999,10.537082561447292
42,25.5263774394989,37.62217850213773,8.724895715713501,41,1723494741.2251043,1071.2519465962487,1081.858241423028,10.606294826779319
46,26.09445834159851,37.42264503910033,9.29183292388916,42,1723494741.7931852,1045.6862504034848,1056.4523556057366,10.766105202251874
50,26.680283308029175,37.18561999770028,9.876938104629517,43,1723494742.3790102,1044.2733292181952,1055.2144910641914,10.941161845996323
55,27.412887811660767,36.83322590147723,10.612230062484741,44,1723494743.1116147,1020.4789266975619,1031.6529760221906,11.174049324628728
61,28.272212028503418,36.33063618338333,11.461472034454346,45,1723494743.970939,1010.8872585014994,1022.3829548346298,11.495696333130317
67,29.142395734786987,35.75985614329854,12.334415435791016,46,1723494744.8411226,972.7453521371377,984.5525935707639,11.807241433626148
73,30.009763717651367,35.14774340858271,13.20834732055664,47,1723494745.7084906,939.4987175007793,951.5421922880046,12.043474787225291
81,31.151933431625366,34.34115705585403,14.349119663238525,48,1723494746.8506603,908.5393938455542,920.6989385765369,12.15954473098271
89,32.262919664382935,33.61950054284782,15.452572107315063,49,1723494747.9616466,912.592953695077,924.6320161292311,12.03906243415417
