l2_error,_timestamp,_runtime,step,_step,loss_boundary,loss,time,loss_interior
11.9899930451387,1723482159.2516274,6.963003396987915,29,29,62.87079846650103,72.5239578539707,6.410025119781494,9.653159387469676
11.987638705056694,1723482159.425774,7.137150049209595,30,30,64.94718450726106,74.50323957494932,6.584437608718872,9.556055067688263
12.058143973821434,1723482159.5996454,7.311021327972412,31,31,62.371830120756805,71.83680324022862,6.757485628128052,9.46497311947181
12.109948051778897,1723482159.773988,7.485363960266113,32,32,58.0924587972238,67.44282115976783,6.931834697723389,9.35036236254403
12.086940780135862,1723482159.9404347,7.651810646057129,33,33,65.43807909344818,74.69989511343258,7.107025623321533,9.26181601998439
12.08913135089131,1723482160.120685,7.832061052322388,34,34,62.606893770749636,71.73713797999865,7.287423133850098,9.130244209249014
12.079782417547458,1723482160.293672,8.005048036575317,35,35,67.18680915260344,76.21060583827027,7.451908111572266,9.023796685666822
12.070497102295551,1723482160.4503794,8.161755323410034,36,36,66.88755907882121,75.78540043341704,7.608577251434326,8.897841354595823
12.069972073924836,1723482160.6074176,8.318793535232544,37,37,58.52649967057109,67.29633004517456,7.765442132949829,8.769830374603472
12.062653228822105,1723482160.7644076,8.475783586502075,38,38,63.53564682871733,72.13922618885461,7.922463417053223,8.603579360137278
12.04056053834936,1723482160.921225,8.632601022720337,39,39,61.47019504740002,69.98483780396786,8.079216003417969,8.514642756567843
11.989613372367385,1723482161.0786295,8.790005445480347,40,40,64.17228016604025,72.47197519084345,8.236495733261108,8.299695024803196
11.974477280064365,1723482161.3709795,9.082355499267578,42,41,62.64536110778874,70.6022873764606,8.529484510421753,7.956926268671852
11.816244478934527,1723482161.93108,9.6424560546875,46,42,65.31548804411267,72.4248031032843,9.089455127716064,7.109315059171631
11.747492890238508,1723482162.4907656,10.202141523361206,50,43,66.595682440375,72.65142577983785,9.64906620979309,6.055743339462846
11.579473965443496,1723482163.1837516,10.895127534866333,55,44,66.60959226625678,71.26458254559856,10.341859579086304,4.654990279341781
11.523498920062762,1723482164.0127819,11.724157810211182,61,45,63.413841430301865,67.57087228002744,11.178502082824707,4.157030849725584
11.425093890066911,1723482164.842501,12.553876876831055,67,46,64.66980019709946,68.76336516232449,12.002588272094727,4.093564965225034
11.549855245135804,1723482165.6706953,13.382071256637573,73,47,67.02864515596218,71.11442537593112,12.8352952003479,4.085780219968943
11.522527352371112,1723482166.7694647,14.480840682983398,81,48,63.53209507520494,67.58949857350046,13.927671670913696,4.0574034982955185
11.486273095162677,1723482167.868621,15.579997062683105,89,49,65.07527877843013,69.15879055064643,15.02738881111145,4.083511772216299
11.586862116438901,1723482169.107567,16.81894302368164,98,50,66.82266697897876,70.59663972324661,16.27053165435791,3.7739727442678532
11.537411428987248,1723482170.3514557,18.06283164024353,107,51,65.7663955151176,69.57372246825523,17.509741067886353,3.807326953137627
11.382401123916232,1723482171.8630433,19.574419260025024,118,52,64.98371524801452,68.62507381102431,19.029417991638184,3.641358563009786
11.513642507018668,1723482173.6099203,21.321296215057373,130,53,60.805617864040244,64.333935722706,20.7745943069458,3.5283178586657558
11.368943570117706,1723482175.3774028,23.088778734207153,143,54,64.58238404718853,68.01056015055367,22.536059617996216,3.428176103365152
11.478747828672846,1723482177.2777598,24.9891357421875,157,55,67.50506724877731,70.79974965510972,24.440642833709717,3.294682406332414
11.467987292994573,1723482179.4256716,27.13704752922058,172,56,63.524525264175615,66.59790758219125,26.591501235961914,3.0733823180156397
11.290678295433816,1723482181.949544,29.660919904708862,190,57,64.76161760083261,67.57258396423836,29.113358974456787,2.810966363405754
11.413950587765177,1723482184.5830085,32.294384479522705,208,58,60.15676086652583,62.67135585453117,31.748852729797363,2.5145949880053435
11.05558059692004,1723482187.517399,35.22877502441406,229,59,58.88177240131308,60.859894806457014,34.68135166168213,1.9781224051439354
11.096022924043387,1723482190.741065,38.45244097709656,252,60,64.85860494100957,66.16720213946793,37.8989155292511,1.308597198458357
10.851435461403629,1723482194.2383213,41.94969725608826,277,61,64.16561024372265,64.79678243954974,41.39549112319946,0.631172195827089
10.69308896454886,1723482198.074805,45.78618097305298,305,62,59.19219293027124,59.44035212387987,45.232216596603394,0.24815919360863115
10.82302835314328,1723482202.3548048,50.06618070602417,335,63,55.7521610814187,56.01166789181951,49.52042508125305,0.259506810400817
11.0770619730937,1723482207.044186,54.75556206703186,369,64,47.19996944483844,47.83091493038535,54.210105180740356,0.6309454855469069
10.943598438419642,1723482212.0820591,59.79343509674072,406,65,39.88901585845575,42.77313675466079,59.239912033081055,2.884120896205038
10.73193518190261,1723482217.532768,65.24414396286011,446,66,45.391142338028175,46.519579813818964,64.69678354263306,1.1284374757907896
9.149810312294614,1723482223.8699038,71.58127975463867,491,67,29.065913780693258,31.58524218881269,71.02691721916199,2.51932840811943
10.314342876451883,1723482230.5920234,78.30339932441711,540,68,46.32659223119532,46.674686385094645,77.75482726097107,0.34809415389932147
8.77075492513371,1723482238.0014253,85.71280121803284,594,69,21.695324321634885,26.704399977509386,85.15890288352966,5.0090756558745015
8.242665645237794,1723482246.0996387,93.8110146522522,653,70,17.60885669614248,21.53035592672961,93.25766110420227,3.9214992305871266
5.964609836859457,1723482254.9646435,102.67601943016052,718,71,12.779114353529305,18.273234782564334,102.128835439682,5.4941204290350285
8.520431633825462,1723482265.0843809,112.79575681686401,790,72,13.011087572765996,16.236648123129754,112.24212527275085,3.2255605503637574
5.380651077383135,1723482276.0102382,123.72161412239075,869,73,5.909241277061608,10.072965726449405,123.16837692260742,4.163724449387797
7.295798212959902,1723482288.0129232,135.7242991924286,956,74,9.786669653489888,13.155749630333759,135.17103147506714,3.3690799768438717
3.770997917685901,1723482301.47364,149.18501591682434,1052,75,11.972557872770645,16.08399156408205,148.63797044754028,4.111433691311407
4.524213211900622,1723482316.1964626,163.90783858299255,1157,76,4.178743817996853,7.415451535385456,163.35368967056274,3.2367077173886027
7.40570109095918,1723482332.2707736,179.98214960098267,1272,77,8.865316026094105,15.97706639651464,179.43545389175415,7.111750370420537
5.505438531457517,1723482349.7869344,197.4983103275299,1400,78,4.089908010363019,8.63653198982928,196.94428396224976,4.54662397946626
3.0857564838125326,1723482368.9094236,216.6207995414734,1539,79,1.9123261223277763,3.956676378025991,216.07460951805115,2.0443502556982143
3.6360664683674435,1723482390.413306,238.12468194961548,1693,80,1.2518540532361886,4.005331185499071,237.57071042060852,2.7534771322628826
3.8903456316501273,1723482413.4521844,261.1635603904724,1863,81,1.363776839982681,3.0910185009123547,260.6170027256012,1.7272416609296737
5.426396065280396,1723482439.1439786,286.8553545475006,2049,82,3.2678353456521734,4.7660613351988035,286.30042600631714,1.49822598954663
5.916942058668223,1723482468.3889265,316.10030245780945,2254,83,6.336882275056136,7.752806458711553,315.5550799369812,1.4159241836554164
3.4743901930327263,1723482500.0019188,347.7132947444916,2479,84,0.8540600289265907,2.1404139332999437,347.1596562862396,1.2863539043733532
2.0151485689069824,1723482533.88487,381.5962460041046,2727,85,3.9270705654252533,5.329897761609372,381.04130148887634,1.4028271961841188
3.483671522124654,1723482572.4641166,420.1754925251007,3000,86,1.8268904296563555,4.070174918017651,419.6215326786041,2.243284488361296
