loss_interior,_timestamp,_step,loss,l2_error,loss_boundary,step,time,_runtime
7.110294244347112e-09,1714569955.8128722,22,1.0093456364869044e-08,0.00019157977869912983,2.983162120521931e-09,22,1503.9856009483337,1508.0200340747833
7.109506804110636e-09,1714570023.6701777,23,1.009316109464248e-08,0.0001915733082794774,2.9836542905318445e-09,23,1571.8427939414978,1575.8773396015167
7.109804385696442e-09,1714570094.1948693,24,1.0093000837285034e-08,0.0001915541966746311,2.983196451588593e-09,24,1642.3671305179596,1646.4020311832428
7.109816406819902e-09,1714570159.0416193,25,1.0092836715932278e-08,0.00019156097107817354,2.9830203091123767e-09,25,1707.2137582302094,1711.2487812042236
7.1093521568072555e-09,1714570225.3392606,26,1.0092714997058107e-08,0.0001915459954916735,2.9833628402508526e-09,26,1773.5113978385925,1777.5464224815369
7.109504073888241e-09,1714570291.6665182,27,1.0092616103758679e-08,0.0001915312876245286,2.9831120298704377e-09,27,1839.8390800952911,1843.873680114746
7.1094406859213645e-09,1714570354.7368875,28,1.009247352101863e-08,0.0001915309514352186,2.983032835097266e-09,28,1902.9096937179565,1906.944049358368
7.109122156483803e-09,1714570419.8651829,29,1.009237456078455e-08,0.00019153899506659634,2.9832524043007465e-09,29,1968.0369958877563,1972.0723447799683
7.1094012088700544e-09,1714570483.2400022,30,1.0092284537722554e-08,0.00019152539647613223,2.982883328852499e-09,30,2031.4121477603912,2035.4471640586853
7.109489540193997e-09,1714570545.8783877,31,1.0092227435127834e-08,0.00019154261797981343,2.982737894933837e-09,31,2094.0506081581116,2098.085549592972
7.1090723128938706e-09,1714570609.5499928,32,1.0092201502502893e-08,0.00019152469491173194,2.983129189609022e-09,32,2157.7221772670746,2161.7571547031403
7.109123789147584e-09,1714570670.733422,33,1.0092103847272742e-08,0.00019152222606692154,2.9829800581251573e-09,33,2218.9055449962616,2222.9405839443207
7.1088151878964145e-09,1714570733.250725,34,1.0092035566348498e-08,0.0001914855850150319,2.9832203784520833e-09,34,2281.4211304187775,2285.4578869342804
7.109835081402099e-09,1714570793.6656315,35,1.0091929563633232e-08,0.00019147890795225437,2.9820944822311337e-09,35,2341.8384454250336,2345.8727934360504
7.109793796623595e-09,1714570857.9371355,36,1.0091853881172959e-08,0.00019149750582618747,2.9820600845493646e-09,36,2406.1096119880676,2410.144297361374
7.108784650013252e-09,1714570920.0259283,37,1.0091740951975527e-08,0.00019149632794710948,2.982956301962275e-09,37,2468.1987466812134,2472.233090162277
7.108383104558372e-09,1714570983.6056805,38,1.0091605227433586e-08,0.0001914862093529894,2.9832221228752148e-09,38,2531.778060913086,2535.8128423690796
7.108473266209201e-09,1714571045.6635735,39,1.0091501320032905e-08,0.0001914633777801322,2.983028053823704e-09,39,2593.835262298584,2597.8707354068756
7.108808202896871e-09,1714571112.0932174,40,1.0091408666415564e-08,0.0001914578547842518,2.982600463518694e-09,40,2660.265990257263,2664.3003792762756
7.108922368051647e-09,1714571236.7481208,41,1.0091216123207292e-08,0.0001914557512236728,2.9822937551556455e-09,42,2784.920336961746,2788.955282688141
7.108852541056683e-09,1714571484.1683702,42,1.0090992735434538e-08,0.00019143430248534543,2.9821401943778542e-09,46,3032.3398144245148,3036.3755321502686
