_step,loss_interior,_timestamp,loss_boundary,loss,step,l2_error,time,_runtime
52,3.542915046977574e-05,1713953722.5854716,4.340348305407335e-06,3.976949877518307e-05,240,0.002230495989815197,169.02805376052856,172.77101159095764
53,3.33192596869111e-05,1713953735.2863607,3.968374320580691e-06,3.728763400749179e-05,258,0.0021617039828367123,181.72880601882935,185.47190070152283
54,3.0995338567292214e-05,1713953749.3347814,3.713302922799639e-06,3.4708641490091854e-05,278,0.0021660652654883635,195.77738308906555,199.52032136917114
55,2.922314024304814e-05,1713953764.4533455,3.282416309715599e-06,3.2505556552763736e-05,299,0.0019889253933001835,210.8955943584442,214.63888549804688
56,2.700506517854147e-05,1713953780.9084933,2.8746020033595394e-06,2.987966718190101e-05,322,0.0018174798804413766,227.35095500946045,231.09403324127197
57,2.5225604773585845e-05,1713953797.8888597,2.5901563245782365e-06,2.781576109816408e-05,346,0.0017602266352721066,244.33121299743652,248.07439970970154
58,2.3561761918442987e-05,1713953816.9624145,2.1783023436979603e-06,2.574006426214095e-05,373,0.0016387283491719382,263.40493273735046,267.14795446395874
59,2.181482056818825e-05,1713953836.669172,1.9495547446178378e-06,2.3764375312806087e-05,401,0.0016172362831969056,283.1118354797363,286.85471200942993
60,2.0129099745711036e-05,1713953857.7020085,1.8220930946801368e-06,2.1951192840391174e-05,431,0.0015635382667727965,304.14435267448425,307.8875484466553
61,1.8416316610688463e-05,1713953880.8498826,1.664671224828606e-06,2.008098783551707e-05,464,0.001511588742225277,327.2925217151642,331.03542256355286
62,1.6576748976507156e-05,1713953905.705414,1.5072417015903999e-06,1.8083990678097556e-05,499,0.0014772947271981085,352.1476237773895,355.89095401763916
63,1.465985367100738e-05,1713953932.5334904,1.4361212103654591e-06,1.6095974881372837e-05,537,0.0013995957246085294,378.9757869243622,382.719030380249
64,1.4227397084985901e-05,1713953941.5808587,1.4195569534347172e-06,1.5646954038420617e-05,578,0.0013894448501811764,388.0235071182251,391.7663986682892
65,1.4227397084985901e-05,1713953943.1092916,1.4195569534347172e-06,1.5646954038420617e-05,622,0.0013894448501811764,389.5519495010376,393.2948315143585
66,1.4227397084985901e-05,1713953944.7681031,1.4195569534347172e-06,1.5646954038420617e-05,669,0.0013894448501811764,391.21052598953247,394.9536430835724
67,1.4227397084985901e-05,1713953946.5478494,1.4195569534347172e-06,1.5646954038420617e-05,720,0.0013894448501811764,392.99047803878784,396.733389377594
68,1.4227397084985901e-05,1713953948.4461465,1.4195569534347172e-06,1.5646954038420617e-05,774,0.0013894448501811764,394.8886773586273,398.6316864490509
69,1.4227397084985901e-05,1713953950.5164962,1.4195569534347172e-06,1.5646954038420617e-05,833,0.0013894448501811764,396.9591119289398,400.70203614234924
70,1.4227397084985901e-05,1713953952.703823,1.4195569534347172e-06,1.5646954038420617e-05,896,0.0013894448501811764,399.14648699760437,402.8893630504608
71,1.4227397084985901e-05,1713953955.0774472,1.4195569534347172e-06,1.5646954038420617e-05,964,0.0013894448501811764,401.51997780799866,405.2629871368408
72,1.4227397084985901e-05,1713953957.6501746,1.4195569534347172e-06,1.5646954038420617e-05,1038,0.0013894448501811764,404.09240460395813,407.83571457862854
73,1.4227397084985901e-05,1713953960.3650517,1.4195569534347172e-06,1.5646954038420617e-05,1116,0.0013894448501811764,406.8076479434967,410.5505917072296
74,1.4227397084985901e-05,1713953963.3248441,1.4195569534347172e-06,1.5646954038420617e-05,1201,0.0013894448501811764,409.76748037338257,413.5103840827942
75,1.4227397084985901e-05,1713953966.51292,1.4195569534347172e-06,1.5646954038420617e-05,1292,0.0013894448501811764,412.955570936203,416.6984598636627
76,1.4227397084985901e-05,1713953969.974249,1.4195569534347172e-06,1.5646954038420617e-05,1390,0.0013894448501811764,416.41675424575806,420.1597888469696
77,1.4227397084985901e-05,1713953973.676392,1.4195569534347172e-06,1.5646954038420617e-05,1496,0.0013894448501811764,420.11883330345154,423.86193203926086
78,1.4227397084985901e-05,1713953977.6061168,1.4195569534347172e-06,1.5646954038420617e-05,1609,0.0013894448501811764,424.04872012138367,427.7916567325592
79,1.4227397084985901e-05,1713953981.8748791,1.4195569534347172e-06,1.5646954038420617e-05,1731,0.0013894448501811764,428.3173062801361,432.0604190826416
80,1.4227397084985901e-05,1713953986.5096104,1.4195569534347172e-06,1.5646954038420617e-05,1863,0.0013894448501811764,432.9521310329437,436.6951503753662
81,1.4227397084985901e-05,1713953991.396458,1.4195569534347172e-06,1.5646954038420617e-05,2004,0.0013894448501811764,437.8386883735657,441.5819978713989
82,1.4227397084985901e-05,1713953996.7234457,1.4195569534347172e-06,1.5646954038420617e-05,2156,0.0013894448501811764,443.1661374568939,446.9089856147766
83,1.4227397084985901e-05,1713954002.365888,1.4195569534347172e-06,1.5646954038420617e-05,2319,0.0013894448501811764,448.80844831466675,452.5514280796051
84,1.4227397084985901e-05,1713954008.539442,1.4195569534347172e-06,1.5646954038420617e-05,2495,0.0013894448501811764,454.98177003860474,458.72498202323914
85,1.4227397084985901e-05,1713954015.2341223,1.4195569534347172e-06,1.5646954038420617e-05,2685,0.0013894448501811764,461.67657995224,465.41966223716736
86,1.4227397084985901e-05,1713954022.3176346,1.4195569534347172e-06,1.5646954038420617e-05,2888,0.0013894448501811764,468.76031708717346,472.50317454338074
87,1.4227397084985901e-05,1713954029.9801984,1.4195569534347172e-06,1.5646954038420617e-05,3107,0.0013894448501811764,476.4227845668793,480.1657383441925
88,1.4227397084985901e-05,1713954038.2381818,1.4195569534347172e-06,1.5646954038420617e-05,3343,0.0013894448501811764,484.68035888671875,488.4237217903137
89,1.4227397084985901e-05,1713954047.1587243,1.4195569534347172e-06,1.5646954038420617e-05,3597,0.0013894448501811764,493.6013023853302,497.3442642688751
90,1.4227397084985901e-05,1713954056.64828,1.4195569534347172e-06,1.5646954038420617e-05,3870,0.0013894448501811764,503.0907838344574,506.8338198661804
91,1.4227397084985901e-05,1713954066.9150336,1.4195569534347172e-06,1.5646954038420617e-05,4163,0.0013894448501811764,513.357339143753,517.1005735397339
92,1.4227397084985901e-05,1713954077.9480584,1.4195569534347172e-06,1.5646954038420617e-05,4479,0.0013894448501811764,524.390588760376,528.1335983276367
93,1.4227397084985901e-05,1713954089.8491795,1.4195569534347172e-06,1.5646954038420617e-05,4819,0.0013894448501811764,536.2917201519012,540.0347194671631
94,1.4227397084985901e-05,1713954102.6827297,1.4195569534347172e-06,1.5646954038420617e-05,5184,0.0013894448501811764,549.1250264644623,552.8682696819305
95,1.4227397084985901e-05,1713954116.4325016,1.4195569534347172e-06,1.5646954038420617e-05,5577,0.0013894448501811764,562.8750252723694,566.6180415153503
96,1.4227397084985901e-05,1713954131.2677686,1.4195569534347172e-06,1.5646954038420617e-05,6000,0.0013894448501811764,577.710031747818,581.4533085823059
97,1.4227397084985901e-05,1713954147.269221,1.4195569534347172e-06,1.5646954038420617e-05,6456,0.0013894448501811764,593.7117104530334,597.4547610282898
98,1.4227397084985901e-05,1713954164.4565954,1.4195569534347172e-06,1.5646954038420617e-05,6945,0.0013894448501811764,610.8988752365112,614.6421353816986
99,1.4227397084985901e-05,1713954182.8193011,1.4195569534347172e-06,1.5646954038420617e-05,7472,0.0013894448501811764,629.2615461349487,633.0048410892487
100,1.4227397084985901e-05,1713954202.5851731,1.4195569534347172e-06,1.5646954038420617e-05,8039,0.0013894448501811764,649.0276346206665,652.7707130908966
101,1.4227397084985901e-05,1713954223.7888143,1.4195569534347172e-06,1.5646954038420617e-05,8649,0.0013894448501811764,670.2309808731079,673.9743542671204
102,1.4227397084985901e-05,1713954246.8184478,1.4195569534347172e-06,1.5646954038420617e-05,9305,0.0013894448501811764,693.2606844902039,697.003987789154
103,1.4227397084985901e-05,1713954271.5916173,1.4195569534347172e-06,1.5646954038420617e-05,10010,0.0013894448501811764,718.033992767334,721.7771573066711
104,1.4227397084985901e-05,1713954298.1787958,1.4195569534347172e-06,1.5646954038420617e-05,10770,0.0013894448501811764,744.6211726665497,748.3643357753754
105,1.4227397084985901e-05,1713954326.6768012,1.4195569534347172e-06,1.5646954038420617e-05,11586,0.0013894448501811764,773.1190402507782,776.8623411655426
