loss,time,l2_error,_step,_timestamp,loss_boundary,loss_interior,_runtime,step
122.06879862520339,1.6955676078796387,1.608607479384044,22,1713917322.240993,1.4716960277721152,120.59710259743127,5.676149129867554,31
122.08691715162439,1.7237529754638672,1.5763604339475707,23,1713917322.269261,1.489814554193003,120.59710259743139,5.704416990280151,34
122.10426932147881,1.7519302368164062,1.5778664181024136,24,1713917322.2972293,1.5071667240473343,120.59710259743147,5.7323853969573975,37
122.08842429813556,1.7883310317993164,1.579143004501737,25,1713917322.3337567,1.491321700704029,120.59710259743153,5.7689127922058105,41
122.07684679088702,1.8246967792510986,1.577811261869028,26,1713917322.3699868,1.4797441934554774,120.59710259743154,5.805142879486084,45
122.07017531726467,1.8608944416046143,1.5765010679612175,27,1713917322.4063592,1.473072719833086,120.59710259743159,5.841515302658081,49
122.07341697639725,1.905698299407959,1.5840675156480055,28,1713917322.4510586,1.4763143789656574,120.5971025974316,5.886214733123779,54
122.07031979934457,1.9508728981018066,1.5778524376593515,29,1713917322.4962082,1.473217201912944,120.59710259743163,5.931364297866821,59
122.07007192958521,1.9968233108520508,1.5764458402548474,30,1713917322.54212,1.472969332153582,120.59710259743163,5.977276086807251,64
122.06872905187463,2.0508809089660645,1.576341571584229,31,1713917322.5962002,1.4716264544430004,120.59710259743163,6.031356334686279,70
122.06904932507477,2.1138134002685547,1.5764257763776284,32,1713917322.6590388,1.471946727643147,120.59710259743163,6.0941948890686035,77
122.06885232136658,2.1770732402801514,1.5768991396074534,33,1713917322.7220879,1.471749723934942,120.59710259743163,6.157243967056274,84
122.06860476250058,2.2476840019226074,1.5776631270832349,34,1713917322.7928152,1.4715021650689606,120.59710259743163,6.227971315383911,92
122.06853207708997,2.3188154697418213,1.576829033073792,35,1713917322.8640745,1.4714294796583356,120.59710259743163,6.299230575561523,100
122.06853362322443,2.3994052410125732,1.577311332854887,36,1713917322.9446526,1.4714310257928018,120.59710259743163,6.379808664321899,109
122.06853121487835,2.498317241668701,1.5772042095482444,37,1713917323.0431945,1.4714286174467244,120.59710259743163,6.478350639343262,120
122.06853129135645,2.5963330268859863,1.5771537523963313,38,1713917323.1416354,1.4714286939248251,120.59710259743163,6.576791524887085,131
122.06853184745634,2.7010300159454346,1.5770831825509053,39,1713917323.246247,1.4714292500247141,120.59710259743163,6.681403160095215,143
