_timestamp,loss_interior,step,loss,time,_step,l2_error,_runtime,loss_boundary
1713958189.9783998,0.5989657867202035,124,0.8724704293213215,19.16786003112793,43,0.6292068371692069,24.16321086883545,0.2735046426011179
1713958191.265427,0.5328535240322453,134,0.7767189797333458,20.45461106300354,44,0.5926325869637669,25.45023822784424,0.24386545570110055
1713958192.5325599,0.48324038894480237,144,0.7007748682619931,21.72194480895996,45,0.5566580097555885,26.717370986938477,0.2175344793171907
1713958193.9436467,0.4434472087453561,155,0.6370211826137835,23.13324522972107,46,0.5255240755978887,28.12845778465271,0.19357397386842742
1713958195.3654242,0.411549277322334,166,0.5867997085716177,24.554569959640503,47,0.4987924501122186,29.550235271453857,0.1752504312492837
1713958197.0333781,0.37895112994702307,179,0.5331875594566339,26.222906827926636,48,0.4673662042058515,31.218189239501953,0.15423642950961083
1713958198.8149786,0.26415557913989285,193,0.348726987437719,28.004443883895874,49,0.3411527428469538,32.99978971481323,0.08457140829782614
1713958200.7918553,0.23885620018233683,207,0.31075810765065404,29.981101274490356,50,0.3094458998422109,34.97666645050049,0.07190190746831719
1713958202.8253305,0.2145824986372035,223,0.2746748169261184,32.01495051383972,51,0.2845930387315979,37.01014161109924,0.06009231828891492
1713958205.006607,0.1929008170021405,240,0.24326396584165844,34.19561529159546,52,0.2597935163071525,39.191418170928955,0.05036314883951793
1713958207.292586,0.1306590091574136,258,0.15819128332268306,36.481464862823486,53,0.18667274234708536,41.477397203445435,0.027532274165269474
1713958209.8359082,0.11376274515421998,278,0.13671211433492048,39.0248122215271,54,0.17081562076730497,44.02071928977966,0.022949369180700493
1713958212.5386379,0.1014648425465405,299,0.12127199885720988,41.72776937484741,55,0.1588692538933191,46.72344899177551,0.01980715631066938
1713958215.5866024,0.06731788202022312,322,0.08028093379156497,44.775792837142944,56,0.1256851093835585,49.77141356468201,0.012963051771341846
1713958218.6653602,0.057787429638247366,346,0.06914231045635359,47.85384249687195,57,0.11774302189345048,52.85017132759094,0.011354880818106223
1713958222.1802242,0.05060756060014635,373,0.06080819608151844,51.36873173713684,58,0.11115522396443504,56.36503529548645,0.010200635481372084
1713958225.721806,0.03228150138097295,401,0.03963770269019465,54.910343647003174,59,0.09367875491903152,59.906617164611816,0.0073562013092216974
1713958229.5546932,0.028241565363867113,431,0.03504755545276612,58.743247985839844,60,0.08966439046540546,63.73950433731079,0.0068059900888990015
1713958233.7391589,0.025248653880405158,464,0.0316433884762665,62.92773652076721,61,0.08628776720456226,67.92396998405457,0.006394734595861342
1713958238.1924856,0.016998976055967608,499,0.022068161855782212,67.38144612312317,62,0.07569252098854638,72.37729668617249,0.005069185799814604
1713958243.0121179,0.015031693736867182,537,0.019766751003990914,72.20089817047119,63,0.07310024303203684,77.19692897796631,0.004735057267123733
1713958248.2773244,0.011230560771752794,578,0.015288703583032182,77.46577715873718,64,0.06712651279737454,82.46213555335999,0.004058142811279387
1713958253.8689785,0.009688406949562222,622,0.013472426841021921,83.05839276313782,65,0.06451434791381465,88.0537896156311,0.003784019891459699
1713958259.88864,0.008808762715881407,669,0.01242910614338357,89.0778214931488,66,0.06301196589507116,94.0734510421753,0.003620343427502162
1713958266.3670452,0.006627790071337339,720,0.009805252733754023,95.55609345436096,67,0.058798453106399654,100.55185627937317,0.0031774626624166843
1713958273.2722871,0.006006432740566601,774,0.009037242611856186,102.46173882484436,68,0.05738263234887123,107.45709824562073,0.0030308098712895854
1713958280.9152205,0.004668999417128223,833,0.0073071580462903945,110.10372877120972,69,0.05360885230727803,115.10003161430359,0.0026381586291621714
1713958288.9677653,0.004138153028758883,896,0.006572171807974607,118.15671443939209,70,0.05161552107668992,123.1525764465332,0.002434018779215724
1713958297.7373066,0.00343794597534968,964,0.005545405933370742,126.92591214179993,71,0.04828056216870075,131.92211771011353,0.002107459958021062
1713958307.2771897,0.002943039732400999,1038,0.004766703002734824,136.46565651893616,72,0.04522915864202567,141.4620008468628,0.0018236632703338253
1713958317.491862,0.0026324183896712767,1116,0.004255925175752597,146.68002033233643,73,0.04302180537786622,151.67667317390442,0.0016235067860813203
1713958328.3856082,0.002016108702876592,1201,0.003213628140212455,157.57411456108093,74,0.0378463384413224,162.57041931152344,0.0011975194373358632
1713958340.2077472,0.0017362074566455773,1292,0.0027463995138037474,169.39694142341614,75,0.03524484459461456,174.39255833625793,0.0010101920571581702
1713958352.7827654,0.0015388739833966506,1390,0.0024249798083950677,181.9718039035797,76,0.03344390636148911,186.96757650375366,0.0008861058249984171
1713958366.2176225,0.000997556431905517,1496,0.0015669488008434281,195.40670132637024,77,0.027785234953236156,200.40243363380432,0.0005693923689379112
1713958380.564315,0.0008808950963104551,1609,0.001390534816160026,209.7532935142517,78,0.026500563428938657,214.7491261959076,0.000509639719849571
1713958396.1491542,0.0007916827081492176,1731,0.0012552697286152099,225.3385190963745,79,0.025398230635389468,230.33396530151367,0.00046358702046599235
1713958412.9330254,0.0006857326261597646,1863,0.0010944466331992454,242.12222743034363,80,0.023984310397749002,247.11783647537231,0.00040871400703948083
1713958430.8015347,0.0004930849828754877,2004,0.0008041710610576407,259.99073791503906,81,0.021098120816784582,264.98634576797485,0.00031108607818215305
1713958450.2512121,0.00044459011320477707,2156,0.0007314052751655619,279.44029474258423,82,0.020308578195468316,284.43602323532104,0.0002868151619607848
1713958471.0865457,0.0004091680178947394,2319,0.0006779718496143821,300.27549171447754,83,0.019692794272674008,305.2713568210602,0.00026880383171964267
1713958493.632455,0.00035658085356109464,2495,0.0005980498971942263,322.8209693431854,84,0.018715545536418347,327.8172662258148,0.0002414690436331316
1713958517.8305123,0.0002529511878067287,2685,0.00043752069727920307,347.019348859787,85,0.016539502454076517,352.01532340049744,0.00018456950947247442
1713958543.6649067,0.00023534411673975186,2888,0.00040970325742299837,372.85362815856934,86,0.016145743051613173,377.8497178554535,0.00017435914068324654
1713958572.4895837,0.00022130648530434567,3107,0.0003873475003024794,401.67838764190674,87,0.0158129706243142,406.6743948459625,0.00016604101499813375
1713958602.6567109,0.00020897831024189835,3343,0.00036758294760728494,431.84519147872925,88,0.015510054456563113,436.8415219783783,0.0001586046373653866
1713958634.9434543,0.00018765564212692485,3597,0.0003329677889865032,464.13252305984497,89,0.014959294784849876,469.1282653808594,0.0001453121468595783
1713958669.7192822,0.00014194152456916496,3870,0.0002572106597448645,498.9085350036621,90,0.013648548568121631,503.90409326553345,0.00011526913517569953
1713958707.0475056,0.00013249091745160227,4163,0.00024136532588460143,536.2366411685944,91,0.01335681437078311,541.2323167324066,0.00010887440843299915
1713958747.665881,0.00012569760801838927,4479,0.00022979258028404638,576.8550729751587,92,0.013134463566422554,581.8506920337677,0.00010409497226565713
1713958791.069049,0.00011947358641648414,4819,0.00021909547330091513,620.2578930854797,93,0.012924834176043606,625.2538599967957,9.9621886884431e-05
1713958837.557373,0.00011378468665211332,5184,0.00020925786607585225,666.746515750885,94,0.01272648303105721,671.7421841621399,9.547317942373893e-05
1713958888.2511823,0.00010863714790036459,5577,0.0002002857782441825,717.4402966499329,95,0.012541202512232279,722.4359934329987,9.16486303438179e-05
1713958941.919512,0.00010130516126750045,6000,0.00018730391744130442,771.1086006164551,96,0.012262487818040084,776.1043231487274,8.599875617380398e-05
1713959000.3406143,7.543616389279827e-05,6456,0.0001405567009977913,829.5291283130646,97,0.011167231250200913,834.5254254341125,6.512053710499304e-05
1713959062.8618915,7.135778896069715e-05,6945,0.00013303139998844138,892.0511076450348,98,0.01097345667752316,897.0467026233673,6.167361102774425e-05
1713959130.6405814,6.77305486446161e-05,7472,0.0001263230066589974,959.8295862674713,99,0.010795927092577666,964.8253924846649,5.859245801438131e-05
1713959203.3365529,6.481721111241741e-05,8039,0.00012090651044501465,1032.5249388217926,100,0.010649277844796494,1037.5213639736176,5.6089299332597233e-05
1713959282.0454056,6.207900658393933e-05,8649,0.00011580260508592317,1111.2345027923584,101,0.010507418245591829,1116.230216741562,5.372359850198384e-05
1713959366.343105,5.953431214707355e-05,9305,0.00011105155387224346,1195.5323524475098,102,0.010372306803904404,1200.5279161930084,5.1517241725169905e-05
1713959455.8361619,5.717581135550911e-05,10010,0.00010664395480711301,1285.0252318382263,103,0.010244103679720519,1290.0209729671478,4.94681434516039e-05
1713959555.864924,5.47363556062065e-05,10770,0.0001020782956351086,1385.0538749694824,104,0.010108006407847705,1390.049735069275,4.7341940028902103e-05
1713959662.6724956,4.9905547560372604e-05,11586,9.303503714117512e-05,1491.8617053031921,105,0.009827645361005834,1496.8573067188263,4.312948958080252e-05
1713959774.7823,3.9999406258028894e-05,12465,7.454388034236055e-05,1603.9709169864655,106,0.009196188058812544,1608.9671111106873,3.454447408433166e-05
1713959895.0694451,3.7718991577431404e-05,13411,7.031592737500296e-05,1724.258145570755,107,0.009036773398239164,1729.2542562484741,3.259693579757155e-05
1713960025.8175976,3.594644418259581e-05,14428,6.703673410512611e-05,1855.006388425827,108,0.008907908810747519,1860.0024087429047,3.109028992253029e-05
1713960165.8512619,3.437288710081942e-05,15522,6.41247375974948e-05,1995.0408153533936,109,0.008789290541231719,2000.0360729694366,2.9751850496675382e-05
1713960320.1833658,3.2901214255772794e-05,16699,6.140344073087722e-05,2149.372073173523,110,0.008674283273277199,2154.3681769371033,2.8502226475104427e-05
1713960485.695448,3.1599535001253626e-05,17966,5.899913870760989e-05,2314.8819601535797,111,0.00856919744602548,2319.880259037018,2.739960370635626e-05
1713960665.4087183,3.0344162605335724e-05,19329,5.667668417587848e-05,2494.5977823734283,112,0.008464013233713498,2499.5935294628143,2.633252157054275e-05
1713960857.9637206,2.9181207572436298e-05,20795,5.4524121156493036e-05,2687.1531434059143,113,0.008363064881992108,2692.1485316753387,2.534291358405674e-05
1713961066.6331427,2.7921546835084412e-05,22372,5.2188611294069694e-05,2895.8222332000732,114,0.00824935925883177,2900.817953824997,2.4267064458985285e-05
1713961291.5446885,2.488417179335073e-05,24069,4.653032554593983e-05,3120.7339220046997,115,0.007946538153832759,3125.729499578476,2.1646153752589103e-05
1713961525.3867118,2.08148603232629e-05,25894,3.8838287229921986e-05,3354.5731620788574,116,0.007489327449300496,3359.571522951126,1.802342690665908e-05
1713961778.1516032,1.9619678740792957e-05,27858,3.6543807904079024e-05,3607.3403577804565,117,0.0073341384779096915,3612.336414337158,1.6924129163286067e-05
1713962047.44418,1.87322174245502e-05,29971,3.482563843836888e-05,3876.633116722107,118,0.007211264243340486,3881.628991127014,1.6093421013818687e-05
1713962339.084019,1.7908239484669714e-05,32245,3.321792377521345e-05,4168.273029565811,119,0.007091335212972642,4173.268830060959,1.530968429054374e-05
1713962651.9964266,1.7202374092904314e-05,34690,3.1830716974255694e-05,4481.185472488403,120,0.0069832544463973205,4486.181237697601,1.462834288135138e-05
1713962999.963823,1.6519920399399273e-05,37321,3.0479942414256023e-05,4829.152333021164,121,0.0068736418641529625,4834.148634195328,1.396002201485675e-05
1713963364.7719572,1.5905913908048022e-05,40152,2.9256453526350568e-05,5193.961021661758,122,0.0067704092082003205,5198.956768274307,1.3350539618302546e-05
1713963756.5821238,1.5323633672197565e-05,43197,2.8088753638775704e-05,5585.771219968796,123,0.0066681463140875015,5590.766934871674,1.2765119966578139e-05
1713964184.647565,1.4771184733534494e-05,46474,2.697442931771966e-05,6013.835835933685,124,0.006566882232187184,6018.832376003265,1.2203244584185165e-05
1713964637.3333726,1.4000120607645959e-05,49998,2.540836699883389e-05,6466.5107572078705,125,0.006417907232155215,6471.518183708191,1.140824639118793e-05
1713964637.4658875,1.4000079738484873e-05,49999,2.5408117858442872e-05,6466.655436754227,126,0.006417923082649801,6471.650698661804,1.1408038119957997e-05
