l2_error,step,_timestamp,loss_boundary,_step,_runtime,loss_interior,loss,time
0.0012228428139789698,24,1714004030.3924496,6.013858791843432e-07,21,386.2909417152405,1.3491508073355274e-06,1.9505366865198704e-06,381.7935800552368
0.0011355885437323828,26,1714004052.57599,4.6570352742588206e-07,22,408.47448205947876,1.1701296358173924e-06,1.6358331632432744e-06,403.97782707214355
0.0010808023321865127,28,1714004074.920694,3.9822699519542966e-07,23,430.8191862106323,1.0621950680399493e-06,1.460422063235379e-06,426.3224151134491
0.0010235880188732085,31,1714004110.000984,3.4100612042770544e-07,24,465.89947605133057,9.529667169520363e-07,1.2939728373797417e-06,461.40271520614624
0.0009936371895292373,33,1714004132.4931703,3.152457079730907e-07,25,488.39166235923767,8.971970059751639e-07,1.2124427139482545e-06,483.89516973495483
0.0009675756495298338,35,1714004153.937827,2.946296870487431e-07,26,509.83631920814514,8.493919964847731e-07,1.1440216835335162e-06,505.33994793891907
0.0009336484972268075,38,1714004187.6747,2.698638661289629e-07,27,543.5731921195984,7.880420827228046e-07,1.0579059488517675e-06,539.0764422416687
0.0009043700046890766,41,1714004220.8499892,2.500974122849945e-07,28,576.7484812736511,7.358052277103369e-07,9.859026399953314e-07,572.251386642456
0.0008787014413090479,44,1714004253.450234,2.338340219448676e-07,29,609.3487260341644,6.90514286491631e-07,9.243483084364986e-07,604.8516571521759
0.0008489320625450613,48,1714004296.7395973,2.160737175398682e-07,30,652.6380894184113,6.385961016946058e-07,8.54669819234474e-07,648.1411256790161
0.0008293213034718207,51,1714004329.629496,2.0494978059713008e-07,31,685.5279881954193,6.047814648277348e-07,8.097312454248648e-07,681.0300376415253
0.000806113435107949,55,1714004375.7776856,1.923079631381831e-07,32,731.676177740097,5.652002527822201e-07,7.575082159204031e-07,727.1784179210663
0.0007845585771408327,59,1714004422.306273,1.8159232717675576e-07,33,778.2047650814056,5.307679280889128e-07,7.123602552656686e-07,773.7048223018646
0.0007433100119386239,64,1714004478.3192513,1.616256888788147e-07,34,834.217743396759,4.713219980297515e-07,6.329476869085662e-07,829.7208504676819
0.0007097641715437167,69,1714004534.5060983,1.454004379966375e-07,35,890.4045903682709,4.137892739644803e-07,5.591897119611178e-07,885.9078285694122
0.0006831437759867392,74,1714004588.9881024,1.3294234408448214e-07,36,944.8865945339203,3.697035819109482e-07,5.026459259954304e-07,940.3895783424377
0.0006510141330603322,80,1714004654.0185995,1.2000282563810975e-07,37,1009.9170916080475,3.2923241154361013e-07,4.492352371817199e-07,1005.420464515686
0.0006138269236947868,86,1714004719.342795,1.0277220136420182e-07,38,1075.2412869930267,2.668555878339248e-07,3.6962778919812665e-07,1070.743554353714
0.0005807804683946636,93,1714004795.087628,8.914028692296178e-08,39,1150.9861199855804,2.2125077561704826e-07,3.1039106254001003e-07,1146.4895737171173
0.0005403148713233801,100,1714004870.4474905,7.076996559044157e-08,40,1226.3459825515747,1.652811458086426e-07,2.3605111139908416e-07,1221.8487770557404
0.0005151786071903434,107,1714004947.2306957,5.960813280604082e-08,41,1303.129187822342,1.3448590926530725e-07,1.9409404207134808e-07,1298.632628917694
0.0004998370309919925,115,1714005033.8947556,5.096290219632792e-08,42,1389.7932476997375,1.1011121731686822e-07,1.6107411951319613e-07,1385.2959334850311
0.00048445698732673895,124,1714005132.3536675,4.441348398615332e-08,43,1488.2521595954895,9.33918213300062e-08,1.3780530531615952e-07,1483.7550570964813
