l2_error,time,_timestamp,loss_boundary,_step,_runtime,loss,step,loss_interior
0.9687777701161048,8.315234422683716,1714776878.0589318,0.7502285567111601,44,13.453791856765747,4.420504045314438,55,3.670275488603278
0.5993223346467447,8.869999408721924,1714776878.6145985,0.4098668811465915,45,14.009458541870117,3.193152402449956,61,2.7832855213033647
0.509272938696041,9.401257038116455,1714776879.1444256,0.2796028121292966,46,14.539285659790039,2.5194150148366825,67,2.2398122027073857
0.5308915964802071,9.95832085609436,1714776879.7011945,0.2869433346888276,47,15.096054553985596,2.0504677060653225,73,1.7635243713764948
0.454496637164018,10.653394222259521,1714776880.3962047,0.20409629998994294,48,15.791064739227295,1.6739087756507716,81,1.4698124756608286
0.38920577457879746,11.352142333984375,1714776881.0949037,0.18330155667848896,49,16.489763736724854,1.4943289208222554,89,1.3110273641437664
0.3369620864918772,12.120031356811523,1714776881.8627536,0.14160931606350244,50,17.25761365890503,1.369372685079961,98,1.2277633690164587
0.3273209314507661,12.912231922149658,1714776882.6563902,0.11962220911079319,51,18.051250219345093,1.25934610435208,107,1.1397238952412867
0.337109672895726,13.903909921646118,1714776883.6477466,0.10817341145971704,52,19.042606592178345,1.093680038553548,118,0.9855066270938307
0.306382562535461,14.944052696228027,1714776884.686805,0.08949447434582493,53,20.0816650390625,0.86526431962142,130,0.7757698452755951
0.3368035778701992,16.086483001708984,1714776885.8293412,0.087004437478923,54,21.224201202392578,0.6704784790370857,143,0.5834740415581627
0.26376747676085505,17.321035861968994,1714776887.0643375,0.060637071683309694,55,22.459197521209717,0.45131231486308204,157,0.39067524317977237
0.21027021524213704,18.644704580307007,1714776888.3874905,0.03866152716721889,56,23.782350540161133,0.2801668440244775,172,0.24150531685725862
0.20352423599587507,20.19691753387451,1714776889.9396768,0.030761377250240515,57,25.33453679084778,0.16536481033100892,190,0.13460343308076841
0.13225470458535185,21.767305612564087,1714776891.5103223,0.014162840984483614,58,26.905182361602783,0.08807535853522612,208,0.0739125175507425
0.09388145524199484,23.677457809448242,1714776893.4208276,0.008024656468151788,59,28.815687656402588,0.047235283353521826,229,0.03921062688537004
0.07689905661653558,25.740004539489746,1714776895.4834685,0.005538118944478724,60,30.878328561782837,0.030991611129524248,252,0.025453492185045522
0.057666704605708836,28.00289559364319,1714776897.746806,0.0030175197581375954,61,33.14166593551636,0.022562954020209518,277,0.019545434262071924
0.04200406998031079,30.445592403411865,1714776900.1885338,0.0018655221126925904,62,35.583393812179565,0.01657544377794363,305,0.014709921665251039
0.036676455043487086,33.07689428329468,1714776902.820504,0.0012358608360491382,63,38.2153639793396,0.012099236911590077,335,0.010863376075540939
0.029593931399483967,36.08000636100769,1714776905.8227491,0.0008001371205379991,64,41.217609167099,0.008906148666590653,369,0.008106011546052654
0.02259725450023747,39.39837169647217,1714776909.1422987,0.0004773964015676995,65,44.537158727645874,0.005852093032746507,406,0.005374696631178807
0.020342566753965795,43.09791374206543,1714776912.8422806,0.00034190252512758453,66,48.23714065551758,0.004186399591447437,446,0.003844497066319853
0.016205635151074517,47.068264961242676,1714776916.8115,0.00023172174919851377,67,52.20636010169983,0.0030964436875249015,491,0.0028647219383263877
0.01519949857137725,51.44139623641968,1714776921.1846051,0.00019149470311863686,68,56.57946515083313,0.002176499265493296,540,0.001985004562374659
0.012309819888725714,56.32657313346863,1714776926.0699484,0.000125562797261076,69,61.46480846405029,0.0015368554258789315,594,0.0014112926286178554
0.010919340603488398,61.54932117462158,1714776931.2925289,0.00010300843676841514,70,66.68738889694214,0.0010239373242668915,653,0.0009209288874984764
