l2_error,_timestamp,time,step,_runtime,_step,loss_boundary,loss_interior,loss
0.0030087977490736426,1714528609.174547,31.926384449005127,42,36.15060997009277,41,1.8733268311772707e-05,4.830756594483605e-05,6.704083425660876e-05
0.0025563562359480034,1714528612.2157924,34.9673547744751,46,39.19185543060303,42,1.231888612229122e-05,3.787773889102198e-05,5.01966250133132e-05
0.0021252448763394876,1714528615.2413743,37.99321174621582,50,42.21743726730347,43,1.0098469681566613e-05,2.881522432512641e-05,3.891369400669303e-05
0.0017581620626734237,1714528619.1440716,41.89593505859375,55,46.120134592056274,44,5.475439375026239e-06,2.0861856434718495e-05,2.6337295809744733e-05
0.0012652394589562942,1714528623.658778,46.41065549850464,61,50.634840965270996,45,2.8209595477515987e-06,1.526675289921421e-05,1.808771244696581e-05
0.0011285549804669857,1714528628.4058838,51.1579909324646,67,55.38194680213928,46,1.8563285495344232e-06,1.1426163717461114e-05,1.3282492266995537e-05
0.0011028454910578306,1714528633.32996,56.08031344413757,73,60.30602312088013,47,2.0469743183242593e-06,5.793651297846794e-06,7.840625616171054e-06
0.0009963993533003536,1714528639.6134102,62.36534571647644,81,66.58947324752808,48,1.6366171067359697e-06,4.645173889429786e-06,6.2817909961657556e-06
0.0009478032746131479,1714528641.6054053,64.35758829116821,89,68.58146834373474,49,1.5569337115990417e-06,4.641442196991606e-06,6.198375908590647e-06
0.0006383003402534867,1714528649.1532016,71.9049904346466,98,76.12926459312439,50,8.506192060203376e-07,3.5804738345632536e-06,4.431093040583591e-06
0.0006385538423908436,1714528656.625866,79.37792253494263,107,83.60192894935608,51,7.533424900940404e-07,2.538866500751173e-06,3.2922089908452133e-06
0.00046426321839676765,1714528665.8601713,88.61202931404114,118,92.83623433113098,52,4.4633075070678665e-07,1.9252141584575055e-06,2.371544909164292e-06
0.00047984563282953987,1714528667.9854765,90.73767161369324,130,94.96153950691223,53,4.7167558119634706e-07,1.7845656096886553e-06,2.2562411908850023e-06
0.00047072413922647947,1714528671.3426456,94.09467697143555,143,98.31870865821838,54,4.567129748488473e-07,1.5975728305717825e-06,2.05428580542063e-06
0.0004559916286783118,1714528672.423675,95.17595767974854,157,99.399738073349,55,4.3464386473549673e-07,1.5909847602669599e-06,2.0256286250024565e-06
0.0004509559124338743,1714528673.0382211,95.79062604904175,172,100.01428413391113,56,4.2978221470577746e-07,1.5893927282010592e-06,2.019174942906837e-06
