loss_boundary,loss,time,_runtime,loss_interior,l2_error,_timestamp,step,_step
0.0014396659475047853,0.002119812558796529,5.7439680099487305,9.57376503944397,0.0006801466112917439,0.0274237740775141,1715381803.695759,46,42
0.0010755932663263751,0.001918742800385965,6.0613532066345215,9.891106128692627,0.0008431495340595898,0.023453385801066654,1715381804.0131001,50,43
0.000767662167627314,0.001047652268038563,6.47190523147583,10.302011013031006,0.000279990100411249,0.02040524238453377,1715381804.424005,55,44
0.0004640130941416184,0.0005904786327366323,6.965003728866577,10.79483675956726,0.0001264655385950139,0.016226673157652877,1715381804.9168308,61,45
0.00027491193880221237,0.0003520621762928428,7.4557647705078125,11.28583312034607,7.71502374906304e-05,0.012222080221520056,1715381805.4078271,67,46
0.00014451185795203965,0.00020080502911817459,7.933560848236084,11.763319492340088,5.629317116613492e-05,0.009383941993198499,1715381805.8853135,73,47
5.270133005597299e-05,8.250541004555713e-05,8.567371368408203,12.397071361541748,2.980407998958413e-05,0.005626903253267949,1715381806.5190654,81,48
2.2226521432772682e-05,4.3334922434974015e-05,9.20358157157898,13.03356385231018,2.110840100220133e-05,0.0041735804826759215,1715381807.1555579,89,49
1.062061663651947e-05,2.2587163315758187e-05,9.938202857971191,13.768301725387573,1.196654667923872e-05,0.002517588608769909,1715381807.8902957,98,50
5.976699743570741e-06,1.2562590492963692e-05,10.655655145645142,14.485422611236572,6.5858907493929506e-06,0.002064322233574107,1715381808.6074166,107,51
3.4596350155264254e-06,6.979436164665802e-06,11.53633451461792,15.366211175918579,3.5198011491393763e-06,0.0013821120112405079,1715381809.4882052,118,52
1.9550210208572794e-06,4.050512166128054e-06,12.500788688659668,16.330849170684814,2.095491145270775e-06,0.0008707444511128985,1715381810.4528432,130,53
1.147103257042503e-06,2.2116029027026925e-06,13.534856796264648,17.364595651626587,1.0644996456601896e-06,0.0006597404732124256,1715381811.4865897,143,54
8.036699469724747e-07,1.355922396308799e-06,14.630404233932495,18.460143566131592,5.522524493363244e-07,0.0005497108469642284,1715381812.5821376,157,55
4.88276956868732e-07,7.78423608501874e-07,15.80207633972168,19.63182783126831,2.90146651633142e-07,0.0004232699477839678,1715381813.7538218,172,56
3.457915718153394e-07,5.405628467832248e-07,17.211970806121826,21.04172945022583,1.947712749678854e-07,0.00035718390999209357,1715381815.1637235,190,57
2.713773899054146e-07,4.2134561487494075e-07,18.627186059951782,22.45718288421631,1.4996822496952617e-07,0.00031559647961440545,1715381816.579177,208,58
2.2271499087611697e-07,3.4213783205172686e-07,20.240084409713745,24.069721221923828,1.194228411756099e-07,0.0002828323681654674,1715381818.1917152,229,59
1.826499184198759e-07,2.7891808274885584e-07,22.011544704437256,25.841280937194824,9.626816432897996e-08,0.0002593422946868544,1715381819.963275,252,60
1.3314950555075615e-07,2.0744019880065137e-07,23.939621686935425,27.76927399635315,7.42906932498952e-08,0.00021847981126772644,1715381821.891268,277,61
7.919334414642994e-08,1.326334300541393e-07,26.09954810142517,29.929261684417725,5.3440085907709356e-08,0.00017543920609979538,1715381824.0512557,305,62
3.197178287710933e-08,6.558313306816301e-08,28.410990715026855,32.24094748497009,3.3611350191053676e-08,0.000129429800030806,1715381826.3629415,335,63
1.2548623340751171e-08,3.484244216291621e-08,31.04493236541748,34.874624490737915,2.229381882216504e-08,7.886790418396106e-05,1715381828.9966185,369,64
8.64438348231606e-09,2.6552144237269656e-08,33.90642523765564,37.736145973205566,1.7907760754953597e-08,7.887564538647722e-05,1715381831.85814,406,65
6.777372937103515e-09,2.2284549294392653e-08,37.01812148094177,40.847872495651245,1.550717635728914e-08,6.185476764671889e-05,1715381834.9698665,446,66
5.7136938868024425e-09,1.9464095927870935e-08,40.50634431838989,44.33621406555176,1.3750402041068492e-08,5.971157424214924e-05,1715381838.458208,491,67
4.674780618082923e-09,1.661998578664166e-08,44.30937051773071,48.13915824890137,1.1945205168558736e-08,5.141499610892766e-05,1715381842.2611523,540,68
3.6788790502159774e-09,1.3767577419119753e-08,48.53077554702759,52.3609094619751,1.0088698368903776e-08,4.752335954423249e-05,1715381846.4829035,594,69
2.906293653181792e-09,1.1330148983258947e-08,53.110657691955566,56.94066762924194,8.423855330077156e-09,4.0745946759498365e-05,1715381851.0626616,653,70
2.3313305430051666e-09,9.385029348751508e-09,58.14191198348999,61.97162628173828,7.053698805746342e-09,3.582359521312276e-05,1715381856.0936203,718,71
1.9132575144874837e-09,7.924283054627614e-09,63.67442440986633,67.50427436828613,6.01102554014013e-09,3.327064326863461e-05,1715381861.6262684,790,72
1.6017852307586904e-09,6.772189431812131e-09,69.74378371238708,73.57358646392822,5.17040420105344e-09,2.980303403348086e-05,1715381867.6955805,869,73
1.3284315241966747e-09,5.68334887175446e-09,76.47319626808167,80.30314707756042,4.354917347557786e-09,2.6620717247393205e-05,1715381874.425141,956,74
1.0757086381644934e-09,4.604248108098154e-09,83.86001467704773,87.68971729278564,3.528539469933661e-09,2.3433687785200047e-05,1715381881.8117113,1052,75
8.725647272385966e-10,3.6735686344419107e-09,91.92316913604736,95.75306177139282,2.8010039072033143e-09,2.060317154689557e-05,1715381889.8750558,1157,76
