loss_boundary,loss_interior,_timestamp,l2_error,loss,step,time,_step,_runtime
0.0024061917715342707,0.0023881507549057576,1714525692.166913,0.059509850683790465,0.004794342526440029,46,7.7368323802948,42,11.576419115066528
0.00032701832469467056,0.003872089316210544,1714525692.8716414,0.014382996473489422,0.004199107640905215,50,8.442433595657349,43,12.281147480010986
0.0011105811041489176,0.002659855075604485,1714525693.6007142,0.040486640340794244,0.0037704361797534025,55,9.171481132507324,44,13.010220289230347
0.002139636055933182,0.0011055650145567074,1714525694.3903935,0.0503586857844925,0.0032452010704898896,61,9.961409091949463,45,13.799899578094482
0.0006889056969265389,0.0016963312813127315,1714525695.1398816,0.02393595962543278,0.0023852369782392706,67,10.71098804473877,46,14.549387693405151
0.00024497339002779896,0.0019540553617911818,1714525695.8761475,0.017932746621973007,0.0021990287518189808,73,11.446879863739014,47,15.285653591156006
0.0006871855456644082,0.0007119489832993181,1714525696.8548937,0.031467680590566545,0.0013991345289637263,81,12.426062822341919,48,16.264399766921997
0.00021804343648137493,0.000861079776720894,1714525697.832526,0.019123020956757,0.001079123213202269,89,13.403652429580688,49,17.242032051086426
0.0003598050667859959,0.0004881708803423696,1714525698.9205346,0.022156404914687365,0.0008479759471283655,98,14.491344451904297,50,18.33004069328308
6.0472105142565545e-05,0.0004940471443521175,1714525700.0255513,0.009391442506689619,0.000554519249494683,107,15.596548080444336,51,19.435057401657104
0.00011771193846234325,0.00025707490735538433,1714525701.3511662,0.010917975040898531,0.0003747868458177276,118,16.92241668701172,52,20.760672330856323
5.772834625495476e-05,0.0002025941577078712,1714525702.8239841,0.00856302287874189,0.00026032250396282596,130,18.394425630569458,53,22.233490228652954
3.1947306002911863e-05,0.0001228842148778073,1714525704.420885,0.005784064362877019,0.00015483152088071917,143,19.992048501968384,54,23.83039116859436
8.719321233140329e-06,9.069566119574392e-05,1714525706.1239064,0.0025297320480152704,9.941498242888425e-05,157,21.694607496261597,55,25.53341245651245
1.6655121571811045e-05,3.826162365651962e-05,1714525707.9809527,0.004032223534530331,5.4916745228330665e-05,172,23.552000522613525,56,27.390458822250366
3.926910723086039e-06,2.712159354255121e-05,1714525710.2093172,0.002308119171748943,3.104850426563725e-05,190,25.78002381324768,57,29.618823289871216
1.3317171369288424e-06,1.6057724046743252e-05,1714525712.6615417,0.0012027111413963325,1.7389441183672093e-05,208,28.232162475585938,58,32.07104778289795
1.6435300690814754e-06,8.938231297032142e-06,1714525715.8701494,0.0012204819445409305,1.0581761366113617e-05,229,31.440991163253784,59,35.27965545654297
8.254714535480087e-07,5.665453454313207e-06,1714525718.8427532,0.0007528299239322916,6.4909249078612155e-06,252,34.41349983215332,60,38.252259254455566
5.959800506850815e-07,4.165826994267755e-06,1714525721.9096563,0.0007907814301627185,4.761807044952836e-06,277,37.480257987976074,61,41.319162368774414
3.906387372363715e-07,3.3497196483890007e-06,1714525725.3421109,0.0004922278123540485,3.7403583856253724e-06,305,40.91238212585449,62,44.75161695480347
3.3692258330560724e-07,2.81321991842336e-06,1714525728.9920082,0.00042427318909055487,3.150142501728967e-06,335,44.562143325805664,63,48.401514291763306
2.4804565423477854e-07,1.955413066842011e-06,1714525732.951872,0.00034500528884654565,2.2034587210767897e-06,369,48.52291560173035,64,52.36137819290161
1.7400786626691326e-07,1.3706706226000648e-06,1714525737.5830579,0.00026305817863384224,1.5446784888669781e-06,406,53.15383791923523,65,56.9925639629364
1.3200473868069066e-07,7.841905236098999e-07,1714525742.9458916,0.00025249660361811817,9.161952622905905e-07,446,58.51583433151245,66,62.35539770126343
6.77335496344878e-08,3.901118275772567e-07,1714525748.5308032,0.00017161209189797477,4.578453772117445e-07,491,64.10146355628967,67,67.94030928611755
4.254964570830973e-08,2.568347105974702e-07,1714525754.6740043,0.00015277955332216193,2.993843563057799e-07,540,70.24424505233765,68,74.08351039886475
3.3745881371956336e-08,2.2557852605842797e-07,1714525762.0516846,0.00013489006092059184,2.593244074303843e-07,594,77.62240433692932,69,81.461190700531
2.7124728387983798e-08,1.9841567268965446e-07,1714525769.5841384,0.00012582605566802843,2.2554040107763826e-07,653,85.15467667579651,70,88.99364447593689
2.262946425121532e-08,1.8626294155568472e-07,1714525777.5904493,0.00011462836905931521,2.0889240580690005e-07,718,93.16114091873169,71,96.99995541572571
1.8668451315147436e-08,1.743751985664521e-07,1714525786.5838704,0.00010221585941246884,1.9304364988159953e-07,790,102.15405464172363,72,105.99337649345398
1.6072677833915713e-08,1.6475926184861517e-07,1714525796.2504802,9.512012106173462e-05,1.808319396825309e-07,869,111.82112574577332,73,115.6599862575531
1.3715711808462275e-08,1.5471623670826034e-07,1714525807.026189,8.773012920761168e-05,1.684319485167226e-07,956,122.5967493057251,74,126.4356951713562
1.1638158513827584e-08,1.44966326708199e-07,1714525818.833998,8.050912213748639e-05,1.5660448522202658e-07,1052,134.40395951271057,75,138.2435040473938
9.845640965727392e-09,1.3573031479174156e-07,1714525831.9018445,7.44565454295662e-05,1.4557595575746896e-07,1157,147.47230052947998,76,151.31135058403015
8.143151776976903e-09,1.2579040949277173e-07,1714525846.5903955,6.762158685057743e-05,1.3393356126974864e-07,1272,162.1428518295288,77,165.99990153312683
6.6802859339653076e-09,1.1638923743120466e-07,1714525862.9425075,6.004211465407876e-05,1.2306952336516995e-07,1400,178.51289868354797,78,182.35201358795166
5.452794902332203e-09,1.0756838215648281e-07,1714525880.7186327,5.347886899804836e-05,1.1302117705881501e-07,1539,196.2891640663147,79,200.12813878059387
4.458956307030629e-09,9.944831095291407e-08,1714525900.6340005,4.825353966656448e-05,1.0390726725994469e-07,1693,216.20437479019165,80,220.04350662231445
3.4898235455977056e-09,9.018097780240986e-08,1714525921.657729,4.162122395556808e-05,9.367080134800757e-08,1863,237.2283899784088,81,241.06723499298096
2.7865440351079442e-09,8.221664832133314e-08,1714525944.7578018,3.659536679991343e-05,8.500319235644108e-08,2049,260.3278160095215,82,264.16730785369873
2.2394655780511237e-09,7.4841183621387e-08,1714525969.8622384,3.310267781133298e-05,7.708064919943813e-08,2254,285.43304896354675,83,289.2717444896698
1.8513013055442475e-09,6.867233329751688e-08,1714525997.5233352,2.9266125224476453e-05,7.052363460306113e-08,2479,313.0939860343933,84,316.93284130096436
1.5361896572631575e-09,6.285986313826832e-08,1714526028.6034827,2.634673837191531e-05,6.439605279553148e-08,2727,344.1736533641815,85,348.0129888057709
1.2930763829966696e-09,5.774522593327875e-08,1714526062.6049557,2.383502348754575e-05,5.903830231627542e-08,3000,378.1756045818329,86,382.01446175575256
1.0981869364627597e-09,5.324319572903213e-08,1714526100.4841533,2.172382423520039e-05,5.4341382665494887e-08,3299,416.05453753471375,87,419.8936593532562
9.455646549895855e-10,4.9373068806010066e-08,1714526141.600598,2.009200864341661e-05,5.0318633460999654e-08,3629,457.1711618900299,88,461.0101041793823
8.130032410500253e-10,4.591099415825195e-08,1714526186.742139,1.8521971444929054e-05,4.6723997399301977e-08,3992,502.31284761428833,89,506.15164518356323
7.057139586679218e-10,4.291574913873557e-08,1714526236.6295233,1.712616670454901e-05,4.362146309740349e-08,4391,552.1997511386871,90,556.0390293598175
6.142546936470625e-10,4.01920025759183e-08,1714526292.1433408,1.5900340822101542e-05,4.0806257269565364e-08,4831,607.7140672206879,91,611.5528469085693
5.32658216431721e-10,3.7599088444039334e-08,1714526352.3451092,1.4660572810650041e-05,3.8131746660471054e-08,5314,667.9158627986908,92,671.7546153068542
4.76028332708991e-10,3.564611279840985e-08,1714526417.7439458,1.3806472534133666e-05,3.612214113111884e-08,5845,733.3145010471344,93,737.1534519195557
4.2570927135367247e-10,3.3800752988088364e-08,1714526489.8321846,1.2989239898481773e-05,3.4226462259442036e-08,6429,805.4028477668762,94,809.2416906356812
3.8446897989936213e-10,3.2200305076594415e-08,1714526569.5721576,1.2328552861474328e-05,3.258477405649378e-08,7072,885.1427097320557,95,888.9816637039185
3.511867700271549e-10,3.089152940135463e-08,1714526658.1145895,1.176820152927165e-05,3.124271617138179e-08,7779,973.6851723194122,96,977.5240955352783
3.438123000568848e-10,3.059066372602834e-08,1714526684.4706304,1.1649338594419534e-05,3.093447602608523e-08,7992,1000.040872335434,97,1003.8801364898682
