time,loss_interior,l2_error,loss_boundary,step,_step,_timestamp,loss,_runtime
3.716237783432007,1.0758892777084115,0.21224968221800178,0.04018389335192066,50,43,1714834447.5539072,1.1160731710603322,8.159081220626831
3.8682072162628174,0.9028850010782197,0.26581519830026684,0.03595274797368671,55,44,1714834447.7057521,0.9388377490519064,8.31092619895935
4.0480499267578125,0.7798417057954944,0.21838336673139408,0.035919944147012425,61,45,1714834447.8856559,0.8157616499425068,8.490829944610596
4.226421356201172,0.6409351513888327,0.23543049831726678,0.04517409300718451,67,46,1714834448.0642195,0.6861092443960173,8.669393539428711
4.4052205085754395,0.5867453210052324,0.2634072945193479,0.050778708015638475,73,47,1714834448.2430463,0.6375240290208708,8.848220348358154
4.644192457199097,0.507447178011682,0.24862806446415736,0.05390056391192668,81,48,1714834448.4820378,0.5613477419236087,9.087211847305298
4.880387306213379,0.42250506928736375,0.24252957528595714,0.056658728541889275,89,49,1714834448.7181897,0.479163797829253,9.323363780975342
5.145999193191528,0.3690296549961422,0.24843946233202316,0.05979441722335517,98,50,1714834448.9839468,0.42882407221949737,9.589120864868164
5.413022518157959,0.3153004504666033,0.26437615793340663,0.06723646868853951,107,51,1714834449.2507088,0.3825369191551428,9.8558828830719
5.749696254730225,0.27393707665182265,0.2650140317981071,0.06638591359554619,118,52,1714834449.5871375,0.34032299024736884,10.192311525344849
6.104761123657227,0.22835964983843737,0.2628645592414149,0.06043692763996846,130,53,1714834449.942725,0.2887965774784058,10.547899007797241
6.493718385696411,0.1623475764417508,0.24274869628211646,0.06384264399678226,143,54,1714834450.3321023,0.22619022043853304,10.937276363372803
6.912935733795166,0.1320117248148535,0.24346775631184872,0.060483764885148304,157,55,1714834450.7509167,0.1924954897000018,11.356090784072876
7.352327108383179,0.09824245446231417,0.2430826595311491,0.06098508561802332,172,56,1714834451.189804,0.1592275400803375,11.794978141784668
7.878324747085571,0.0745413508714731,0.2519018621840279,0.06361103838908583,190,57,1714834451.7163196,0.13815238926055892,12.32149362564087
8.408532619476318,0.06185576918808749,0.25566190894037677,0.06390547282311292,208,58,1714834452.246517,0.1257612420112004,12.851691007614136
9.021424055099487,0.051534209255555866,0.25609093649839243,0.06262858842284294,229,59,1714834452.859379,0.1141627976783988,13.464553117752075
9.692080020904541,0.04604382580936165,0.2429815307461582,0.05758610018732119,252,60,1714834453.5298595,0.10362992599668283,14.13503360748291
10.427471399307251,0.03930341789408653,0.23918772887416082,0.05316551230726108,277,61,1714834454.2649996,0.09246893020134761,14.870173692703247
