loss_boundary,loss_interior,_runtime,_timestamp,_step,l2_error,loss,step,time
2.877569637644283,4.987636328472368,8.592295408248901,1714535376.9341314,44,2.094929114722508,7.865205966116651,55,4.8220131397247314
1.6059441887636308,4.112534220234004,8.894259452819824,1714535377.2360954,45,1.448472982897077,5.718478408997634,61,5.1238853931427
1.6037098123171427,2.7816590990823915,9.204741477966309,1714535377.5465775,46,1.5575057506710863,4.385368911399534,67,5.434340476989746
1.1803999772210796,3.0303686667866554,9.526005268096924,1714535377.8678412,47,1.308077938102788,4.210768644007735,73,5.7556493282318115
0.5605611854528811,3.5755955727023006,9.923670291900635,1714535378.2655063,48,0.8363763217689665,4.136156758155182,81,6.153297424316406
0.39683385319580755,3.4883305094457917,10.328661918640137,1714535378.670498,49,0.7998722970216283,3.885164362641599,89,6.558014392852783
0.7754649593755882,2.386627677505998,10.783592939376831,1714535379.125429,50,1.0039656505176995,3.162092636881586,98,7.012713193893433
0.2105622971291125,2.773210677975322,11.232043027877808,1714535379.573879,51,0.5713525223008613,2.983772975104434,107,7.46123480796814
0.811632620839044,1.8573047959990927,11.782729387283325,1714535380.1245654,52,1.0613504003003897,2.6689374168381366,118,8.01183271408081
0.20662070896915577,2.0674289280973523,12.38356328010559,1714535380.7253993,53,0.5361561729435783,2.274049637066508,130,8.612719297409058
0.2971819643421114,1.8713883720423243,13.04016923904419,1714535381.3820052,54,0.6342887821068022,2.1685703363844357,143,9.268912553787231
0.3214125515441941,1.6682799860646822,13.73955512046814,1714535382.081391,55,0.6669434780858237,1.9896925376088763,157,9.968590021133423
0.13956558449216833,1.7057596676542555,14.482940673828125,1714535382.8247766,56,0.4681461288708219,1.8453252521464238,172,10.712138414382935
0.12975336102784457,1.5974890335884762,15.423953533172607,1714535383.7657895,57,0.4354526664071404,1.7272423946163207,190,11.652822256088257
0.08407369506195088,1.5741466390182903,16.32543683052063,1714535384.6672728,58,0.3225719624369896,1.6582203340802413,208,12.554622411727905
0.10387626965022949,1.4606973465199076,17.382102727890015,1714535385.7239387,59,0.3529626230207454,1.5645736161701371,229,13.611295938491821
0.08690636926640548,1.4324022809145862,18.528956174850464,1714535386.8707922,60,0.3180387388478918,1.5193086501809916,252,14.758005619049072
0.058454986877519766,1.417920880605284,19.860206842422485,1714535388.2020428,61,0.2566997134791905,1.4763758674828038,277,16.08996033668518
0.04958405049801799,1.3863115857493309,21.325628757476807,1714535389.6674647,62,0.2452005270712001,1.435895636247349,305,17.545026540756226
0.050048754812833156,1.3469121668127426,22.866321563720703,1714535391.2081575,63,0.24841891670601418,1.3969609216255758,335,19.09592080116272
0.04046122713265176,1.2772522976300507,24.95473289489746,1714535393.2965689,64,0.20501259133368444,1.3177135247627023,369,21.178410053253174
0.030329349622957365,1.0910220448989287,27.578771114349365,1714535395.920607,65,0.1839938656064593,1.121351394521886,406,23.805814027786255
0.030067529662667094,0.8827957480047647,30.584885597229004,1714535398.9267216,66,0.1865470502627709,0.9128632776674318,446,26.814383268356323
0.03900101148178255,0.7009232096671077,32.94543719291687,1714535401.2872732,67,0.2153723693065433,0.7399242211488903,491,29.17464327812195
0.048502845657733336,0.5473910831143233,35.49302124977112,1714535403.8348572,68,0.2397808682735279,0.5958939287720566,540,31.722724676132202
0.06566230179590349,0.43714550298235627,38.868900775909424,1714535407.2107368,69,0.2737956771959749,0.5028078047782598,594,35.088610887527466
0.07621923095185913,0.3466064579181362,41.87466788291931,1714535410.2165039,70,0.28535945374275606,0.42282568886999533,653,38.104350328445435
0.08276938315957842,0.26571372863064596,45.77760934829712,1714535414.1194453,71,0.30262584375343027,0.3484831117902244,718,42.006773710250854
0.09109128312214226,0.2007482864159038,50.785728931427,1714535419.127565,72,0.30733163127478935,0.2918395695380461,790,47.014894008636475
0.09504163930167563,0.14993303399183255,56.01719069480896,1714535424.3590267,73,0.3122645568279043,0.2449746732935082,869,52.234105348587036
0.09448126057053652,0.12255097549495556,64.54803204536438,1714535432.889868,74,0.31318863112641726,0.21703223606549207,956,60.77739691734314
0.09048961910496223,0.09628756720496433,71.47475600242615,1714535439.816592,75,0.3087593330959246,0.18677718630992657,1052,67.7042453289032
0.08595745769550862,0.0775095277822484,77.94091582298279,1714535446.2827518,76,0.30438296740403015,0.163466985477757,1157,74.16889715194702
0.07960375944043167,0.06077682451213835,85.59248781204224,1714535453.9343238,77,0.2941476526593662,0.14038058395257003,1272,81.82181644439697
0.07265374138824365,0.05053523106714683,93.60306429862976,1714535461.9449003,78,0.2831652136078708,0.12318897245539048,1400,89.83222603797913
0.06569144264904574,0.0430429865605902,100.78418111801147,1714535469.126017,79,0.2714242223751298,0.10873442920963594,1539,97.01322555541992
0.058032969845402974,0.03645579618250688,110.10293292999268,1714535478.444769,80,0.25837841051099764,0.09448876602790986,1693,106.33012795448303
0.05211711123119,0.032282850949158025,118.98815202713013,1714535487.329988,81,0.24636668758859895,0.08439996218034802,1863,115.21660566329956
0.047096161116398416,0.029075510800971163,128.65271091461182,1714535496.994547,82,0.235267616514792,0.07617167191736958,2049,124.88190841674805
0.04349089092362848,0.02694517763721932,139.44843578338623,1714535507.7902718,83,0.22745160357657468,0.0704360685608478,2254,135.67761325836182
0.03953227785103535,0.02470517201460468,151.27578139305115,1714535519.6176174,84,0.21806847557234077,0.06423744986564003,2479,147.50459361076355
0.036833585033604635,0.023194879321892174,164.4949507713318,1714535532.8367867,85,0.21148649023926885,0.06002846435549681,2727,160.72422552108765
0.034207754536277404,0.021712830150248025,178.51599025726318,1714535546.8578262,86,0.20352867925034482,0.05592058468652543,3000,174.74471926689148
0.0314612834789379,0.020141295282861696,194.02284240722656,1714535562.3646784,87,0.19631609536073927,0.0516025787617996,3299,190.25202775001526
0.0288393812448736,0.01862321215487626,211.7125325202942,1714535580.0543685,88,0.18835469052535786,0.04746259339974986,3629,207.94184517860413
0.026140565708429927,0.017046354309067202,230.5892674922943,1714535598.9311035,89,0.18012621054206868,0.04318692001749713,3992,226.81862568855286
0.02369675204922095,0.015612173923958384,251.03275966644287,1714535619.3745956,90,0.17180338036680923,0.03930892597317934,4391,247.26151728630066
0.021233779643928755,0.01416752523208271,273.85297083854675,1714535642.1948068,91,0.16277305214959767,0.035401304876011466,4831,270.08231115341187
0.018427039822655894,0.012542445722506962,298.8466954231262,1714535667.1885314,92,0.15242926830898726,0.030969485545162857,5314,295.07591915130615
0.01599823596110761,0.011161862241166427,326.2941825389862,1714535694.6360185,93,0.14229762459687945,0.02716009820227404,5845,322.52350878715515
