step,l2_error,_timestamp,time,_step,loss_interior,loss,_runtime,loss_boundary
18,0.34486071203418395,1713038960.734324,2.8267977237701416,17,17.854691412900095,17.963041542828602,6.5690319538116455,0.1083501299285075
20,0.3554304365042064,1713038960.8428314,2.9355714321136475,18,17.671447812121578,17.77421287790162,6.677539348602295,0.10276506578004146
21,0.44726791056932086,1713038960.8948357,2.9880800247192383,19,17.62624170477387,17.694942988481955,6.729543685913086,0.06870128370808319
23,0.4522622649309742,1713038960.9984453,3.091648578643799,20,17.453514636793436,17.52450782725066,6.833153247833252,0.07099319045722469
24,0.3607224287631384,1713038961.0517879,3.14490008354187,21,17.326898902999602,17.431678671068294,6.88649582862854,0.10477976806869263
26,0.35461560414124027,1713038961.1551826,3.2481584548950195,22,17.16578124530909,17.276292095790343,6.9898905754089355,0.11051085048125175
28,0.3433363772939131,1713038961.2570298,3.35017991065979,23,17.041235865174073,17.134124170296804,7.091737747192383,0.09288830512273004
31,0.4485465998285821,1713038961.4123604,3.505558490753174,24,16.854756148976826,16.91554584205865,7.247068405151367,0.06078969308182256
33,0.4199876689539846,1713038961.5160422,3.609008550643921,25,16.694113798810434,16.76665276359237,7.350750207901001,0.07253896478193533
35,0.4373766510783423,1713038961.6226594,3.7156832218170166,26,16.567711219428183,16.633263377911394,7.457367420196533,0.06555215848320932
38,0.3340501586339652,1713038961.7766042,3.8697738647460938,27,16.355945516348566,16.44860703113542,7.6113121509552,0.0926615147868529
41,0.41519230365870086,1713038961.9296525,4.0228822231292725,28,16.18073661251328,16.25285383304915,7.764360427856445,0.07211722053587098
44,0.4900116369205437,1713038962.0820863,4.175310373306274,29,15.984510104012296,16.0644053398169,7.916794300079346,0.07989523580460335
48,0.41932597083739626,1713038962.2821639,4.3751747608184814,30,14.775858664068636,14.849203397885963,8.11687183380127,0.07334473381732703
51,0.35561355106049547,1713038962.4400215,4.533097982406616,31,14.536078611468021,14.628185615830564,8.274729490280151,0.09210700436254253
55,0.44585831052313446,1713038962.646589,4.739643812179565,32,13.422373793727708,13.50511264547986,8.481297016143799,0.08273885175215287
59,0.49297929760407133,1713038962.8528194,4.945645332336426,33,11.921886570615358,12.104413408470318,8.687527418136597,0.18252683785496002
64,0.5335583910365808,1713038963.1107266,5.203694105148315,34,11.301479696278998,11.435472723119979,8.9454345703125,0.13399302684098102
69,0.4803695537528626,1713038963.3741422,5.467183828353882,35,10.720973510020558,10.892404394246153,9.208850145339966,0.17143088422559474
74,0.5199832854030231,1713038963.6289477,5.721840858459473,36,10.426177369237571,10.581538336153926,9.463655710220337,0.15536096691635576
80,0.5031068379511997,1713038963.9367743,6.029850244522095,37,9.970234569590703,10.112036576419214,9.771482229232788,0.1418020068285112
86,0.4956719769538413,1713038964.2517939,6.344643831253052,38,9.650320341182827,9.793105175832645,10.086501836776733,0.14278483464981803
93,0.4635845748759035,1713038964.6197333,6.7125349044799805,39,9.26501579275576,9.428193146750566,10.45444130897522,0.16317735399480618
100,0.4776514623429541,1713038964.9793234,7.072448015213013,40,9.055271558397214,9.20265756951493,10.81403136253357,0.14738601111771596
107,0.43904405934491536,1713038965.3368752,7.429931402206421,41,8.858529282856992,9.00802551354876,11.17158317565918,0.14949623069176943
115,0.4304695860425195,1713038965.7383826,7.831511974334717,42,8.66943339444817,8.816718327075227,11.573090553283691,0.1472849326270565
124,0.42982084082530747,1713038966.1957226,8.288661003112793,43,8.497332325984653,8.625665857876891,12.030430555343628,0.1283335318922375
134,0.4130610189281694,1713038966.693249,8.786102294921875,44,8.323998855057367,8.445868285967281,12.52795696258545,0.12186943090991452
144,0.3992321712387068,1713038967.190795,9.28396201133728,45,8.171528761123811,8.285760086443762,13.025502920150757,0.11423132531995116
155,0.3929554165915532,1713038967.7315638,9.824650526046753,46,8.018898341743528,8.128150709057175,13.566271781921387,0.10925236731364717
166,0.3501568468442004,1713038968.2716157,10.364636659622192,47,7.686288495580426,7.78138618321829,14.106323719024658,0.0950976876378637
179,0.33017834028019577,1713038968.924154,11.016927480697632,48,7.404560539634564,7.491589613995418,14.758862018585205,0.08702907436085487
