loss,_runtime,l2_error,loss_boundary,loss_interior,time,_step,step,_timestamp
0.6238039967202155,7.616503953933716,0.3815094904814863,0.10250780968700102,0.5212961870332145,2.684565305709839,43,204,1713882642.258838
0.5024506817240368,7.668939828872681,0.32427678284876865,0.07592682879011761,0.42652385293391926,2.737011671066284,44,223,1713882642.3112738
0.40766837700987757,7.729544639587402,0.27909887884811313,0.058082660203782235,0.34958571680609535,2.797621250152588,45,244,1713882642.3718786
0.33918989600818134,7.789397716522217,0.24846295956791314,0.04755371214716999,0.29163618386101137,2.857473134994507,46,266,1713882642.4317317
0.285758385625666,7.86162257194519,0.22618558308193332,0.040720250469965406,0.24503813515570064,2.929678201675415,47,291,1713882642.5039566
0.2459703303783491,7.935099363327026,0.2107703284220327,0.03641522510372714,0.20955510527462196,3.003178596496582,48,318,1713882642.5774333
0.2159527168873229,8.022221803665161,0.19943788893963965,0.03345628999795109,0.18249642688937182,3.089979887008667,49,347,1713882642.6645558
0.1914538555035904,8.111948490142822,0.1901440050901927,0.031116162984307985,0.16033769251928243,3.1800193786621094,50,380,1713882642.7542825
0.17215069990027382,8.210432052612305,0.1828385309318503,0.029289456715705132,0.1428612431845687,3.278412103652954,51,415,1713882642.852766
0.15589534411709094,8.312580347061157,0.17669528668776066,0.027731870386764435,0.1281634737303265,3.3806276321411133,52,453,1713882642.9549143
0.14155143090424938,8.425619840621948,0.17119183679199987,0.02630398722521808,0.1152474436790313,3.4936776161193848,53,495,1713882643.0679538
0.12876952696209443,8.552852869033813,0.16609590213330436,0.024951984411609184,0.10381754255048525,3.6209113597869873,54,541,1713882643.1951869
0.11710267433713561,8.69782829284668,0.16115164287049932,0.023619382147206443,0.09348329218992918,3.7658519744873047,55,592,1713882643.3401623
0.10665515809346425,8.845679759979248,0.15635963159422628,0.022319117384866773,0.08433604070859747,3.913661003112793,56,647,1713882643.4880137
0.09712692077451704,9.010406970977783,0.151573096472008,0.021023781225206158,0.07610313954931087,4.078388690948486,57,707,1713882643.652741
0.08846280995434372,9.193371534347534,0.14677441658439527,0.019739721591104386,0.06872308836323933,4.261284351348877,58,772,1713882643.8357055
0.0803992330592284,9.390888214111328,0.14183630804785902,0.01844331776334427,0.06195591529588413,4.458862543106079,59,844,1713882644.0332222
0.07306200675852706,9.603975296020508,0.13687119308858003,0.017173156183279734,0.05588885057524733,4.671884059906006,60,922,1713882644.2463093
0.06627492462342127,9.842612028121948,0.13181309289220833,0.015919634495671277,0.05035529012775,4.910381317138672,61,1008,1713882644.484946
0.0601298493720661,10.093421459197998,0.1267939045680203,0.014720452810348741,0.04540939656171736,5.16136622428894,62,1101,1713882644.7357554
0.054500488225228114,10.36770486831665,0.12178274549469664,0.013570624010592194,0.040929864214635917,5.435604810714722,63,1203,1713882645.0100389
0.04935921738754635,10.676391124725342,0.1168178174140805,0.012480033240126122,0.03687918414742023,5.744297742843628,64,1315,1713882645.318725
