_step,loss_interior,_timestamp,loss,step,time,_runtime,l2_error,loss_boundary
26,9.244772166202324,1711522383.6268718,9.329336486384207,32,5.041841983795166,8.433925867080688,0.341979941869883,0.08456432018188281
27,8.970143378058495,1711522383.8715217,9.05171006732856,34,5.286282300949097,8.67857575416565,0.3518156280376894,0.08156668927006544
28,8.577120145676277,1711522384.2405443,8.66266796715207,37,5.655426025390625,9.047598361968994,0.32207233196962104,0.08554782147579311
29,8.299452333119188,1711522384.4849894,8.383804881985993,39,5.899948835372925,9.292043447494507,0.31832295722928305,0.08435254886680568
30,7.914345063636979,1711522384.8501225,7.9876224585267925,42,6.2650861740112305,9.657176494598389,0.3453485378949958,0.07327739488981361
31,7.507389274747024,1711522385.2154102,7.596453480699332,45,6.630350112915039,10.022464275360107,0.3115049663638589,0.08906420595230789
32,7.153254344768336,1711522385.5817137,7.221849102147965,48,6.996694803237915,10.388767719268799,0.32234984202604056,0.06859475737962954
33,6.488107536236469,1711522385.9466956,6.56492499326647,51,7.361598253250122,10.75374960899353,0.317390811876788,0.07681745703000191
34,6.033142540240149,1711522386.4279084,6.128844429057619,55,7.842658281326294,11.234962463378906,0.3369860018689153,0.09570188881746941
35,5.498821140004346,1711522386.9123647,5.598315023541935,59,8.327293634414673,11.71941876411438,0.3550758368051117,0.09949388353758855
36,5.0477813876874915,1711522387.3959973,5.157991342153558,63,8.81099796295166,12.203051328659058,0.3745582135569393,0.11020995446606612
37,4.512267008639556,1711522387.8813517,4.641179612919524,67,9.296342134475708,12.688405752182007,0.4027059256102819,0.12891260427996823
38,4.257800079421968,1711522388.4877615,4.36852871511607,72,9.902718544006348,13.29481554031372,0.41763277890597145,0.11072863569410132
39,4.154093881927953,1711522389.098429,4.27393481071526,77,10.513348817825317,13.90548300743103,0.40556105881586196,0.11984092878730672
40,3.230481823210846,1711522389.7025747,3.373087687195115,82,11.11733341217041,14.509628772735596,0.4549033952141164,0.14260586398426922
41,3.065430985100512,1711522390.428756,3.213945502269387,88,11.843672513961792,15.235810041427612,0.4519989602909072,0.14851451716887465
42,2.589274297874811,1711522391.1553364,2.757042326539051,94,12.57034182548523,15.962390422821045,0.4606196442858409,0.1677680286642399
43,2.4812498809011365,1711522391.9944463,2.6339241316121886,101,13.40943193435669,16.80150032043457,0.4503795019449122,0.1526742507110523
44,2.2513361451056766,1711522392.8389542,2.3963808544370933,108,14.253889322280884,17.646008253097534,0.4451817192232905,0.14504470933141664
45,2.059848132416438,1711522393.6825914,2.2056779281502474,115,15.097443103790283,18.48964548110962,0.4349153477424362,0.14582979573380953
46,1.851119822830254,1711522394.6460998,1.9854224204020696,123,16.061091899871826,19.45315384864807,0.4234858578913656,0.13430259757181573
47,1.7716118540192218,1711522395.7352958,1.9093581153111905,132,17.150190830230713,20.542349815368652,0.4186996316820108,0.13774626129196862
48,1.5226478142275317,1711522396.8225996,1.6456506705920588,141,18.237598419189453,21.629653692245483,0.3948071007551553,0.12300285636452718
