_runtime,_timestamp,step,l2_error,_step,time,loss_boundary,loss_interior,loss
13.686633586883545,1714550783.4865916,38,0.0011503275619406132,38,9.750024557113647,1.6285366674797316e-06,9.872049488156018e-06,1.150058615563575e-05
13.896334409713745,1714550783.6962924,39,0.0009696851430782378,39,9.959790706634521,1.22404173635212e-06,7.354638705179534e-06,8.578680441531653e-06
14.113410472869873,1714550783.9133685,40,0.0009172149399421272,40,10.176841497421265,9.239300351026917e-07,5.4854596594985785e-06,6.409389694601271e-06
14.534181594848633,1714550784.3341396,42,0.0007922212778952987,41,10.597595453262329,6.593168917191292e-07,4.305119204631131e-06,4.964436096350261e-06
15.34816575050354,1714550785.1481237,46,0.0005208981747444201,42,11.412084341049194,3.3007644032910444e-07,2.215113725665209e-06,2.5451901659943138e-06
16.172147035598755,1714550785.972105,50,0.0004503224677748558,43,12.236132860183716,2.105615076813405e-07,1.331480434512008e-06,1.5420419421933485e-06
17.20136785507202,1714550787.0013258,55,0.000373344664763642,44,13.265334129333496,1.3665261874089404e-07,1.0020888893580005e-06,1.1387415080988945e-06
18.4421169757843,1714550788.242075,61,0.00040512120951485966,45,14.50606632232666,1.1947788767919847e-07,6.760430840549989e-07,7.955209717341974e-07
19.685768127441406,1714550789.485726,67,0.00033762229569490854,46,15.749571323394775,8.485298704269731e-08,5.107959943545044e-07,5.956489813972017e-07
20.92680788040161,1714550790.7267659,73,0.00017752538346290015,47,16.99051284790039,2.9258614336855848e-08,1.9805968850806587e-07,2.2731830284492173e-07
22.59688901901245,1714550792.396847,81,9.35673502068652e-05,48,18.660369396209717,9.377391433847456e-09,6.800717800453474e-08,7.738456943838219e-08
24.244719982147217,1714550794.044678,89,7.43639301983171e-05,49,20.30817484855652,4.739663792732524e-09,3.2833420625900354e-08,3.757308441863288e-08
26.10061502456665,1714550795.900573,98,5.318560374149777e-05,50,22.1642484664917,2.5069119386375723e-09,1.2872374040262453e-08,1.5379285978900026e-08
27.952837467193604,1714550797.7527955,107,3.5347082028902306e-05,51,24.01653218269348,1.1408482222153942e-09,7.541673269539626e-09,8.68252149175502e-09
30.18303680419922,1714550799.9829948,118,2.919881608530883e-05,52,26.246772289276123,7.496740313945708e-10,5.986373855595422e-09,6.736047886989993e-09
