time,l2_error,loss_interior,loss,step,loss_boundary,_step,_runtime,_timestamp
11.223132371902466,1.4449142856073591,4.642671182844674,6.1206044394097425,134,1.477933256565069,44,15.230361223220825,1714356392.0566082
12.113489627838135,1.1011301073493802,4.655571183909675,5.594287658682499,144,0.9387164747728244,45,16.116085529327393,1714356392.9423325
12.751412153244019,0.790693620563581,4.098456210294131,4.574899782872772,155,0.4764435725786409,46,16.753725290298462,1714356393.5799723
13.409837245941162,0.6299914864399663,2.934040743528523,3.2485451450015193,166,0.3145044014729961,47,17.412225484848022,1714356394.2384725
14.165642023086548,0.49973043660835387,1.3306670000344156,1.5294841479093504,179,0.19881714787493468,48,18.168176889419556,1714356394.9944239
15.021766662597656,0.36397801985175327,0.4030966009628702,0.5265293388752182,193,0.12343273791234803,49,19.023940086364746,1714356395.850187
15.779122829437256,0.2800014403851172,0.14501559419086085,0.22156084290873773,207,0.07654524871787687,50,19.782225131988525,1714356396.608472
16.694791793823242,0.2343127692570918,0.08545771272591544,0.13583738173332988,223,0.05037966900741444,51,20.698201417922974,1714356397.5244484
17.69123363494873,0.1877996556380056,0.04786491165668629,0.08193342979207285,240,0.03406851813538657,52,21.694572687149048,1714356398.5208197
18.795631170272827,0.16506113217526286,0.03130966082924079,0.05752558462626765,258,0.02621592379702686,53,22.79863667488098,1714356399.6248837
19.965293169021606,0.13775069364096154,0.018913602296134154,0.03785868139164475,278,0.0189450790955106,54,23.96813178062439,1714356400.7943788
21.24796438217163,0.12640200175835217,0.012442017928787439,0.027977415818916093,299,0.015535397890128654,55,25.257031679153442,1714356402.0832787
22.72458577156067,0.11562035591559765,0.008557330021281133,0.021715135576246863,322,0.01315780555496573,56,26.727272748947144,1714356403.5535197
24.191341876983643,0.10390742588056305,0.006135776910327373,0.01682092731478947,346,0.010685150404462097,57,28.194122791290283,1714356405.0203698
25.88285183906555,0.09212996407920514,0.004790368236886305,0.013127000532193539,373,0.008336632295307234,58,29.885401248931885,1714356406.7116482
27.542691469192505,0.08199055354842907,0.003956881424079803,0.010481838606176876,401,0.006524957182097072,59,31.545161962509155,1714356408.371409
29.26516366004944,0.07476592220200859,0.0033250046509347253,0.008626567358624162,431,0.005301562707689436,60,33.26800727844238,1714356410.0942543
31.224779844284058,0.06773357267654538,0.002879770275903032,0.007153249037779431,464,0.0042734787618763995,61,35.22741365432739,1714356412.0536606
33.14990568161011,0.061984048422203,0.0026062033211972247,0.006123479504902408,499,0.0035172761837051836,62,37.152175188064575,1714356413.9784222
35.403828144073486,0.05660142114613963,0.002410485584129941,0.005336482606982289,537,0.002925997022852348,63,39.4065887928009,1714356416.2328358
37.857300996780396,0.0505092847644186,0.002118786692132311,0.004438214159662765,578,0.002319427467530454,64,41.85977339744568,1714356418.6860204
40.781487703323364,0.04488126664903195,0.0017633905271950343,0.003600417870512094,622,0.0018370273433170599,65,44.78430223464966,1714356421.6105492
43.49866247177124,0.040491480253809845,0.001426249371039583,0.0029352722688604756,669,0.0015090228978208926,66,47.502039432525635,1714356424.3282864
46.61134123802185,0.036004171992056036,0.001169650797274848,0.002356534127493301,720,0.001186883330218453,67,50.61478567123413,1714356427.4410326
49.831711769104004,0.0326817211060933,0.001013927670844895,0.0019855883110395855,774,0.0009716606401946907,68,53.83440804481506,1714356430.660655
53.39909529685974,0.028886259306476238,0.0008321409882427151,0.0015887672716597611,833,0.0007566262834170461,69,57.402467012405396,1714356434.228714
56.69750714302063,0.026291463472034125,0.0007395341201993437,0.0013670990776559954,896,0.0006275649574566518,70,60.702210426330566,1714356437.5284574
60.13045120239258,0.023846464276162355,0.000650111590785648,0.0011675983053780932,964,0.0005174867145924452,71,64.13261580467224,1714356440.9588628
64.4405746459961,0.021701585834952016,0.0005704653299404001,0.0009977011931591054,1038,0.0004272358632187052,72,68.4437780380249,1714356445.270025
69.0190680027008,0.019847534280719805,0.0005022366617008696,0.0008586446781461091,1116,0.00035640801644523955,73,73.02212119102478,1714356449.8483682
73.80463027954102,0.018311601784831134,0.00044425111070233044,0.0007448602805345168,1201,0.00030060916983218637,74,77.80700826644897,1714356454.6332552
79.01763129234314,0.016878811088690934,0.00039122909051194743,0.0006443233298042757,1292,0.00025309423929232823,75,83.02028918266296,1714356459.8465362
84.96255016326904,0.015594055553595705,0.00034975979351108545,0.0005644723147057005,1390,0.0002147125211946151,76,88.96505880355835,1714356465.7913058
91.05665445327759,0.014274189751948288,0.000312824493989,0.0004898763380468975,1496,0.00017705184405789748,77,95.05931496620178,1714356471.885562
97.95027923583984,0.012988809170391361,0.0002837627503206158,0.00042766988838104585,1609,0.00014390713806043003,78,101.95343613624573,1714356478.779683
104.03863406181335,0.011591910948704912,0.00025545641167303164,0.0003678093681640197,1731,0.00011235295649098807,79,108.04104208946228,1714356484.867289
111.61577558517456,0.010206740332616069,0.00022882528502901186,0.00031505199852161685,1863,8.622671349260502e-05,80,115.62213325500488,1714356492.4483802
