_step,l2_error,_runtime,loss_boundary,loss_interior,step,_timestamp,loss,time
30,0.23588560064558986,18.808757066726685,0.04785063363846454,0.1430127745432244,34,1711485089.9387,0.19086340818168893,15.289815664291382
31,0.21310402300470477,20.318772792816162,0.03923648883986514,0.10581573844707054,36,1711485091.4487157,0.14505222728693568,16.7999107837677
32,0.16676368481988263,21.2226083278656,0.029748826002519966,0.08882058256839263,38,1711485092.3525512,0.1185694085709126,17.703753232955933
33,0.13658956308675227,22.70578169822693,0.019880739399306766,0.059826447186226706,40,1711485093.8357246,0.07970718658553347,19.186919689178467
34,0.11982379672200572,24.67190647125244,0.013720375014587491,0.0363560949473403,42,1711485095.8018494,0.05007646996192779,21.152707815170288
35,0.11849243600193193,26.812742710113525,0.012262741222817506,0.024475175462004072,44,1711485097.9426856,0.03673791668482158,23.29368758201599
36,0.1103149771455404,29.496756076812744,0.010174475800510813,0.019115531127687862,47,1711485100.626699,0.029290006928198675,25.977868795394897
37,0.1013515533172482,31.637532234191895,0.009054687383130781,0.017099708516630986,49,1711485102.7674751,0.02615439589976177,28.1186580657959
38,0.09560166811364934,34.307532787323,0.007716631400646791,0.012323868696635126,52,1711485105.4374757,0.020040500097281918,30.788607358932495
39,0.08722602836967226,36.43311548233032,0.007344573084578632,0.011450025421684249,54,1711485107.5630584,0.01879459850626288,32.91421175003052
40,0.07081871733876614,39.643277645111084,0.0047420611976167135,0.009334573408297245,57,1711485110.7732205,0.014076634605913959,36.12414503097534
41,0.06335034680545513,42.15660309791565,0.0037082978653908867,0.00867490617072994,60,1711485113.286546,0.012383204036120827,38.637651681900024
42,0.06414439891219265,46.400840759277344,0.0038215627821033406,0.007112559027983775,64,1711485117.5307837,0.010934121810087115,42.8819625377655
43,0.06227641154675768,48.91299366950989,0.003905607219731271,0.006261036402051362,67,1711485120.0429366,0.010166643621782634,45.394094944000244
44,0.06246187484319363,52.102956771850586,0.0037043904521905625,0.005905194002807263,70,1711485123.2328997,0.009609584454997825,48.58405590057373
45,0.0649570222424566,56.35830283164978,0.0038443784281887838,0.0045271840116666105,74,1711485127.4882457,0.008371562439855394,52.83915042877197
46,0.06403893064983818,60.600889921188354,0.0038793141793219505,0.0041613745140522684,78,1711485131.7308328,0.00804068869337422,57.08193778991699
47,0.06365948665461309,64.85450172424316,0.0035314802187396133,0.003778498706241534,82,1711485135.9844446,0.007309978924981147,61.33560562133789
