_step,loss,time,step,_runtime,l2_error,loss_interior,_timestamp,loss_boundary
32,114.56384068857648,3.7690279483795166,32,7.96163272857666,1.1953568011378028,113.64623323388398,1714534639.7926247,0.9176074546925037
33,113.99727512644938,3.8320930004119873,33,8.024709939956665,1.1892620317564495,113.07253553877828,1714534639.855702,0.9247395876710955
34,113.15909419555601,3.8939967155456543,34,8.086599826812744,1.1962429587954646,112.20160396470081,1714534639.9175918,0.957490230855196
35,112.62386684817473,3.9540512561798096,35,8.146698713302612,1.206910753825934,111.62341831981279,1714534639.9776907,1.0004485283619453
36,112.1511771401249,4.016074895858765,36,8.208682537078857,1.2116347534322778,111.11023291278525,1714534640.0396745,1.0409442273396492
37,111.8470583353806,4.078203916549683,37,8.270848035812378,1.226514259725954,110.78978173488485,1714534640.10184,1.0572766004957357
38,110.40021307993312,4.140583038330078,38,8.333227396011353,1.240407777314654,109.293564684479,1714534640.1642194,1.106648395454127
39,108.68363132897866,4.202388048171997,39,8.394981145858765,1.2724984184010948,107.53620793750214,1714534640.2259731,1.1474233914765246
40,104.77577733810432,4.261156797409058,40,8.453530311584473,1.2894580800235838,103.54690147416486,1714534640.2845223,1.2288758639394601
41,103.6165948078291,4.376423597335815,42,8.569028854370117,1.3013451885014842,102.32840421566988,1714534640.4000208,1.2881905921592278
42,96.94640520162419,4.603142023086548,46,8.795717716217041,1.3637702815013713,95.56363801088841,1714534640.6267097,1.3827671907357777
43,79.13715721527116,4.82979154586792,50,9.022421836853027,1.48769320226653,77.53965721639044,1714534640.8534138,1.5974999988807215
44,30.710096210790148,5.121321439743042,55,9.314013004302979,1.1449813097215986,29.55654147842164,1714534641.145005,1.1535547323685105
45,17.30941103074874,5.4519922733306885,61,9.644983768463135,0.8351796044608529,16.738902396658904,1714534641.4759758,0.570508634089837
46,14.548725170139038,5.803056240081787,67,9.99577808380127,0.8193401833803959,14.021879923946907,1714534641.82677,0.526845246192132
47,14.437723697694258,6.145718336105347,73,10.338308334350586,0.8136953776836294,13.917347858167894,1714534642.1693003,0.520375839526364
48,10.407015020468434,6.594347953796387,81,10.787444591522217,0.7000238918912512,10.016562397486217,1714534642.6184366,0.39045262298221617
49,9.796318335244445,7.054112672805786,89,11.246825933456421,0.6927014452550933,9.41447930229218,1714534643.077818,0.38183903295226446
