l2_error,_timestamp,time,_step,loss_boundary,_runtime,loss_interior,loss,step
0.21645403287567444,1713027746.435299,8.946589946746826,43,0.045171381512312946,12.650266885757446,0.7731880942981729,0.8183594758104858,124
0.21039342253745125,1713027746.9773402,9.488287210464478,44,0.04318924440971183,13.192308187484741,0.7352225569409553,0.7784118013506671,134
0.19735892601132238,1713027747.5264986,10.037494897842407,45,0.0374758227193992,13.741466522216797,0.6626019785087585,0.7000778012281577,144
0.19047074152247734,1713027748.1168692,10.62814974784851,46,0.03527442600342483,14.331837177276611,0.6336663230441493,0.6689407490475741,155
0.1867846903218579,1713027748.700994,11.212780475616455,47,0.03371178724182079,14.915961980819702,0.615245419117976,0.6489572063597968,166
0.18171519303614103,1713027749.3890908,11.900859832763672,48,0.031752617874468786,15.604058742523193,0.592405361151397,0.6241579790258658,179
0.1750365142118509,1713027750.1467113,12.658079385757446,49,0.029335504448738087,16.361679315567017,0.5627178748556624,0.5920533793044005,193
0.16532094478593642,1713027750.8875456,13.39935564994812,50,0.025943026757620353,17.102513551712036,0.5217019374788876,0.547644964236508,207
0.160515728867194,1713027751.7312274,14.243051767349243,51,0.02422542868412947,17.946195363998413,0.5010829378406386,0.5253083665247681,223
0.15819769162224864,1713027752.6414454,15.15321135520935,52,0.023444328491317577,18.8564133644104,0.48965250798708276,0.5130968364784003,240
0.15550695832418965,1713027753.5905974,16.102301836013794,53,0.022484140005004326,19.805565357208252,0.4743343760022845,0.4968185160072888,258
0.15161305265945232,1713027754.6444695,17.156158208847046,54,0.021082272346476257,20.859437465667725,0.4502179434298561,0.47130021577633235,278
0.1463918588018069,1713027755.752789,18.264461040496826,55,0.019281621566828847,21.967756986618042,0.41472815285503783,0.43400977442186667,299
0.1426098785943216,1713027756.9699771,19.48150944709778,56,0.018070035094611588,23.184945106506348,0.3860385739662119,0.40410860906082346,322
0.1395094680894508,1713027758.2435608,20.75537419319153,57,0.017059542649575665,24.458528757095337,0.35177711979790016,0.3688366624474758,346
0.13491651402244997,1713027759.671059,22.18282723426819,58,0.015984884680130543,25.886026859283447,0.30868701678874105,0.3246719014688716,373
0.13281029119668988,1713027761.1567469,23.66844367980957,59,0.015546211700287194,27.37171483039856,0.2890563988053702,0.3046026105056574,401
0.13119777534701801,1713027762.7227604,25.233698844909668,60,0.015158159707540564,28.93772840499878,0.2694937113626783,0.2846518710702189,431
0.12946257904041725,1713027764.4741838,26.985411882400513,61,0.014859574068566566,30.689151763916016,0.25210675321443415,0.26696632728300074,464
0.13007174065508803,1713027766.3458922,28.857542991638184,62,0.014652802929785814,32.56086015701294,0.23336646853420742,0.24801927146399325,499
0.12987001479772464,1713027768.3868935,30.898016214370728,63,0.014559285303724292,34.60186147689819,0.21478943017306584,0.22934871547679014,537
0.13058396049892296,1713027770.541447,33.05278396606445,64,0.014544759822604933,36.75641489028931,0.19852243541702708,0.21306719523963202,578
0.13157504811341184,1713027772.8735301,35.384825229644775,65,0.014559058642634088,39.08849811553955,0.1796686666396087,0.1942277252822428,622
0.13236802639973225,1713027775.387755,37.898719787597656,66,0.014614170132105758,41.60272288322449,0.16732251867688847,0.18193668880899422,669
0.13269860353632218,1713027778.078853,40.590134143829346,67,0.014654490832717706,44.29382085800171,0.16216800306350082,0.1768224938962185,720
0.13297375205750014,1713027780.9121077,43.42301154136658,68,0.014694688502711035,47.12707567214966,0.15798113002176795,0.17267581852447897,774
0.13322654113333798,1713027784.028256,46.539517641067505,69,0.014739455241900882,50.243223905563354,0.1536657567723579,0.16840521201425876,833
0.13349612507619119,1713027787.3350475,49.84670615196228,70,0.014787789323102303,53.550015449523926,0.14964613699883728,0.16443392632193957,896
0.1337498424468013,1713027790.9075253,53.418933391571045,71,0.014838005046804376,57.122493267059326,0.1457131995739098,0.16055120462071418,964
0.1339978746592604,1713027794.8231378,57.33485245704651,72,0.014888454220021491,61.038105726242065,0.14183728328524933,0.15672573750527083,1038
0.13421290216742005,1713027799.029996,61.540762186050415,73,0.014931583114210643,65.24496388435364,0.13806819915683038,0.15299978227104102,1116
0.1343834019694354,1713027803.5292404,66.04007625579834,74,0.014960594238933233,69.74420833587646,0.1342935254514583,0.14925411969039154,1201
0.134489960886365,1713027808.9648821,71.47588658332825,75,0.01496678395957821,75.17985010147095,0.13055773871074058,0.1455245226703188,1292
0.13447257644113908,1713027814.6637967,77.17528319358826,76,0.01494155865308085,80.87876462936401,0.12687425805248095,0.14181581670556181,1390
