_step,_timestamp,loss_interior,time,_runtime,l2_error,loss_boundary,loss,step
22,1714550455.6386044,10.040319094572874,5.095012426376343,8.913116455078125,1.460567482627034,1.4198923845583673,11.460211479131242,22
23,1714550455.7648544,9.736704825627832,5.2212677001953125,9.039366483688354,1.4385841293634523,1.4611346462449954,11.197839471872827,23
24,1714550455.8941495,9.560254522065309,5.350519895553589,9.16866159439087,1.4639603973337525,1.4100254061501152,10.970279928215424,24
25,1714550456.0229976,9.277053900849332,5.4794018268585205,9.297509670257568,1.4261417795115983,1.464709827200582,10.741763728049914,25
26,1714550456.1496847,9.103189328871212,5.606098651885986,9.424196720123291,1.438233749081311,1.3791615837158773,10.482350912587089,26
27,1714550456.2828908,8.860035461328515,5.739248037338257,9.557402849197388,1.4190121690138613,1.4155448375415154,10.27558029887003,27
28,1714550456.413712,8.722991660051783,5.870122909545898,9.688224077224731,1.440719516038713,1.3712578318963327,10.094249491948116,28
29,1714550456.5446086,8.4853934053566,6.000977277755737,9.819120645523071,1.407208104259791,1.418229953960995,9.903623359317596,29
30,1714550456.66974,8.352232298955391,6.126171350479126,9.944252014160156,1.4187330381268257,1.3432038015850045,9.695436100540395,30
31,1714550456.8017163,8.150492387039332,6.254587888717651,10.076228380203247,1.4012255265020424,1.3762327245103452,9.526725111549677,31
32,1714550456.92828,8.04087426399553,6.384728908538818,10.202792167663574,1.4201020620248865,1.3365448563311038,9.377419120326634,32
33,1714550457.0537457,7.836100925309547,6.510172367095947,10.32825779914856,1.3896643561582265,1.3772459003751443,9.213346825684692,33
34,1714550457.182435,7.731760995478493,6.638883590698242,10.456947088241577,1.4005486950541712,1.310016722218006,9.0417777176965,34
35,1714550457.3080812,7.560781161304836,6.764500617980957,10.582593202590942,1.3842894834921513,1.3399587533922368,8.900739914697073,35
36,1714550457.4393373,7.471175658927202,6.895654916763306,10.713849306106567,1.4006450346625299,1.303752104301857,8.774927763229059,36
37,1714550457.5947351,7.29174374225186,7.050843238830566,10.869247198104858,1.3726658350550358,1.3388897749321311,8.630633517183991,37
38,1714550457.736432,7.2083992255944525,7.19281792640686,11.010944128036499,1.3827952269974906,1.2779624394370703,8.486361665031524,38
39,1714550457.8729243,7.061268472261279,7.329286813735962,11.147436380386353,1.3675532625055813,1.3049644007848442,8.366232873046123,39
40,1714550457.9980457,6.986673870770822,7.454478025436401,11.272557735443115,1.3816245567292254,1.2716221611850438,8.258296031955865,40
41,1714550458.247009,6.75989066591861,7.70332407951355,11.521521091461182,1.3650523557762388,1.2462290839632533,8.006119749881863,42
42,1714550458.7751365,6.371637132129159,8.231462478637695,12.049648523330688,1.347135486098638,1.2144684821528817,7.58610561428204,46
43,1714550459.388589,6.0339261887709945,8.844954013824463,12.663100957870483,1.328993640331137,1.182587925244949,7.2165141140159434,50
44,1714550460.0252488,5.6517437611464,9.481555461883545,13.299760818481445,1.2917407073132532,1.1677236914293336,6.819467452575734,55
45,1714550460.8473835,5.006807039199315,10.30238962173462,14.121895551681519,1.247197393922787,1.0772395241448636,6.084046563344179,61
46,1714550461.590676,4.733418301597287,11.047109127044678,14.865188121795654,1.216491799994412,1.0350549249052101,5.768473226502497,67
47,1714550462.3366606,4.503365011795471,11.792723655700684,15.611172676086426,1.1931192332642833,0.9798827501336363,5.483247761929107,73
48,1714550463.3489964,4.232661670453341,12.805381059646606,16.62350845336914,1.1507533078164922,0.9188222420657721,5.151483912519113,81
49,1714550464.3319092,3.999445926027394,13.78817892074585,17.60642123222351,1.1159191089385272,0.8607857607910717,4.860231686818466,89
