_runtime,_timestamp,loss,_step,loss_interior,l2_error,loss_boundary,time,step
20.603488206863403,1711488401.2624433,0.04916437285487469,42,0.04167479204435571,0.09409028881555867,0.007489580810518983,15.88291621208191,94
21.670074701309204,1711488402.3290298,0.04302817942276661,43,0.03699936046112928,0.08455125713808206,0.006028818961637332,16.949492692947388,101
22.73824977874756,1711488403.3972049,0.031378080034308094,44,0.027679599591498336,0.06924913804979468,0.003698480442809757,18.01771068572998,108
23.801257133483887,1711488404.4602122,0.024534037842573672,45,0.021474873251419186,0.06609665673986037,0.003059164591154486,19.080713748931885,115
25.041080951690674,1711488405.700036,0.021368535773267788,46,0.018480821360666963,0.06151970672392889,0.0028877144126008255,20.320496082305908,123
26.412798166275024,1711488407.0717533,0.01886378547474491,47,0.01624969198993762,0.05742486229513398,0.00261409348480729,21.692224979400635,132
27.784902572631836,1711488408.4438577,0.01713981644116616,48,0.014570749395251046,0.05510945072484528,0.002569067045915116,23.06431746482849,141
29.314149379730225,1711488409.9731045,0.015333194109471242,49,0.013143915336985269,0.05038799391791177,0.002189278772485973,24.59356927871704,151
30.855014085769653,1711488411.5139692,0.013913124056423472,50,0.01198873252486387,0.04501845020435312,0.0019243915315596037,26.134457111358643,161
32.532727003097534,1711488413.191682,0.012798898941926666,51,0.011075901476388995,0.04280815362031693,0.0017229974655376715,27.812162160873413,172
34.38060903549194,1711488415.0395641,0.011729105119378152,52,0.01032105222192499,0.03836894538734333,0.0014080528974531618,29.659950256347656,184
36.37722420692444,1711488417.0361793,0.010287630366243507,53,0.009020506252937877,0.03618514585983175,0.0012671241133056298,31.656388759613037,197
38.500805139541626,1711488419.1597602,0.00907731315131842,54,0.007957698545821072,0.03455210196274478,0.0011196146054973481,33.78023386001587,211
40.6391384601593,1711488421.2980936,0.008084212593949194,55,0.00694821460315583,0.03471682852935524,0.0011359979907933642,35.918495178222656,225
43.072875022888184,1711488423.7318301,0.0072789583750610095,56,0.006207477744016922,0.0340990084279879,0.001071480631044087,38.35232949256897,241
45.659613370895386,1711488426.3185685,0.006463239995568478,57,0.005565144173684796,0.031922150510750875,0.0008980958218836822,40.93904972076416,258
48.40433883666992,1711488429.063294,0.005623077026529814,58,0.004839137595423978,0.029993157295815278,0.0007839394311058359,43.68372130393982,276
51.28723192214966,1711488431.946187,0.005052101406402082,59,0.0043048020045001745,0.028741119927682374,0.0007472994019019073,46.566678524017334,295
54.33572316169739,1711488434.9946783,0.0044952928802897574,60,0.0038054553591039264,0.0281725149418593,0.0006898375211858307,49.615153312683105,315
57.68252897262573,1711488438.341484,0.004000260269607129,61,0.0034214353965284633,0.025736174435764977,0.0005788248730786662,52.961939573287964,337
61.184465646743774,1711488441.8434207,0.0034193356879321708,62,0.002977361173169978,0.022577693846720773,0.00044197451476219276,56.46390652656555,360
65.01863169670105,1711488445.6775868,0.0028860605648622136,63,0.0025607498570015385,0.02062213720574294,0.0003253107078606753,60.29805588722229,385
69.09921646118164,1711488449.7581716,0.0026218844236527102,64,0.002328857084390771,0.019276053570618297,0.00029302733926193935,64.37841796875,412
